Location,Time,count
Alphington,12:00,100
Altona North 2,03:00,2
Box Hill,09:00,53
Brighton,10:00,41
Brooklyn,22:00,89
Campbellfield,11:00,39
Coolaroo,22:00,46
Dallas,11:00,25
Footscray,00:00,82
MRI Campbellfield fire,00:00,1
Macleod,17:00,49
Melbourne CBD,01:00,98
Thomastown East,00:00,1
