Date,Time,Location,Value,New Value
08/01/20,17:00,Brooklyn,14.9,14.9
08/01/20,18:00,Brooklyn,14.2,14.2
08/01/20,19:00,Brooklyn,11.1,11.1
08/01/20,20:00,Brooklyn,8.9,8.9
08/01/20,21:00,Brooklyn,8.8,8.8
08/01/20,22:00,Brooklyn,8.7,8.7
08/01/20,23:00,Brooklyn,8.5,8.5
09/01/20,0:00,Brooklyn,8.9,8.9
09/01/20,1:00,Brooklyn,12.4,12.4
09/01/20,2:00,Brooklyn,25.9,25.9
09/01/20,3:00,Brooklyn,30.6,30.6
09/01/20,4:00,Brooklyn,31.9,31.9
09/01/20,5:00,Brooklyn,37.3,37.3
09/01/20,6:00,Brooklyn,44.0,44.0
09/01/20,7:00,Brooklyn,36.0,36.0
09/01/20,8:00,Brooklyn,53.6,53.6
09/01/20,9:00,Brooklyn,78.9,78.9
09/01/20,10:00,Brooklyn,81.1,81.1
09/01/20,11:00,Brooklyn,82.5,82.5
09/01/20,12:00,Brooklyn,87.8,87.8
09/01/20,13:00,Brooklyn,87.4,87.4
09/01/20,14:00,Brooklyn,86.0,86.0
09/01/20,15:00,Brooklyn,,81.25
09/01/20,16:00,Brooklyn,76.5,76.5
09/01/20,17:00,Brooklyn,88.3,88.3
09/01/20,18:00,Brooklyn,68.1,68.1
09/01/20,19:00,Brooklyn,42.9,42.9
09/01/20,20:00,Brooklyn,34.6,34.6
09/01/20,21:00,Brooklyn,31.8,31.8
09/01/20,22:00,Brooklyn,29.1,29.1
09/01/20,23:00,Brooklyn,28.3,28.3
10/01/20,0:00,Brooklyn,28.8,28.8
10/01/20,1:00,Brooklyn,29.6,29.6
10/01/20,2:00,Brooklyn,30.6,30.6
10/01/20,3:00,Brooklyn,31.6,31.6
10/01/20,4:00,Brooklyn,30.6,30.6
10/01/20,5:00,Brooklyn,22.7,22.7
10/01/20,6:00,Brooklyn,19.2,19.2
10/01/20,7:00,Brooklyn,18.2,18.2
10/01/20,8:00,Brooklyn,18.2,18.2
10/01/20,9:00,Brooklyn,18.1,18.1
10/01/20,10:00,Brooklyn,18.4,18.4
10/01/20,11:00,Brooklyn,18.6,18.6
10/01/20,12:00,Brooklyn,18.4,18.4
10/01/20,13:00,Brooklyn,18.4,18.4
10/01/20,14:00,Brooklyn,18.8,18.8
