WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,Shallow Main,Condition Score,OVERSIZED,CLEANED,Shape__Length
55120,ACTIVE,KIT 4,9722,TREATED,300,DI,NO,NONE,1990-01-01,PURCHASED,KITCHENER,N,6,3,13,N,N,9.1,N,N,101.748376333877
82600,ACTIVE,KIT 4,9722,TREATED,300,DI,NO,NONE,1990-01-01,PURCHASED,KITCHENER,N,6,3,13,N,N,9.1,N,N,13.212334493422
82602,ACTIVE,KIT 4,9722,TREATED,300,DI,NO,NONE,1990-01-01,PURCHASED,KITCHENER,N,6,3,13,N,N,9.1,N,N,91.4371570758878
82604,ACTIVE,KIT 4,9722,TREATED,300,DI,NO,NONE,1990-01-01,PURCHASED,KITCHENER,N,0,3,13,N,N,9.1,N,N,6.58077389995271
82606,ACTIVE,KIT 4,600758,TREATED,200,DI,NO,NONE,1995-05-01,DONATED,KITCHENER,N,6,4,29,N,N,9.1,N,Y,5.17758500471781
57620,ACTIVE,KIT 4,600758,TREATED,200,DI,NO,NONE,1995-05-01,DONATED,KITCHENER,N,6,4,29,N,N,9.1,N,Y,6.42995044117653
67370,ACTIVE,KIT 4,600402,TREATED,200,PVC,NO,NONE,2001-06-01,PURCHASED,KITCHENER,N,6,5,17,N,N,9.35,N,N,71.616813878608
82610,ACTIVE,KIT 4,103013,TREATED,200,PVC,NO,NONE,2001-06-01,PURCHASED,KITCHENER,N,7,5,17,N,N,9.35,N,N,18.8617180081409
25740,ACTIVE,KIT 4,6315,TREATED,150,CI,NO,NONE,1951-01-01,DONATED,KITCHENER,N,6,1,10,N,N,5.35,N,Y,198.637432559784
82616,ACTIVE,KIT 2W,21792,TREATED,200,DI,NO,NONE,1977-01-01,DONATED,KITCHENER,N,6,5,30,N,N,8.5,N,N,7.16337855464204
5460,ACTIVE,KIT 2W,21792,TREATED,200,DI,NO,NONE,1977-01-01,DONATED,KITCHENER,N,6,5,30,N,N,8.5,N,N,206.477449859051
82618,ACTIVE,KIT 2W,21792,TREATED,200,DI,NO,NONE,1977-01-01,DONATED,KITCHENER,N,6,5,30,N,N,8.5,N,N,5.83761775996729
68810,ACTIVE,KIT 4,13167,TREATED,300,DI,NO,NONE,2002-06-01,DONATED,KITCHENER,N,6,4,0,N,N,9.1,N,Y,121.306733471873
33360,ACTIVE,KIT 4,9215,TREATED,300,CI,NO,NONE,1951-01-01,DONATED,KITCHENER,N,7,2,11,N,N,7.75,N,Y,32.9035419609398
82622,ACTIVE,KIT 4,10726,TREATED,150,CI,NO,NONE,1954-01-01,DONATED,KITCHENER,N,6,5,10,N,N,7.75,N,N,12.0396003261558
43940,ACTIVE,KIT 4,10727,TREATED,150,CI,NO,NONE,1954-01-01,DONATED,KITCHENER,N,6,5,12,N,N,7.75,N,N,89.488207947105
5110,ACTIVE,KIT 4,8634,TREATED,100,CI,NO,NONE,1955-06-01,DONATED,KITCHENER,N,6,1,19,N,N,3.83,N,Y,58.5512349590856
76876,ACTIVE,KIT 4,11304,TREATED,200,PVC,NO,NONE,2009-09-01,PURCHASED,KITCHENER,N,7,2,3,N,N,9.35,N,Y,122.392940555288
82624,ACTIVE,KIT 4,11304,TREATED,200,PVC,NO,NONE,2009-09-01,PURCHASED,KITCHENER,N,0,2,21,N,N,9.35,N,Y,3.7830281026879
82626,ACTIVE,KIT 2W,601483,TREATED,150,PVC,NO,NONE,2005-06-01,DONATED,KITCHENER,N,6,5,40,N,N,9.35,N,N,7.53770445741799
72280,ACTIVE,KIT 2W,601483,TREATED,150,PVC,NO,NONE,2005-06-01,DONATED,KITCHENER,N,6,5,40,N,N,9.35,N,N,88.9678729099633
3720,ACTIVE,KIT 4,6455,TREATED,150,DI,NO,NONE,1969-01-01,DONATED,KITCHENER,N,5,3,2,N,N,8.5,N,N,69.5514928850706
82628,ACTIVE,KIT 4,6455,TREATED,150,DI,NO,NONE,1969-01-01,DONATED,KITCHENER,N,6,3,2,N,N,8.5,N,N,7.62112895044281
82630,ACTIVE,KIT 4,9444,TREATED,200,DI,NO,NONE,1995-10-01,DONATED,KITCHENER,N,6,3,10,N,N,9.1,N,N,9.19804957017507
61390,ACTIVE,KIT 4,40132,TREATED,200,DI,NO,NONE,1995-10-01,DONATED,KITCHENER,N,6,3,10,N,N,9.1,N,N,60.7875662868977
21110,ACTIVE,KIT 4,13180,TREATED,200,DI,NO,NONE,1966-01-01,DONATED,KITCHENER,N,6,4,23C,N,N,6.9,N,Y,101.165703450678
82632,ACTIVE,KIT 4,9741,TREATED,300,DI,NO,NONE,1978-01-01,DONATED,KITCHENER,N,6,3,8,N,N,8.5,N,N,13.4854170072899
37660,ACTIVE,KIT 4,9741,TREATED,300,DI,NO,NONE,1978-01-01,DONATED,KITCHENER,N,7,3,8,N,N,8.5,N,N,71.3214165072336
10820,ACTIVE,KIT 5,9555,TREATED,300,DI,NO,NONE,1974-01-01,DONATED,KITCHENER,N,6,6,21,N,N,8.5,N,N,69.3211487464135
6320,ACTIVE,KIT 4,15789,TREATED,150,DI,NO,NONE,1969-01-01,DONATED,KITCHENER,N,5,4,11,N,N,8.5,N,Y,27.986326723977
61873,ACTIVE,KIT 4,8758,UNTREATED,450,DI,NO,NONE,1965-01-01,DONATED,REGION,N,0,2,8,N,Y,6.45,N,Y,125.628758605879
4650,ACTIVE,KIT 4,22515,TREATED,200,DI,NO,NONE,1985-06-01,DONATED,KITCHENER,N,6,4,29,N,N,9.1,N,Y,208.250577432994
82634,ACTIVE,KIT 4,22515,TREATED,200,DI,NO,NONE,1985-06-01,DONATED,KITCHENER,N,6,4,28,N,N,9.1,N,Y,7.66930081746306
82636,ACTIVE,KIT 4,10261,TREATED,300,DI,NO,NONE,1981-10-01,DONATED,KITCHENER,N,7,4,12,N,N,8.5,N,N,6.0960767059228
35160,ACTIVE,KIT 4,10261,TREATED,300,DI,NO,NONE,1981-10-01,DONATED,KITCHENER,N,6,4,12,N,N,8.5,N,N,18.3465366704289
81000,ACTIVE,KIT 4,6674,TREATED,300,DI,NO,NONE,1991-09-01,PURCHASED,KITCHENER,N,8,2,31,N,N,9.1,N,Y,8.92291577932052
76152,ACTIVE,KIT 4,8758,TREATED,150,PVC,NO,NONE,2009-04-14,PURCHASED,KITCHENER,N,6,1,24,N,N,9.35,N,Y,9.05249360204567
82638,ACTIVE,KIT 6,21077,TREATED,200,DI,NO,NONE,1985-01-01,DONATED,KITCHENER,N,6,6,6,N,N,9.1,N,N,22.8598568541356
27750,ACTIVE,KIT 6,21077,TREATED,200,DI,NO,NONE,1985-01-01,DONATED,KITCHENER,N,6,6,6,N,N,9.1,N,N,58.7498827562769
13520,ACTIVE,KIT 6,21746,TREATED,150,DI,NO,NONE,1986-04-15,DONATED,REGION,N,6,6,0,N,N,9.1,N,Y,3.13356972182598
82640,ACTIVE,KIT 6,21746,TREATED,150,DI,NO,NONE,1986-04-15,DONATED,REGION,N,0,6,0,N,N,9.1,N,Y,1.42029387405289
82642,ACTIVE,KIT 4,10756,TREATED,200,CI,NO,NONE,1967-09-01,PURCHASED,KITCHENER,N,7,5,17,N,N,7.85,N,N,17.8777072448309
18000,ACTIVE,KIT 4,10756,TREATED,200,CI,NO,NONE,1967-09-01,PURCHASED,KITCHENER,N,7,5,17,N,Y,4.6,N,N,209.861418383568
82644,ACTIVE,KIT 4,10756,TREATED,200,CI,NO,NONE,1967-09-01,PURCHASED,KITCHENER,N,7,5,17,N,N,7.85,N,N,12.8550743175607
82646,ACTIVE,KIT 4,5864,TREATED,150,PVC,NO,NONE,2004-06-01,DONATED,KITCHENER,N,7,2,6,N,N,9.35,N,Y,3.84192408560368
82648,ACTIVE,KIT 4,5869,TREATED,150,PVC,NO,NONE,2004-06-01,DONATED,KITCHENER,N,7,2,7,N,N,9.35,N,Y,30.7711776895556
82650,ACTIVE,KIT 4,5869,TREATED,150,PVC,NO,NONE,2004-06-01,DONATED,KITCHENER,N,0,2,7,N,N,9.35,N,Y,1.90142670631971
63200,ACTIVE,KIT 4,5869,TREATED,150,PVC,NO,NONE,2004-06-01,DONATED,KITCHENER,N,7,2,7,N,N,9.35,N,Y,35.8509652281732
82652,ACTIVE,KIT 4,9446,TREATED,150,DI,NO,NONE,1993-01-01,DONATED,KITCHENER,N,6,3,10,N,N,9.1,N,N,7.99427576195268
82654,ACTIVE,KIT 4,9446,TREATED,150,DI,NO,NONE,1993-01-01,DONATED,KITCHENER,N,6,3,10,N,N,9.1,N,N,121.220125677817
55200,ACTIVE,KIT 4,9446,TREATED,150,DI,NO,NONE,1993-01-01,DONATED,KITCHENER,N,6,3,10,N,N,9.1,N,N,156.239881225715
82656,ACTIVE,KIT 4,9446,TREATED,150,DI,NO,NONE,1993-01-01,DONATED,KITCHENER,N,6,3,10,N,N,9.1,N,N,140.776399070659
82658,ACTIVE,KIT 4,9446,TREATED,150,DI,NO,NONE,1993-01-01,DONATED,KITCHENER,N,6,3,9,N,N,9.1,N,N,8.38033179244448
61828,ACTIVE,KIT 4,23220,TREATED,200,DI,NO,NONE,1967-01-01,DONATED,KITCHENER,N,5,4,24,N,N,5.3,N,Y,45.3044384496188
82660,ACTIVE,KIT 4,10044,TREATED,150,CI,NO,NONE,1954-01-01,DONATED,KITCHENER,N,6,4,20,N,N,7.75,N,Y,11.8872410596228
31180,ACTIVE,KIT 4,10044,TREATED,150,CI,NO,NONE,1954-01-01,DONATED,KITCHENER,N,6,4,20,N,Y,4.1,N,Y,168.377487709454
82662,ACTIVE,KIT 4,10892,TREATED,200,DI,NO,NONE,1977-01-01,PURCHASED,KITCHENER,N,7,5,5,N,N,8.5,N,N,1.37645148554938
82664,ACTIVE,KIT 4,10892,TREATED,200,DI,NO,NONE,1977-01-01,PURCHASED,KITCHENER,N,6,5,5,N,N,8.5,N,N,9.48936206718531
5680,ACTIVE,KIT 4,10892,TREATED,200,DI,NO,NONE,1977-01-01,PURCHASED,KITCHENER,N,8,5,5,N,N,8.5,N,N,229.680646717216
5950,ACTIVE,KIT 4,6645,TREATED,300,DI,NO,NONE,1984-06-01,PURCHASED,KITCHENER,N,7,2,3,N,N,8.5,N,Y,175.053287705207
82668,ACTIVE,KIT 5,601322,TREATED,300,PVC,NO,NONE,2007-12-13,DONATED,KITCHENER,N,6,6,24,N,N,9.35,N,Y,13.0237823833453
69140,ACTIVE,KIT 5,601322,TREATED,300,PVC,NO,NONE,2003-04-08,DONATED,KITCHENER,N,6,6,25,N,N,9.35,N,Y,58.407289212112
82670,ACTIVE,KIT 5,601322,TREATED,300,PVC,NO,NONE,2003-04-08,DONATED,KITCHENER,N,6,6,25,N,N,9.35,N,Y,7.34709639508732
82672,ACTIVE,KIT 6,5459,TREATED,150,DI,NO,NONE,1979-01-01,DONATED,KITCHENER,N,6,6,7,N,N,8.5,N,N,6.60272633317823
