ASSET_ID,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,MATERIAL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,DATE_OF_CONSTRUCTION,SERVICE_STATUS,PIPE_AGE
M190,MAINBG,T,YAN YEAN-EPPING MAIN,MS,12.77,2100,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,MAINBG,T,YAN YEAN-EPPING MAIN,MS,18.02,1700,CLAY,1/1/1960 12:00:00 AM,1960-01-01,IN,66.0
M190,OFTAKE,S,YAN YEAN-EPPING MAIN,MSCL,1.99,1150,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,CONN,S,YAN YEAN-EPPING MAIN,MSCL,0.9,450,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,MAINBG,T,YAN YEAN-EPPING MAIN,MS,4.51,1700,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,MAINBG,T,YAN YEAN-EPPING MAIN,MS,1.87,825,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,CONN,S,YAN YEAN-EPPING MAIN,MSCL,1.95,450,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,BYPASS,S,YAN YEAN-EPPING MAIN,MSCL,4.67,225,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,CONN,S,YAN YEAN-EPPING MAIN,MSCL,2.79,450,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,MAINBG,T,YAN YEAN-EPPING MAIN,MS,3.83,1700,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,BYPASS,S,YAN YEAN-EPPING MAIN,MSCL,4.39,225,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,BYPASS,S,YAN YEAN-EPPING MAIN,MSCL,7.49,450,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
H001,MAINBG,S,SUGARLOAF DAM,MSCL,11.77,900,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,6.2,900,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,4.37,300,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,6.23,300,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,407.83,900,UNKN,,,IN,
