X,Y,Break_Date,Address,Pipe_Size_inch,Leak_Type,Pipe_ID,Detected,Install_Year,Break_Year,Age_at_Break,Age_Squared,Leak_Type_Clean
497220.971796891,5056793.10305665,2018-11-29,1409 S. Black Ave,18.0,Leaking Joint,6142.0,No,1918,2018,100,10000,Joint
497241.84654891,5059112.74251481,2018-12-07,Peach (Between Black & Bozeman),8.0,Leaking Joint,1179.0,No,1929,2018,89,7921,Joint
496287.370196021,5058421.34849016,2020-02-14,Main & 8th,6.0,Full Circle Break,346.0,No,1904,2020,116,13456,Circumferential
496089.343739836,5059029.45398673,2019-11-07,N 10th,6.0,Full Circle Break,4604.0,No,1961,2019,58,3364,Circumferential
493756.686329665,5063820.75146319,2019-09-16,100 Nelson - MDT Facility,8.0,Leaking Joint,11017.0,No,2015,2019,4,16,Joint
491908.213191942,5059022.04083472,2019-08-22,Cottonwood & Bembrick,12.0,Blow-out,8049.0,No,1998,2019,21,441,Blowout
494300.634026171,5060683.93392427,2019-08-08,Leeward Ct & Hedgerow,8.0,Corrosion,7656.0,No,2006,2019,13,169,Corrosion
493029.827952988,5059001.2666667,2019-07-27,415 N Teton Ave,6.0,Corrosion,5226.0,No,1980,2019,39,1521,Corrosion
493029.225600987,5058949.33338665,2019-07-10,406 Teton Ave,6.0,Corrosion,5226.0,No,1980,2019,39,1521,Corrosion
496679.809540386,5057404.64397722,2019-06-04,Harrison & 4th,4.0,Corrosion,6434.0,No,1918,2019,101,10201,Corrosion
495357.409579155,5059219.4381949,2019-06-04,621 N 17th ,8.0,Blow-out,3817.0,No,1970,2019,49,2401,Blowout
496981.492676668,5058806.10420252,2019-04-24,N Wilson,6.0,Leaking Joint,985.0,No,1938,2019,81,6561,Joint
497430.334293086,5062202.38038968,2019-03-20,1324 Augusta Dr,8.0,Corrosion,4115.0,No,1995,2019,24,576,Corrosion
497538.913757186,5059619.44381928,2019-02-14,1010 N. Rouse,16.0,Leaking Joint,7130.0,No,1927,2019,92,8464,Joint
497222.936220893,5056304.95807219,2020-03-13,E Kagy Blvd,8.0,Longitudinal Break,6357.0,No,1965,2020,55,3025,Longitudinal
494357.324242224,5057803.71681759,2020-05-15,2610 W Main St.,8.0,Full Circle Break,838.0,Yes,1971,2020,49,2401,Circumferential
497446.883917101,5062185.93562167,2020-06-19,Augusta Dr,8.0,Corrosion,4115.0,No,1995,2020,25,625,Corrosion
496612.563396324,5057404.60156921,2020-06-28,419 W Harrsion St,4.0,Corrosion,6434.0,No,1918,2020,102,10404,Corrosion
497507.650333158,5058508.66368224,2020-07-11,N Rouse,12.0,Blow-out,6891.0,No,1927,2020,93,8649,Blowout
495171.133034982,5058765.76269048,2020-07-14,1821 W Beal,6.0,Full Circle Break,5081.0,No,1973,2020,47,2209,Circumferential
496365.820428094,5057970.32733774,2020-08-13,S. 7th and Koch,6.0,Blow-out,363.0,No,1915,2020,105,11025,Blowout
496391.632516119,5058997.2713307,2020-08-31,431 N. 7th,6.0,Blow-out,4367.0,No,1930,2020,90,8100,Blowout
497516.073405165,5058764.65761848,2020-09-29,Rouse,14.0,Longitudinal Break,4440.0,No,1914,2020,106,11236,Longitudinal
495749.65970752,5058031.3452178,2020-10-28,308 S. 13th Ave,6.0,Full Circle Break,4937.0,No,1965,2020,55,3025,Circumferential
498125.711069733,5057076.52880091,2020-11-05,1201 Highland Blvd,6.0,Full Circle Break,8319.0,No,2000,2020,20,400,Circumferential
498563.190862141,5061009.81355657,2020-11-13,Bridger Dr,12.0,Corrosion,250.0,No,1978,2020,42,1764,Corrosion
496291.273564025,5058715.48189844,2020-11-15,8th and Beall,10.0,Full Circle Break,4331.0,No,1952,2020,68,4624,Circumferential
495226.079787033,5060981.80781255,2020-12-30,2273 Boothill Ct,8.0,Corrosion,3665.0,Yes,2003,2020,17,289,Corrosion
498290.229877886,5058094.16384186,2021-01-15,E. Curtiss & Macadow,6.0,Full Circle Break,7125.0,No,1955,2021,66,4356,Circumferential
497200.296908871,5055045.88195902,2021-03-18,E. Graf & Fox Hollow Way,1.5,Corrosion,1728.0,No,1991,2021,30,900,Corrosion
495042.252482861,5060741.97767632,2021-05-06,Baxter Ln & Commerce,8.0,Leak Outside Old Repair Band,659.0,No,1998,2021,23,529,Other
495209.203667017,5060172.55341979,2021-08-26,1510 N. 19th,4.0,Leak on Unused Fire Line,3852.0,No,1999,2021,22,484,Other
495114.525762929,5055891.81883981,2021-12-09,S. 19th & Stucky,24.0,Crack - Main hit by Contractor,7784.0,No,2006,2021,15,225,Crack
496088.992403836,5058864.43417857,2022-01-19,409 N 10th,6.0,Full Circle,4605.0,No,1961,2022,61,3721,Circumferential
497320.269404983,5059106.2917868,2022-02-03,N. Bozeman & Peach,6.0,Full Circle,864.0,No,1904,2022,118,13924,Circumferential
