Station Name,Station access,Staffed,Escalators,Lift,Independent boarding,Shelter,Low platform,Tactile edges,Hearing Loop,Info screens,Path Widths,Toilet,Parking,Pick up / Drop off
Hawthorn Station,Yes,No,No,No,No,In Part,In Part,Yes,No,Yes,No,No,Yes,Yes
Burnley Station,Yes,Yes,No,No,In Part,No,No,Yes,No,Yes,No,Yes,No,No
East Richmond Station,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Richmond Station,Yes,Yes,No,No,No,In Part,Yes,Yes,No,Yes,Yes,Yes,No,No
Parliament Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Melbourne Central Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Flagstaff Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Southern Cross Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Flinders Street Station,Yes,Yes,Yes,Yes,In Part,Yes,In Part,Yes,Yes,Yes,No,Yes,No,No
Craigieburn Station,Yes,Yes,No,No,No,In Part,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Roxburgh Park Station,Yes,No,No,No,No,In Part,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Coolaroo Station,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
Broadmeadows Station,Yes,Yes,No,No,No,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes
Jacana Station,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Glenroy Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Oak Park Station,Yes,No,No,No,No,No,In Part,In Part,No,No,No,No,No,No
Pascoe Vale Station,Yes,No,No,No,No,In Part,No,Yes,No,No,No,No,Yes,No
Strathmore Station,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Glenbervie Station,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
Essendon Station,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
Moonee Ponds Station,Yes,Yes,No,No,No,In Part,In Part,Yes,No,Yes,No,No,No,No
Ascot Vale Station,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No
Newmarket Station,Yes,No,No,No,No,No,In Part,Yes,No,No,Yes,No,No,No
Kensington Station,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
North Melbourne Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
Flagstaff Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Melbourne Central Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Parliament Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Flinders Street Station,Yes,Yes,Yes,Yes,In Part,Yes,In Part,Yes,Yes,Yes,No,Yes,No,No
Southern Cross Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Cranbourne Station,Yes,Yes,No,No,Yes,In Part,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Merinda Park Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Lynbrook Station,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
Dandenong Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Yarraman Station,Yes,No,No,No,In Part,In Part,In Part,Yes,Yes,No,No,No,Yes,No
Noble Park Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sandown Park Station,Yes,No,No,No,No,In Part,In Part,Yes,No,No,No,No,Yes,Yes
Springvale Station,Yes,Yes,No,Yes,In Part,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Westall Station,Yes,Yes,No,Yes,Yes,In Part,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Clayton Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Huntingdale Station,Yes,Yes,No,No,No,In Part,Yes,Yes,No,Yes,Yes,No,Yes,No
Oakleigh Station,Yes,Yes,No,No,Yes,In Part,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Hughesdale Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Murrumbeena Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Carnegie Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Caulfield Station,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Malvern Station,Yes,Yes,No,No,No,In Part,In Part,No,No,Yes,Yes,Yes,No,No
Armadale Station,Yes,Yes,No,No,No,In Part,No,Yes,No,Yes,Yes,No,No,Yes
Toorak Station,Yes,No,No,No,No,In Part,Yes,Yes,No,Yes,No,No,No,Yes
Hawksburn Station,Yes,No,No,No,No,In Part,Yes,Yes,No,Yes,Yes,No,No,No
South Yarra Station,Yes,Yes,No,No,In Part,In Part,No,Yes,Yes,Yes,No,Yes,No,No
Richmond Station,Yes,Yes,No,No,No,In Part,Yes,Yes,No,Yes,Yes,Yes,No,No
Parliament Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Melbourne Central Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Flagstaff Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
