Sale_Year,Small_Area,Type,Median_Price,Transaction_Count
2014,Melbourne (CBD),Residential Apartment,522250,2857
2014,Melbourne (Remainder),Residential Apartment,725000,165
2014,South Yarra,Residential Apartment,651000,153
2014,Southbank,House/Townhouse,,2
2014,West Melbourne (Residential),House/Townhouse,850000,27
2015,Carlton,Residential Apartment,432500,277
2015,Docklands,House/Townhouse,1880000,11
2015,Docklands,Residential Apartment,576500,608
2015,East Melbourne,House/Townhouse,1825000,37
2015,East Melbourne,Residential Apartment,677500,152
2015,Kensington,House/Townhouse,770000,176
2015,Kensington,Residential Apartment,435000,115
2015,Melbourne (Remainder),Residential Apartment,575500,64
2015,North Melbourne,House/Townhouse,900000,107
2015,Parkville,House/Townhouse,1238000,39
2015,South Yarra,House/Townhouse,2100000,33
2015,West Melbourne (Residential),House/Townhouse,912500,33
2015,West Melbourne (Residential),Residential Apartment,540300,163
2016,Carlton,House/Townhouse,1110000,57
2016,Docklands,Residential Apartment,591000,371
2016,Kensington,House/Townhouse,818750,172
2016,Kensington,Residential Apartment,430000,128
2016,Melbourne (Remainder),Residential Apartment,582500,80
2016,West Melbourne (Residential),House/Townhouse,900000,26
2016,NA,House/Townhouse,,4
2000,Docklands,Residential Apartment,487300,556
2000,Parkville,House/Townhouse,516000,42
2000,Southbank,Residential Apartment,370500,901
2001,Carlton,House/Townhouse,381000,113
2001,Melbourne (CBD),House/Townhouse,,4
2001,North Melbourne,House/Townhouse,325500,169
2001,North Melbourne,Residential Apartment,270000,271
2001,Parkville,House/Townhouse,354000,36
2001,South Yarra,House/Townhouse,800000,46
2001,West Melbourne (Residential),House/Townhouse,323000,50
2002,Kensington,House/Townhouse,342050,197
2002,Melbourne (CBD),House/Townhouse,,4
2002,Melbourne (Remainder),Residential Apartment,367562,44
2002,North Melbourne,House/Townhouse,351000,148
2002,North Melbourne,Residential Apartment,307500,224
2002,Parkville,Residential Apartment,247000,88
2002,South Yarra,House/Townhouse,870000,43
2002,South Yarra,Residential Apartment,330000,197
2002,West Melbourne (Residential),House/Townhouse,422000,69
2002,West Melbourne (Residential),Residential Apartment,335000,104
2003,Kensington,Residential Apartment,0,288
2003,Melbourne (CBD),Residential Apartment,298200,1367
2003,Melbourne (Remainder),Residential Apartment,355000,39
2003,Parkville,House/Townhouse,713500,32
2003,West Melbourne (Residential),House/Townhouse,375000,72
2004,Carlton,Residential Apartment,315000,201
2004,Docklands,Residential Apartment,445000,252
2004,Kensington,House/Townhouse,355000,194
2004,Melbourne (Remainder),Residential Apartment,405000,67
2004,Southbank,Residential Apartment,345000,445
2005,Carlton,House/Townhouse,440000,87
2005,Kensington,House/Townhouse,400000,152
2005,Kensington,Residential Apartment,300750,96
2005,Melbourne (CBD),Residential Apartment,317500,1119
2005,South Yarra,Residential Apartment,294444,139
2005,Southbank,Residential Apartment,370000,535
2005,West Melbourne (Residential),Residential Apartment,365000,73
2006,East Melbourne,House/Townhouse,1150000,59
2006,Melbourne (Remainder),Residential Apartment,455000,83
2006,North Melbourne,House/Townhouse,463500,138
2006,Parkville,House/Townhouse,812500,68
2006,South Yarra,House/Townhouse,1081500,56
2006,Southbank,Residential Apartment,422000,817
2006,West Melbourne (Residential),House/Townhouse,530000,33
2007,East Melbourne,House/Townhouse,1562500,64
2007,Kensington,House/Townhouse,502000,191
2007,Parkville,House/Townhouse,752500,132
2007,South Yarra,Residential Apartment,482500,170
2007,Southbank,House/Townhouse,,3
2008,Carlton,House/Townhouse,490000,72
2008,Melbourne (Remainder),Residential Apartment,492500,124
2008,Parkville,Residential Apartment,385500,62
2008,South Yarra,House/Townhouse,1917500,30
2008,South Yarra,Residential Apartment,485850,118
2009,Carlton,House/Townhouse,607500,66
2009,Carlton,Residential Apartment,460000,255
2009,Kensington,House/Townhouse,550000,221
2009,North Melbourne,House/Townhouse,337000,179
2009,North Melbourne,Residential Apartment,415000,392
2009,Parkville,House/Townhouse,675000,53
2010,Kensington,House/Townhouse,640500,218
2010,Melbourne (CBD),House/Townhouse,,4
2010,North Melbourne,House/Townhouse,720000,123
2010,Southbank,House/Townhouse,14300000,33
2011,Carlton,Residential Apartment,520000,625
2011,Docklands,House/Townhouse,2302000,17
2011,East Melbourne,House/Townhouse,1352500,30
2011,Melbourne (Remainder),Residential Apartment,631250,68
2011,Parkville,House/Townhouse,975000,34
