Geo Point,Geo Shape,seg_id,str_type,status_id,seg_descr,poly_area,gisid,street_id,seg_part
3812,4042,22645,1,12,2528,20159,3556,3080,14
3023,2488,20173,3,2,3120,3011,3461,1010,1
404,1222,22946,3,2,932,1564,705,585,1
1595,1446,21077,4,3,1191,1012,2691,659,1
336,298,23186,4,3,846,375,664,120145,1
2841,3265,20259,4,3,60,642,3185,377,1
3483,1131,23151,4,3,2485,1438,4017,117952,3
2120,1102,21452,3,2,6,1707,1297,367,1
673,3070,20538,3,2,2349,6603,1570,840,1
3002,3168,20147,3,2,3265,2842,3238,1045,1
3388,1896,20069,0,1,3394,2956,3058,1086,1
11,955,22920,3,2,1803,317,370,119271,1
3691,4107,22488,0,1,3092,3465,1342,1004,1
1409,1124,21053,3,2,108,1889,2880,395,1
1459,3010,20531,3,2,1725,922,1577,0,1
818,681,21270,3,2,1279,2927,2220,688,1
3608,778,23262,3,2,1136,611,3911,120034,1
684,3329,20570,3,2,1887,898,1811,1024,1
1512,1926,30384,9,4,2921,31,301,2951,1
2879,2170,20185,3,2,3759,2910,3449,1179,1
3974,3965,22284,3,2,23,1788,955,369,1
80,1715,22429,3,2,1000,4616,2106,601,1
2347,1380,30454,9,4,2866,11,2403,2851,1
1016,3267,20700,4,3,87,186,1684,1202,1
1915,1528,20993,3,2,2044,1240,2686,0,1
3022,2968,20111,3,2,1991,913,3026,0,1
2738,2735,20325,4,3,52,253,3395,1196,1
386,229,21776,4,3,2790,108,2351,1428,1
1665,1663,21093,4,3,2110,169,2706,747,1
779,248,22840,3,2,1080,604,2141,117792,1
1410,3018,20764,4,3,191,270,1976,117748,1
2503,4156,21573,3,2,45,5244,1455,375,1
2987,3516,20247,4,3,3383,375,3196,1085,1
2549,3197,30159,9,4,2950,14,108,2997,1
417,3280,23356,4,3,356,54,153,59,1
3418,3639,30882,9,4,3532,625,4126,120160,5
2557,3296,20233,4,3,2539,169,3210,911,1
4039,3800,22737,3,2,2420,165,1027,884,1
468,1241,21253,3,2,930,2993,2959,585,1
1408,3559,20608,0,1,2599,796,1774,931,1
714,1785,22339,3,2,1169,2839,2056,649,1
2206,1333,21464,3,2,3228,5536,1308,1035,1
985,1160,21216,3,2,941,2767,2922,585,1
3405,1732,22819,3,2,771,1784,3894,526,2
2741,4082,21883,3,2,1188,4022,1418,656,1
3931,3914,22266,3,2,1394,429,938,383,1
2395,2697,20161,3,2,3523,2875,3473,1114,1
2251,709,30068,12,8,2532,261,41,3097,1
2698,2613,20167,3,2,991,2844,3467,599,1
3880,3319,22093,0,1,1966,2732,867,1056,1
1256,352,21746,3,2,67,1169,2321,381,1
1677,2960,20527,3,2,1729,912,1581,840,1
3725,725,22558,3,2,1900,1225,3144,1387,1
4130,3954,22750,0,1,1832,301,1040,1004,1
3248,2693,20392,4,3,2504,205,3332,898,1
3100,3839,21962,0,1,2064,918,803,0,1
846,807,21321,0,1,2366,2640,2994,847,1
3827,2158,22011,4,3,231,1031,3667,1367,1
3793,2469,22044,0,1,1686,1493,3700,1359,1
2314,1560,30525,9,4,2669,80,2459,2852,1
194,308,23016,3,2,2239,2169,603,119669,1
2440,1548,21483,0,1,943,5514,1143,586,1
1244,3170,20710,3,2,1071,3035,1674,621,1
1319,2903,20758,4,3,907,1988,1982,575,1
3922,4006,22273,3,2,3676,2030,945,1155,1
117,1729,22430,0,1,2361,4327,2107,845,1
1235,1796,21180,3,2,1276,6154,2769,687,1
1219,341,21738,3,2,1793,309,2312,0,1
1480,1559,21074,3,2,102,2990,2800,395,1
1048,2935,20786,4,3,622,23,1957,69,1
2766,3443,30194,9,4,3206,44,133,1029,1
3787,2107,22007,0,1,2605,22774,3663,1368,1
2730,906,23267,4,3,3278,1554,3923,120039,1
4123,3976,22745,0,1,1831,213,1035,1004,1
1948,715,30828,11,9,3354,1714,3902,3223,1
2013,1270,30862,9,4,2675,21,4054,2971,1
1585,2246,22502,3,2,2780,1513,1504,975,1
1062,3361,30287,9,4,2657,46,217,1489,1
1686,2778,20805,4,3,377,506,1941,477,1
841,736,21318,3,2,1693,243,2991,774,1
1780,2076,20925,3,2,3134,1959,2619,1008,1
2881,1111,22904,13,16,2582,1576,3964,117864,1
3763,3725,22644,1,12,3377,16,2608,117764,2
1308,3241,20711,4,3,3611,607,1673,1145,1
3447,914,23321,6,6,3578,414,4094,120149,1
1781,2867,20750,4,3,3260,421,1990,1043,1
32,945,22928,3,2,1160,1172,373,119263,1
3507,337,22158,0,1,2328,7766,3655,1370,1
1437,1567,21145,3,2,1029,1525,2754,607,1
419,932,23243,4,3,816,388,3888,119784,1
2492,2835,30728,9,4,3309,156,741,117922,1
3069,1994,20192,0,1,2140,2891,3442,761,1
3711,1496,30816,9,4,3781,453,3872,119769,1
1454,1229,22518,4,3,81,105,702,1201,1
2843,1924,20194,0,1,2152,2816,3440,761,1
461,169,22776,3,2,3731,3706,760,1173,1
2464,3997,21582,3,2,1386,911,1446,0,1
2699,1693,20030,3,2,2187,6066,3087,780,1
59,2303,22387,0,1,3255,18091,1864,1041,1
4010,3958,22235,3,2,897,2965,930,572,1
1597,1920,30383,9,4,2922,79,300,2952,1
1446,2624,20844,4,3,2286,467,1902,820,1
1576,1373,30314,9,4,2924,13,236,2956,1
3765,43,22168,3,2,2334,40406,3785,1370,1
885,1193,20906,3,2,1550,1278,2817,0,1
78,124,23199,0,1,1586,663,631,605,1
1602,2668,20487,3,2,3525,1970,1617,1114,1
678,2006,22348,3,2,3770,2155,2065,1183,1
1239,3141,20549,3,2,1541,914,1832,0,1
1505,3039,20723,4,3,3697,168,1549,117941,1
1280,846,21297,3,2,1128,2106,2973,639,1
3830,2343,22025,3,2,1493,245,3681,0,1
729,1107,30431,9,4,3301,160,335,1068,1
1729,1792,20963,3,2,1853,911,2656,0,1
3999,3883,22230,3,2,1528,453,979,572,1
1433,2531,20845,4,3,2394,252,1901,867,2
2134,2450,23323,4,3,2651,207,4106,120165,1
3371,3614,30882,9,4,3532,512,4124,120160,2
2379,3714,20893,3,2,46,6091,855,375,1
3949,2883,22570,0,1,1685,352,3156,0,1
2273,3142,20277,4,3,1043,331,3169,613,1
428,548,23190,4,3,366,49,673,119741,1
3570,859,23304,6,6,3212,9184,3976,117906,1
2352,3300,20001,3,2,2324,6217,3275,803,1
3375,1733,22819,3,2,771,5422,3621,526,1
1922,983,21332,3,2,1768,338,3004,0,1
620,1254,30310,9,4,3020,51,234,3133,1
619,1322,21236,4,3,1036,341,2942,609,1
2642,3134,20268,4,3,1198,116,3176,662,1
2411,1359,21478,3,2,1901,917,1320,0,1
2313,2287,30474,9,4,2982,220,2420,3064,1
2455,3254,20143,3,2,1050,2882,3242,615,1
2063,1166,21459,3,2,14,3057,1303,367,1
3045,3580,20208,3,2,1121,6107,3223,636,1
3459,1876,30083,11,9,3375,9090,51,3224,1
1236,1847,22687,0,1,1615,1815,725,632,1
1731,1062,21031,3,2,3460,4165,2857,1095,1
1863,1848,20956,3,2,1349,6136,2649,726,1
230,1042,22591,0,1,1611,1862,1488,632,1
3432,2794,22568,6,6,1041,47,356,3187,1
166,475,23160,4,3,2316,495,641,120182,1
2717,1872,20195,0,1,2151,2899,3439,761,1
1351,3454,20611,3,2,2562,1519,1770,921,1
3658,866,22127,0,1,2331,4821,3793,1370,1
2639,2593,20008,3,2,1707,925,3107,0,1
1041,2657,30200,9,4,3386,1047,139,3206,1
3152,3677,23220,4,3,2387,583,3828,119754,1
2300,1589,21418,4,3,564,292,4081,253,1
247,670,23155,4,3,333,354,636,119725,1
2675,795,30804,9,4,3737,1210,3849,119756,1
2752,4150,21877,4,3,597,130,1424,83,1
1516,1790,21097,3,2,98,2656,2710,395,1
728,3481,20588,3,2,1454,918,1794,0,1
1954,1121,22668,3,2,1771,547,1201,0,1
2476,1246,21541,3,2,3170,429,1329,1016,1
3279,1581,22554,0,1,1438,872,3586,117786,1
2504,3059,20269,4,3,209,111,3425,431,1
2093,35,22442,0,1,1132,51278,3578,640,1
304,617,30784,9,4,2693,53,440,119708,1
1563,1599,30394,9,4,2913,29,311,2939,1
22,1317,30871,9,4,838,1935,4082,120140,1
2674,3052,30191,9,4,304,18,131,472,1
2942,3353,20255,4,3,456,425,3188,505,1
2835,4088,21907,3,2,3321,3030,1398,1073,1
874,3465,20653,4,3,570,305,1720,215,1
2153,1101,21448,3,2,1366,914,1293,0,1
1546,2057,21121,4,3,195,522,2730,427,1
1296,3182,20708,4,3,527,38,1676,1505,1
923,3572,30224,9,4,2975,34,163,3050,1
1221,3326,30278,9,4,2829,58,208,1499,1
1381,3423,20579,3,2,389,1510,1803,479,1
689,60,22768,0,1,2356,1797,753,117852,1
3518,2704,22566,3,2,1894,294,3152,1339,1
3474,2049,20224,3,2,1116,7044,3427,636,1
2977,1747,20015,0,1,1712,925,3100,1086,1
913,141,21826,3,2,3533,2205,2188,2034,1
2915,2521,20084,3,2,259,6130,3045,455,1
97,201,23150,0,1,1869,1619,513,605,1
2179,2215,21630,3,2,3117,2353,1225,1010,1
2268,1119,21547,3,2,3168,1449,1335,1016,1
107,874,23210,0,1,1606,2346,687,632,1
850,844,21290,3,2,3618,1038,2966,1149,1
585,680,23103,3,2,3491,3456,626,119628,1
1515,3543,20598,0,1,1784,313,1784,0,1
3012,1841,30847,9,4,3691,1049,4019,120060,1
1166,744,21307,3,2,2207,163,2980,774,1
3182,3744,22444,4,3,2427,551,769,3245,1
3233,4125,22627,0,1,2062,819,3534,0,1
3213,2796,20309,4,3,3245,237,3411,1039,1
1829,2899,20749,4,3,2386,220,1991,865,1
525,410,23107,3,2,3745,944,557,119654,1
3693,3293,22466,0,1,3434,9913,1057,1056,1
3687,204,22160,3,2,1923,1105,3657,0,1
2605,2417,22792,4,3,482,64,3618,2250,1
1973,2151,20930,4,3,710,128,2624,115,1
3610,1466,22805,0,1,448,2357,3807,3088,5
650,3339,20572,3,2,1888,1253,1810,1024,1
1649,1398,30360,9,4,2884,22,279,2969,2
1491,1583,21083,3,2,1400,902,2696,0,1
2852,2934,20299,4,3,3172,479,3418,1018,1
1982,2374,20453,3,2,2229,2715,1651,786,1
3035,2736,30148,9,4,234,227,101,1600,1
1089,2990,20785,4,3,2281,148,1958,817,1
1560,3184,23353,4,3,2699,139,4151,1543,1
405,694,23101,3,2,3493,2897,627,119628,1
2871,3690,21859,0,1,2217,8428,816,778,1
1295,3567,22820,0,1,1603,485,1768,0,1
89,968,22587,3,2,2398,1732,1482,870,1
2200,723,30075,11,9,2467,61216,44,3222,1
763,306,22887,4,3,737,432,731,117932,1
4067,3771,22740,3,2,2516,4503,1030,900,1
1495,1927,21129,4,3,3602,612,2738,1138,1
3489,2160,22178,0,1,2147,4012,3780,761,1
983,3099,30267,9,4,2838,17,198,1522,1
2041,1921,21391,4,3,3288,298,1102,2895,2
1379,3023,20765,4,3,3792,301,1975,1192,1
1884,2863,22499,3,2,3144,3090,1501,1008,1
1460,3467,20605,4,3,576,102,1777,241,1
1589,2240,20473,3,2,1427,642,1631,0,1
2320,2533,21644,4,3,2291,1965,1238,822,1
2022,1325,21356,4,3,2506,177,1274,1279,1
2637,3078,20150,3,2,3263,2892,3484,1045,1
1521,78,30568,9,4,1316,1767,2475,709,1
274,708,23099,3,2,3489,2066,629,119628,1
2957,2451,20085,3,2,1840,907,3044,0,1
2553,3701,21857,0,1,2216,3042,818,778,1
3123,3410,20210,3,2,1115,6128,3221,636,1
3268,2890,20214,3,2,1122,6039,3437,636,1
2023,954,21440,3,2,1656,791,1285,0,1
297,647,23042,3,2,1690,147,528,119629,1
255,284,23086,4,3,3310,308,607,119667,1
2430,344,30809,8,5,2557,3438,4068,119763,1
2887,2369,20059,3,2,2257,2311,3066,809,1
2494,1635,21498,0,1,1941,927,1151,0,1
4080,4012,22240,3,2,2525,2034,935,906,1
1778,2529,30243,9,4,2854,99,180,1731,1
3960,3892,22283,3,2,1061,1277,954,619,1
3344,34,30031,8,5,2998,4680,24,3100,1
186,873,23130,4,3,2317,364,531,119646,1
1820,1791,20968,4,3,134,138,2661,1205,1
61,2670,22511,3,2,1162,2653,1512,648,1
916,2944,20782,4,3,553,140,1960,223,1
3103,3172,20125,3,2,1108,2135,3248,635,1
735,615,21267,3,2,40,1464,2217,374,1
106,1739,22428,0,1,1001,4394,2105,601,1
3444,2296,30761,6,6,90,527,400,119553,1
3504,1364,23308,3,2,764,2198,4029,526,1
679,112,21820,4,3,1333,439,2182,1420,1
393,181,21779,3,2,3305,573,2354,1306,1
1447,3232,30241,9,4,2852,6,178,1694,1
3242,3767,22784,3,2,2721,966,3567,953,1
1696,1530,20991,3,2,1856,936,2684,0,1
1570,1821,21107,3,2,801,2993,2720,541,1
3745,1386,22122,0,1,2332,3165,3788,1370,1
2110,1035,21446,3,2,1377,1058,1291,0,1
2311,1542,21422,0,1,1953,910,1131,0,1
612,2066,22351,3,2,183,1638,2068,424,1
3703,1040,22126,4,3,2335,4,4087,1370,3
418,2562,30751,9,4,2544,651,3133,119044,1
2249,2537,30503,9,4,2938,79,2442,2978,1
1764,1281,21006,3,2,1005,4215,2832,602,1
3072,2747,30155,9,4,235,58,105,3225,1
2535,2454,20337,4,3,3502,121,4056,1109,2
1893,2031,20936,0,1,1812,799,2630,973,1
2538,2717,20331,4,3,3350,134,3391,1080,1
2984,4124,30625,9,4,313,57,2522,1402,1
3048,1786,20076,0,1,3400,2948,3051,1086,1
136,257,22976,3,2,238,701,612,119681,1
3216,3505,22642,2,13,172,338,3551,117741,3
1784,1425,20997,0,1,1513,632,2828,552,1
604,1091,30326,9,4,1038,273,248,610,1
2062,1331,23361,4,3,1193,129,4154,1877,1
444,994,21245,3,2,2472,2134,2951,890,1
2122,1766,21389,4,3,352,152,1100,247,1
252,836,23110,3,2,61,3748,544,119625,1
1858,2100,20941,4,3,2265,290,2635,811,1
3685,5,23345,6,6,3215,601,4142,117906,1
925,215,21839,4,3,2241,39,2132,3168,2
2853,1942,20405,4,3,1211,171,3319,666,1
1363,3392,20678,4,3,3308,294,1695,117758,1
1992,1383,21347,3,2,1769,654,1268,0,1
2278,3816,21572,0,1,2027,571,835,1151,1
1790,1915,30367,9,4,2906,28,285,2921,1
1196,146,21742,3,2,1666,472,2317,0,1
3807,2428,22037,3,2,2535,949,3693,1399,1
2726,2551,30116,9,4,3738,28,77,1176,1
232,541,23066,3,2,3181,1737,569,119633,1
1044,1468,30417,9,4,3026,25,329,3138,1
540,3092,20539,3,2,1726,915,1569,0,1
747,3569,20620,3,2,1977,626,1752,0,1
2885,3556,20197,3,2,1616,390,3234,1088,1
917,576,21284,3,2,1477,341,2234,504,1
1705,1450,21003,4,3,2159,35,2798,1264,1
1487,1746,30403,9,4,2904,28,318,2918,1
3814,19,30855,9,4,194,1459,4040,120125,1
3851,2574,22457,0,1,2163,82,4015,1359,2
2081,2791,21605,0,1,3658,3084,1849,1152,1
1543,1652,30432,9,4,3040,51,336,117900,1
1274,1905,22688,0,1,1100,5873,726,632,1
1400,2916,20763,4,3,1227,93,1977,672,1
285,996,23208,3,2,1762,769,685,890,1
969,3348,20659,4,3,3765,113,1714,1294,1
2276,1964,22657,3,2,2775,2312,1191,973,1
3612,173,30642,9,4,186,4723,2533,1404,1
423,288,30566,9,4,2839,144,2474,1524,1
545,366,21751,3,2,1019,1352,2326,605,1
701,3524,20631,4,3,606,63,1741,313,1
833,133,22578,3,2,2008,238,2154,0,1
2133,1881,30494,9,4,2891,24,2433,2892,1
760,1801,22333,4,3,650,532,2050,70,1
590,82,22845,3,2,3384,2725,752,1435,1
2950,4099,21922,4,3,534,303,1384,79,1
1225,2535,30205,9,4,3768,1716,144,1181,1
3476,1243,23245,4,3,2121,971,3899,120029,1
2944,2785,20097,3,2,2272,2190,3036,812,1
2393,4070,21579,4,3,1239,203,1449,3250,1
3710,3747,22644,1,12,3377,13,2609,117764,1
3373,2652,22910,6,6,2611,2715,1469,119219,1
84,931,22418,4,3,3791,742,2023,73,1
1273,1768,30831,9,4,363,23,3922,119,1
3652,1404,22805,0,1,448,6070,3662,3088,2
2419,3306,20226,4,3,3091,399,3218,1003,1
3170,2074,20417,4,3,2795,172,3309,2566,1
3731,2755,22873,0,1,3061,1165,354,1346,2
505,316,21756,4,3,518,213,2331,1463,1
3074,2405,30102,9,4,2604,175,64,3019,1
3065,3077,30198,9,4,3201,1156,137,117862,1
2099,1112,21453,3,2,1371,611,1298,0,1
2118,3084,30485,9,4,2952,59,2428,3002,1
3895,49,30634,11,9,3702,20368,2528,3081,1
4106,3999,22749,0,1,3102,1019,1039,1004,1
2884,1147,23298,13,16,1274,733,3967,117766,1
2253,2651,22649,3,2,3522,1381,1183,1114,1
3748,3186,22878,3,2,1636,730,365,1351,1
1388,1295,30315,9,4,3019,95,237,3131,1
782,154,22581,3,2,1766,361,2158,0,1
1208,3391,20671,3,2,2359,3665,1702,844,1
3825,2173,22010,3,2,1258,4668,3666,1365,1
2692,2002,20402,4,3,286,317,3322,463,1
1865,1794,30369,9,4,3031,130,287,3144,1
2902,2748,30145,9,4,3561,616,98,3180,1
3145,2842,20312,4,3,440,271,3408,499,1
1205,1497,21194,0,1,830,648,2807,552,1
2590,2926,30183,9,4,434,27,125,496,1
1939,2024,20937,0,1,2778,3271,2631,973,1
1164,503,21711,3,2,3378,1495,2285,1083,1
3831,1987,22012,3,2,433,541,3668,1448,1
661,3444,20645,4,3,579,203,1728,1479,1
1352,1827,21136,3,2,3616,957,2745,1147,1
504,924,23238,4,3,2771,151,3893,119650,1
2517,4157,21997,0,1,1647,440,1349,0,1
2782,2479,30117,9,4,2864,34,78,2849,1
1940,2721,30218,9,4,2977,53,157,3054,1
943,639,21281,3,2,452,1167,2231,504,1
1486,2757,20809,4,3,660,92,1938,321,1
2905,2716,20319,4,3,3553,251,3401,495,1
972,1626,21202,0,1,1032,620,2787,607,1
1977,1178,21343,0,1,3389,4428,1264,1086,1
3647,3699,22191,0,1,3506,505,3566,3196,1
3369,2475,20219,3,2,1751,1080,3432,0,1
1234,702,21666,4,3,487,689,2251,1910,1
2139,1853,30711,9,4,2891,89,2593,2892,1
3928,4016,22272,4,3,708,257,944,66,1
2150,2352,30478,9,4,2980,158,2423,3061,1
1873,1480,30376,9,4,2679,70,294,3134,1
4017,3838,22734,3,2,2744,2803,1024,960,1
4118,3982,22746,0,1,1830,104,1036,1004,1
3939,4018,22269,3,2,742,1309,941,517,1
1644,2984,20528,3,2,2350,1508,1580,840,1
273,266,23105,4,3,3696,84,587,119665,1
2359,3370,30165,9,4,2942,82,113,2983,1
320,279,21763,3,2,1590,253,2338,605,1
3951,3911,22281,3,2,76,4372,953,383,1
1854,1793,20969,4,3,1158,620,2662,647,1
3957,54,22166,0,1,2013,4632,3660,1385,1
1283,346,23336,4,3,367,15,4135,143,1
1479,1762,21142,4,3,2559,252,2751,1281,1
3551,2035,22174,0,1,3405,5636,3776,1086,1
1549,2703,30251,9,4,2850,179,187,1676,1
1415,3231,20717,4,3,906,278,1667,3043,1
1594,1296,21071,3,2,3088,4044,2897,1002,1
3718,2682,22052,0,1,1814,926,3708,0,1
638,320,21686,3,2,2129,2735,2261,753,1
771,191,21831,4,3,181,207,2193,2045,1
2787,2871,20081,3,2,1437,905,3048,0,1
3530,1870,22446,3,2,1120,10603,3615,636,1
3389,1895,30759,9,4,780,636,399,119552,1
2323,1969,21528,3,2,2076,1860,1180,1179,1
2683,3384,20091,3,2,2271,2364,3260,812,1
3714,841,22124,3,2,1290,4822,3790,1372,1
3377,2145,20136,0,1,1672,608,3486,0,1
3937,3992,22265,3,2,1496,302,937,0,1
3609,746,22131,4,3,2327,405,3956,1370,1
1691,1285,21014,4,3,3070,178,2840,120078,1
3005,2148,22881,4,3,1202,701,2389,664,1
1260,3499,20617,4,3,590,142,1763,239,1
3835,217,22161,0,1,1922,1174,3658,0,1
340,2455,22598,0,1,1498,2338,1472,0,1
965,3554,22601,3,2,1794,672,1524,955,1
4128,3916,22304,3,2,2762,2479,974,967,1
3565,718,23334,3,2,3361,959,4132,120031,1
1371,1203,21157,3,2,2336,1021,2903,804,1
2716,3385,20241,4,3,743,122,3202,518,1
1001,3304,20565,3,2,3187,3064,1816,1024,1
2519,2619,30120,9,4,2959,129,81,3013,1
3694,1406,22805,0,1,448,1738,3132,3088,4
4109,3993,22748,0,1,1830,61,1038,1004,1
249,436,22987,3,2,791,532,552,119656,1
4090,3760,22213,0,1,3581,1388,889,1127,1
3289,3035,22195,3,2,3526,1440,357,1114,1
3186,2347,20361,4,3,1253,486,3363,683,1
2059,1707,21380,3,2,3446,1219,1091,1089,1
3079,1954,20436,4,3,797,422,3290,539,1
2660,3689,21858,0,1,1697,2919,817,778,1
758,3033,20776,4,3,442,67,1964,120151,1
3143,2118,20416,4,3,468,1324,3310,509,1
2925,2281,20349,4,3,3565,288,3374,1122,1
762,1127,30322,9,4,2997,10,244,3087,1
91,855,22421,0,1,2550,887,2026,918,1
2177,1860,21401,3,2,1774,410,1111,0,1
3498,1006,23342,4,3,34,739,4138,120172,1
2399,2044,21529,3,2,3750,3018,1181,1179,1
2335,3190,20144,3,2,1053,2916,3241,615,1
828,1143,21226,4,3,380,57,2932,1741,1
2760,691,30027,12,8,2532,73877,20,3097,1
2147,1423,21432,0,1,1952,915,1280,0,1
111,368,23145,0,1,1866,340,515,119624,1
2293,1326,21467,4,3,642,124,1310,264,1
2829,4123,21913,4,3,690,159,1392,39,1
1688,2310,20860,4,3,630,144,1887,329,1
3955,3998,22287,3,2,3675,3487,958,1155,1
3015,3963,21925,3,2,1179,4057,1381,652,1
1292,3117,20770,4,3,3610,614,1971,1145,1
2333,4007,21585,0,1,2032,823,1443,1151,1
3367,4095,21957,3,2,3615,1549,1357,1148,1
3775,2277,22019,3,2,730,1785,3675,1363,1
997,792,20900,3,2,1982,316,2811,453,1
3590,2036,30651,12,8,3790,17846,2542,3094,1
951,2836,22846,4,3,3606,215,1874,1142,1
964,3235,20702,4,3,562,44,1682,1526,1
723,3590,30226,9,4,2973,32,165,3048,1
1721,2655,22505,3,2,2000,471,1507,1114,1
236,618,30783,9,4,2692,21,439,119707,1
2388,3902,21590,4,3,577,266,1440,88,1
134,634,23049,0,1,1867,243,502,119624,1
3193,2815,20308,4,3,2246,46,3412,797,2
2936,1986,30094,9,4,2490,323,59,894,1
3481,166,22156,0,1,2330,12236,3653,1370,1
3051,2250,20087,3,2,2071,917,3042,0,1
2857,832,23253,3,2,1526,537,3907,117768,1
381,125,22794,3,2,3469,901,764,1438,1
2938,839,22855,4,3,887,2575,2003,117914,1
3946,226,30639,5,11,3729,148327,2531,2840,1
1898,1800,20972,4,3,1219,258,2665,1255,1
2916,1744,20077,0,1,3402,2846,3050,1086,1
180,650,23010,3,2,2201,2259,621,119629,1
3792,2279,22017,4,3,1255,619,3673,1364,1
2603,3635,21855,3,2,3417,5835,820,1049,1
2757,3961,21897,4,3,3669,90,1407,3241,1
352,554,23190,4,3,366,38,674,119741,2
748,3375,20650,4,3,548,135,1723,259,1
1955,2150,20931,3,2,746,1632,2625,520,1
2554,2111,22615,3,2,2193,2459,3507,780,1
2269,3128,20279,4,3,1054,615,3521,616,1
3971,3641,22707,3,2,1529,217,996,572,1
897,2889,20821,4,3,1331,228,1927,716,1
2195,2591,21640,4,3,3465,1016,1235,1098,1
3836,1,30854,9,4,379,1870,4039,120124,1
441,549,23073,3,2,3225,1268,480,119638,1
1057,405,21720,3,2,868,1563,2294,569,1
2975,1943,20437,4,3,3604,371,4008,1140,1
324,155,21794,4,3,1264,463,2370,1416,1
179,928,22589,0,1,1614,3299,1486,632,1
16,872,22932,3,2,370,10254,380,119270,1
4152,3830,22311,3,2,2549,7918,981,916,1
3738,1387,22002,0,1,2530,13057,3131,1371,1
3411,2143,20188,0,1,2144,2645,3446,761,1
2661,3359,20238,4,3,3735,577,3205,1175,1
754,3346,20649,4,3,549,202,1724,1486,1
1038,770,21289,3,2,3205,1157,2965,1027,1
511,3494,20590,3,2,1457,851,1792,0,1
751,1179,30323,9,4,2995,38,245,3085,1
3333,1866,20071,0,1,3392,2785,3056,1086,1
3118,2429,30196,9,4,3233,19,135,1287,1
1642,2313,20858,4,3,551,208,1889,244,1
896,347,23280,4,3,1494,142,3943,117932,1
3781,2385,22040,0,1,475,3543,3696,1345,1
2168,1215,21457,4,3,3531,411,1301,117754,1
4063,3718,22262,3,2,899,4400,919,574,1
3841,2305,22033,3,2,1268,1117,3689,1361,1
2156,2508,21633,3,2,1146,6312,1228,644,1
1332,3129,20768,4,3,3057,125,1973,992,1
523,259,21760,4,3,706,1185,2335,141,1
