Geo Point,Geo Shape,seg_id,str_type,status_id,seg_descr,poly_area,gisid,street_id,seg_part
2102,1628,21428,0,1,1682,901,1136,0,1
3325,2545,20395,4,3,3536,481,3329,1116,1
2055,2948,20734,4,3,3589,424,1538,1128,1
830,2854,30258,9,4,2663,78,192,1555,1
2157,1607,21429,3,2,3447,6118,1137,1089,1
1498,2958,30257,9,4,2354,306,191,1273,1
1278,2495,30211,9,4,1013,633,150,3212,1
2151,1884,30532,9,4,2879,5,2464,2874,1
1335,1479,21169,0,1,834,1459,2804,552,1
2274,1780,21411,0,1,945,4016,1121,586,1
593,383,21688,3,2,2377,1654,2263,847,1
1972,3042,20736,4,3,2445,247,1536,2868,1
2866,378,30812,8,5,1014,22288,3866,117770,1
2797,1578,22551,3,2,2184,1114,3590,780,1
3228,2856,30186,9,4,3038,101,128,117842,1
1152,2294,30209,9,4,2464,1907,148,888,1
2303,2893,20020,3,2,2189,6151,3097,780,1
450,3596,20628,0,1,3079,1419,1744,999,1
2423,4112,21578,3,2,3317,3056,1450,1073,1
1328,1202,21158,3,2,1790,617,2904,949,1
698,1063,21224,4,3,911,64,2930,1238,1
3416,2546,10716,7,7,145,585,3021,117954,1
1867,2009,30406,9,4,2894,73,321,2911,1
3073,3749,21963,0,1,3716,8247,802,1169,1
1650,1240,21032,3,2,3128,1847,2858,1008,1
431,3388,20634,0,1,3075,2679,1738,999,1
2097,1606,21431,4,3,555,228,1139,304,1
1344,1298,21155,3,2,1373,902,2901,0,1
3856,2248,22015,0,1,720,2852,3130,1366,1
2780,1742,20450,4,3,701,24,3282,104,1
1115,2873,20516,3,2,407,4128,1591,483,1
333,664,23092,3,2,1932,215,452,119639,1
3059,2633,30110,9,4,1087,137,72,631,1
193,397,22959,3,2,84,2476,550,119657,1
66,2018,22406,3,2,2124,1445,2103,752,1
1987,1419,21353,3,2,2510,98,1272,899,1
394,636,23014,3,2,2203,1837,624,119629,1
3883,0,30859,9,4,2379,802,4044,120129,1
3205,2337,20362,4,3,511,90,3362,2305,1
1815,38,30076,11,9,3354,35990,45,3223,1
1021,2137,22595,3,2,3479,2153,1492,1101,1
2612,3448,20234,4,3,3771,605,3209,1184,1
1905,2025,30366,9,4,2680,88,284,3146,1
1053,1145,21258,4,3,2136,264,2962,759,1
3790,2193,22456,0,1,1489,679,3120,0,1
1389,441,30764,9,4,2457,2504,412,119558,1
667,2065,22350,4,3,3056,305,2067,117750,1
1380,3151,20714,4,3,3202,162,1670,3044,1
3122,3704,22629,3,2,2063,347,3536,1170,1
3207,2689,20389,4,3,233,132,3335,1210,1
2972,4130,21924,4,3,314,310,1382,1402,1
3801,3434,22698,3,2,1213,4127,872,667,1
3490,3512,22190,0,1,57,8196,870,376,1
847,3519,30261,9,4,2656,38,195,1480,1
4038,3654,22206,4,3,615,144,882,284,1
3003,2708,20313,4,3,139,191,3407,409,1
945,1098,30306,9,4,3017,19,230,3126,1
1212,1569,21205,4,3,1259,134,2790,684,1
3977,4045,22297,3,2,3774,1448,967,1185,1
1231,1498,20912,0,1,1514,910,2795,0,1
1606,2941,20529,3,2,1721,914,1579,840,1
3736,1362,22863,4,3,415,199,2113,117947,1
