date,Year,Month,day of week,Rainfall_amount_(millimetres)
10/05/2015,2015,May,Sunday,8.6
11/05/2015,2015,May,Monday,2.6
12/05/2015,2015,May,Tuesday,0
13/05/2015,2015,May,Wednesday,6.8
14/05/2015,2015,May,Thursday,4.4
15/05/2015,2015,May,Friday,1.8
16/05/2015,2015,May,Saturday,0
17/05/2015,2015,May,Sunday,0
18/05/2015,2015,May,Monday,0
19/05/2015,2015,May,Tuesday,0
20/05/2015,2015,May,Wednesday,2.4
21/05/2015,2015,May,Thursday,6.2
22/05/2015,2015,May,Friday,0.4
23/05/2015,2015,May,Saturday,0
24/05/2015,2015,May,Sunday,0
25/05/2015,2015,May,Monday,0
26/05/2015,2015,May,Tuesday,0
27/05/2015,2015,May,Wednesday,0
28/05/2015,2015,May,Thursday,0
29/05/2015,2015,May,Friday,0
30/05/2015,2015,May,Saturday,0
31/05/2015,2015,May,Sunday,0
1/06/2015,2015,Jun,Monday,8.2
2/06/2015,2015,Jun,Tuesday,4.2
3/06/2015,2015,Jun,Wednesday,0.8
4/06/2015,2015,Jun,Thursday,0
5/06/2015,2015,Jun,Friday,4.2
6/06/2015,2015,Jun,Saturday,0.2
7/06/2015,2015,Jun,Sunday,0
8/06/2015,2015,Jun,Monday,0
9/06/2015,2015,Jun,Tuesday,4
10/06/2015,2015,Jun,Wednesday,0
11/06/2015,2015,Jun,Thursday,1.332207488
12/06/2015,2015,Jun,Friday,0
13/06/2015,2015,Jun,Saturday,0
14/06/2015,2015,Jun,Sunday,0
15/06/2015,2015,Jun,Monday,0
16/06/2015,2015,Jun,Tuesday,5
17/06/2015,2015,Jun,Wednesday,0
18/06/2015,2015,Jun,Thursday,1
19/06/2015,2015,Jun,Friday,0.2
20/06/2015,2015,Jun,Saturday,0
21/06/2015,2015,Jun,Sunday,0
22/06/2015,2015,Jun,Monday,0
23/06/2015,2015,Jun,Tuesday,0
24/06/2015,2015,Jun,Wednesday,0
25/06/2015,2015,Jun,Thursday,0
26/06/2015,2015,Jun,Friday,0
27/06/2015,2015,Jun,Saturday,0
28/06/2015,2015,Jun,Sunday,0
29/06/2015,2015,Jun,Monday,0
30/06/2015,2015,Jun,Tuesday,0
1/07/2015,2015,Jul,Wednesday,0
2/07/2015,2015,Jul,Thursday,0.6
3/07/2015,2015,Jul,Friday,2.6
4/07/2015,2015,Jul,Saturday,0
5/07/2015,2015,Jul,Sunday,2
6/07/2015,2015,Jul,Monday,1.6
7/07/2015,2015,Jul,Tuesday,2.2
8/07/2015,2015,Jul,Wednesday,0.2
9/07/2015,2015,Jul,Thursday,0
10/07/2015,2015,Jul,Friday,0
11/07/2015,2015,Jul,Saturday,0.2
12/07/2015,2015,Jul,Sunday,1.6
13/07/2015,2015,Jul,Monday,28.4
14/07/2015,2015,Jul,Tuesday,3.8
15/07/2015,2015,Jul,Wednesday,3.6
16/07/2015,2015,Jul,Thursday,0.2
17/07/2015,2015,Jul,Friday,2.4
18/07/2015,2015,Jul,Saturday,0.4
19/07/2015,2015,Jul,Sunday,0
20/07/2015,2015,Jul,Monday,0
21/07/2015,2015,Jul,Tuesday,0
22/07/2015,2015,Jul,Wednesday,1.6
23/07/2015,2015,Jul,Thursday,0
24/07/2015,2015,Jul,Friday,1.2
25/07/2015,2015,Jul,Saturday,0.8
26/07/2015,2015,Jul,Sunday,3.2
27/07/2015,2015,Jul,Monday,0.8
28/07/2015,2015,Jul,Tuesday,0
29/07/2015,2015,Jul,Wednesday,0
30/07/2015,2015,Jul,Thursday,0
31/07/2015,2015,Jul,Friday,0.6
1/08/2015,2015,Aug,Saturday,0.2
2/08/2015,2015,Aug,Sunday,0
3/08/2015,2015,Aug,Monday,6.4
4/08/2015,2015,Aug,Tuesday,0
5/08/2015,2015,Aug,Wednesday,1
6/08/2015,2015,Aug,Thursday,1.6
7/08/2015,2015,Aug,Friday,1.4
8/08/2015,2015,Aug,Saturday,0.4
9/08/2015,2015,Aug,Sunday,0
10/08/2015,2015,Aug,Monday,0.2
11/08/2015,2015,Aug,Tuesday,0.8
12/08/2015,2015,Aug,Wednesday,0
13/08/2015,2015,Aug,Thursday,0.2
14/08/2015,2015,Aug,Friday,0
15/08/2015,2015,Aug,Saturday,0.4
16/08/2015,2015,Aug,Sunday,0.2
17/08/2015,2015,Aug,Monday,2.4
18/08/2015,2015,Aug,Tuesday,0.6
19/08/2015,2015,Aug,Wednesday,0
20/08/2015,2015,Aug,Thursday,0
21/08/2015,2015,Aug,Friday,0
22/08/2015,2015,Aug,Saturday,0
23/08/2015,2015,Aug,Sunday,0
24/08/2015,2015,Aug,Monday,0
25/08/2015,2015,Aug,Tuesday,0
26/08/2015,2015,Aug,Wednesday,0.2
27/08/2015,2015,Aug,Thursday,0.8
28/08/2015,2015,Aug,Friday,17.4
29/08/2015,2015,Aug,Saturday,1.8
30/08/2015,2015,Aug,Sunday,2.2
31/08/2015,2015,Aug,Monday,0
1/09/2015,2015,Sep,Tuesday,0
2/09/2015,2015,Sep,Wednesday,0
3/09/2015,2015,Sep,Thursday,4.4
4/09/2015,2015,Sep,Friday,0
5/09/2015,2015,Sep,Saturday,0
6/09/2015,2015,Sep,Sunday,0
7/09/2015,2015,Sep,Monday,3.6
8/09/2015,2015,Sep,Tuesday,2
9/09/2015,2015,Sep,Wednesday,0
10/09/2015,2015,Sep,Thursday,0
11/09/2015,2015,Sep,Friday,0
12/09/2015,2015,Sep,Saturday,0
13/09/2015,2015,Sep,Sunday,0
14/09/2015,2015,Sep,Monday,0
15/09/2015,2015,Sep,Tuesday,15.8
16/09/2015,2015,Sep,Wednesday,0
17/09/2015,2015,Sep,Thursday,0.4
18/09/2015,2015,Sep,Friday,0
19/09/2015,2015,Sep,Saturday,0
20/09/2015,2015,Sep,Sunday,0
21/09/2015,2015,Sep,Monday,0
22/09/2015,2015,Sep,Tuesday,4.4
23/09/2015,2015,Sep,Wednesday,0
24/09/2015,2015,Sep,Thursday,0
25/09/2015,2015,Sep,Friday,0
26/09/2015,2015,Sep,Saturday,0
27/09/2015,2015,Sep,Sunday,0
28/09/2015,2015,Sep,Monday,0
29/09/2015,2015,Sep,Tuesday,0
30/09/2015,2015,Sep,Wednesday,0
1/10/2015,2015,Oct,Thursday,0
2/10/2015,2015,Oct,Friday,0
3/10/2015,2015,Oct,Saturday,0
4/10/2015,2015,Oct,Sunday,0
5/10/2015,2015,Oct,Monday,0
6/10/2015,2015,Oct,Tuesday,0
7/10/2015,2015,Oct,Wednesday,0
8/10/2015,2015,Oct,Thursday,0
9/10/2015,2015,Oct,Friday,0
10/10/2015,2015,Oct,Saturday,0
11/10/2015,2015,Oct,Sunday,0.4
12/10/2015,2015,Oct,Monday,0.6
13/10/2015,2015,Oct,Tuesday,0.4
14/10/2015,2015,Oct,Wednesday,0
15/10/2015,2015,Oct,Thursday,0
16/10/2015,2015,Oct,Friday,0
17/10/2015,2015,Oct,Saturday,0
18/10/2015,2015,Oct,Sunday,0
19/10/2015,2015,Oct,Monday,0
20/10/2015,2015,Oct,Tuesday,0
21/10/2015,2015,Oct,Wednesday,2.4
22/10/2015,2015,Oct,Thursday,7
23/10/2015,2015,Oct,Friday,0
24/10/2015,2015,Oct,Saturday,0
25/10/2015,2015,Oct,Sunday,0
26/10/2015,2015,Oct,Monday,0.2
27/10/2015,2015,Oct,Tuesday,0.2
28/10/2015,2015,Oct,Wednesday,0
29/10/2015,2015,Oct,Thursday,0
30/10/2015,2015,Oct,Friday,0
31/10/2015,2015,Oct,Saturday,1
1/11/2015,2015,Nov,Sunday,4.4
2/11/2015,2015,Nov,Monday,0
3/11/2015,2015,Nov,Tuesday,0.2
4/11/2015,2015,Nov,Wednesday,0
5/11/2015,2015,Nov,Thursday,12.2
6/11/2015,2015,Nov,Friday,17.6
7/11/2015,2015,Nov,Saturday,1.2
8/11/2015,2015,Nov,Sunday,0
9/11/2015,2015,Nov,Monday,0
10/11/2015,2015,Nov,Tuesday,0
11/11/2015,2015,Nov,Wednesday,2
12/11/2015,2015,Nov,Thursday,0
13/11/2015,2015,Nov,Friday,0.4
14/11/2015,2015,Nov,Saturday,0.2
15/11/2015,2015,Nov,Sunday,0.2
16/11/2015,2015,Nov,Monday,0.2
17/11/2015,2015,Nov,Tuesday,0
18/11/2015,2015,Nov,Wednesday,0
19/11/2015,2015,Nov,Thursday,0
20/11/2015,2015,Nov,Friday,0.4
21/11/2015,2015,Nov,Saturday,3.6
22/11/2015,2015,Nov,Sunday,0
23/11/2015,2015,Nov,Monday,0
24/11/2015,2015,Nov,Tuesday,0
25/11/2015,2015,Nov,Wednesday,0
26/11/2015,2015,Nov,Thursday,0
27/11/2015,2015,Nov,Friday,0.4
28/11/2015,2015,Nov,Saturday,0
29/11/2015,2015,Nov,Sunday,0
30/11/2015,2015,Nov,Monday,0
1/12/2015,2015,Dec,Tuesday,1.8
2/12/2015,2015,Dec,Wednesday,0
3/12/2015,2015,Dec,Thursday,0
4/12/2015,2015,Dec,Friday,0
5/12/2015,2015,Dec,Saturday,0
6/12/2015,2015,Dec,Sunday,0
7/12/2015,2015,Dec,Monday,0
8/12/2015,2015,Dec,Tuesday,0.8
9/12/2015,2015,Dec,Wednesday,0
