Local_Time,ID,Site_ID,Sensor_ID,Value,Type,Units,Gatewayhub_ID,Site_Status
2023-07-27T00:15:02+10:00,7595165,1014,5b,80.14,TPH.RH,%,arc1045,C
2023-07-27T00:15:05+10:00,7595073,1011,5b,75.54,TPH.RH,%,arc1055,C
2023-07-27T00:15:05+10:00,7595078,1011,5c,1028.8,TPH.PRESSURE,hPa,arc1055,C
2023-07-27T00:15:05+10:00,7595112,1012,5a,8.72,TPH.TEMP,C,arc1048,C
2023-07-27T00:15:07+10:00,7595204,1016,5a,9.35,TPH.TEMP,C,arc1049,C
2023-07-27T00:15:07+10:00,7595214,1016,5c,1029.2,TPH.PRESSURE,hPa,arc1049,C
2023-07-27T00:15:10+10:00,7595022,1009,0a,8.8,PM2.5,ug/m^3,arc1050,C
2023-07-27T00:15:11+10:00,7595139,1014,0b,26.6,PM10,ug/m^3,arc1045,C
2023-07-27T00:15:16+10:00,7595178,1016,0a,13.0,PM2.5,ug/m^3,arc1049,C
2023-07-27T00:15:16+10:00,7595187,1016,0b,40.9,PM10,ug/m^3,arc1049,C
2023-07-27T00:30:02+10:00,7595079,1011,5c,1028.6,TPH.PRESSURE,hPa,arc1055,C
2023-07-27T00:30:02+10:00,7595113,1012,5a,8.49,TPH.TEMP,C,arc1048,C
2023-07-27T00:30:02+10:00,7595161,1014,5a,8.04,TPH.TEMP,C,arc1045,C
2023-07-27T00:30:02+10:00,7595166,1014,5b,81.45,TPH.RH,%,arc1045,C
2023-07-27T00:30:02+10:00,7595210,1016,5b,71.49,TPH.RH,%,arc1049,C
2023-07-27T00:30:03+10:00,7595175,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T00:30:11+10:00,7595023,1009,0a,8.7,PM2.5,ug/m^3,arc1050,C
2023-07-27T00:30:11+10:00,7595131,1014,0a,11.5,PM2.5,ug/m^3,arc1045,C
2023-07-27T00:45:02+10:00,7595075,1011,5b,76.63,TPH.RH,%,arc1055,C
2023-07-27T00:45:02+10:00,7595167,1014,5b,86.63,TPH.RH,%,arc1045,C
2023-07-27T00:45:02+10:00,7595206,1016,5a,9.12,TPH.TEMP,C,arc1049,C
