OBJECTID,Wat Break Incident ID,Incident date,Type of Asset Broken,Does the road need to be closed?,Does the sidewalk need to be closed?,Estimated Hours for Repair,Estimated Number of Units Impacted,CW Service Request Number,Current status of the break,Status last updated date,CW Workorder #,Date operations was returned to normal service,Nature of Break,Apparent cause of break,Repair Type,Type of Planned Maintenance,List Valves Closed,List Valves Opened,List Hydrants Called Out,List Hydrants Called Back In,Categorization of the Break,Road Segment ID,Closest Civic Number,Street,Related Asset ID,Related Asset Depth (m),Depth of Frost (m),Asset Size (cm),Year Asset Installed,Asset Material,Asset Exists,GLOBALID,UPDATE_BY,UPDATE_DATE,x,y
9833,1583,1/20/2011 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,12/15/2011 3:38:26 PM,39626,,UNKNOWN,UNKNOWN,,,,,,,CATEGORY 1,6423,64,WILKINS DR,94398,,,150,1960,CI,Y,8d018e39-0173-4fd3-bfce-45b589dcf388,DAVIDV,12/15/2011 3:38:26 PM,539783.0107,4807127.186
9834,1441,1/14/2010 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,22489,,CIRCUMFERENTIAL,AGE,,,,,,,CATEGORY 1,9919,1014,VICTORIA ST N,39600,,,200,1963,CI,Y,5acd7c4a-aa09-4b8c-bd97-a65f83abc34b,DAVIDV,12/15/2011 3:38:28 PM,543603.0082,4812646.4573
9835,1144,8/11/2007 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,12/15/2011 3:38:27 PM,179968,,UNKNOWN,CORROSION,,,,,,,CATEGORY 1,22167,3563,KING ST E,61919,,,750,1987,CPP,Y,961533c7-5107-435a-8860-0e49a8a9bdf0,DAVIDV,12/15/2011 3:38:27 PM,547429.8019,4808118.8595
9836,1578,1/18/2011 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,12/15/2011 3:38:26 PM,39451,,CIRCUMFERENTIAL,UNKNOWN,,,,,,,CATEGORY 1,9382,89,OTTAWA ST S,29630,,,150,1923,CI,N,3f282013-9a33-4ae9-b26e-5b8580469c53,DAVIDV,12/15/2011 3:38:26 PM,542589.3487,4809794.9708
9837,2119,4/19/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130506,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6440,17,REX DR,32260,,,,,,N,92e3c4e5-467c-4f1b-a202-655374d3cf38,DAVIDV,11/27/2018 12:00:00 AM,540444.8241,4809649.1328
9838,2120,4/20/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130536,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,21871,204,FARRIER DR,14090,,,200,1974,DI,Y,a52f9254-4b2c-4f87-baf1-884f2da9660d,DAVIDV,11/27/2018 12:00:00 AM,545386.2557,4805172.9608
9839,2121,4/20/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130588,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,22003,100,HARCOURT CRES,18100,,,150,1976,DI,Y,62c00ee2-09e5-495d-bad9-d765aeafa767,DAVIDV,11/27/2018 12:00:00 AM,544596.6098,4804964.5976
9840,2122,4/23/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130924,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,9917,11,KENSINGTON AVE,21140,,,150,1954,CI,Y,f6e38b9f-660b-4764-b76d-008a21c54b88,DAVIDV,11/27/2018 12:00:00 AM,543736.965,4811774.8576
9841,2123,4/23/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130915,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,13311,71,MASSEY AVE,25590,,,150,1958,CI,Y,bc0c18b1-1731-4912-b2e9-177c94bbdb33,DAVIDV,11/27/2018 12:00:00 AM,543554.7805,4808552.3565
9842,2124,4/23/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130920,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,7044,300,BREITHAUPT ST,134402,,,300,2016,PVC,N,a1195325-5c24-4205-9e5e-09df9abe2ac2,DAVIDV,11/27/2018 12:00:00 AM,541590.3695,4811910.7566
