asset_id,asset_key,dataset,link,source,publisher,description,themes,used_by,datatype,size,variable_count,variables
ASSET-0123,MOP:meshed-sensor-type-3,Argyle Square sound stage activity,https://data.melbourne.vic.gov.au/explore/dataset/meshed-sensor-type-3/,City of Melbourne Open Data,City of Melbourne,"Measurement of movements/activity on the sound-stage area of Argyle Park, showing how often it is being used by the public. The stage is equipped with Elsys ERS movement sensors.",People,,Geospatial,633992,10,dev_id | sensor_name | time | temperature | humidity | light | motion | visit | vdd | lat_long
ASSET-0027,MOP:argyle-square-sound-stage-activity-copy,Argyle Square sound stage activity - copy,https://data.melbourne.vic.gov.au/explore/dataset/argyle-square-sound-stage-activity-copy/,City of Melbourne Open Data,City of Melbourne,"Measurement of movements/activity on the sound-stage area of Argyle Park, showing how often it is being used by the public. The stage is equipped with Elsys ERS movement sensors.","Spatial planning, Assets Management & Monitoring",,Geospatial,0,10,dev_id | sensor_name | time | temperature | humidity | light | motion | visit | vdd | lat_long
ASSET-0122,MOP:meshed-sensor-type-1,Argyle Square weather stations (historical data),https://data.melbourne.vic.gov.au/explore/dataset/meshed-sensor-type-1/,City of Melbourne Open Data,City of Melbourne,Historical data collected by weather stations (ATMOS 41) installed in Argyle Square,Environment,UC00180,Geospatial,117897,18,device_id | time | rtc | battery | solarpanel | command | solar | precipitation | strikes | windspeed | winddirection | gustspeed | vapourpressure | atmosphericpressure | relativehumidity | airtemp | lat_long | sensor_name
ASSET-0028,MOP:assets-for-environmental-reporting,Assets for environmental reporting,https://data.melbourne.vic.gov.au/explore/dataset/assets-for-environmental-reporting/,City of Melbourne Open Data,data.melbourne.vic.gov.au,The Environmental data includes energy consumed and generated as well as greenhouse gas emissions from Council's assets and a portion of its supply chain.,Environment,,Geospatial,447,11,branch | asset_type | asset_name | address | suburb | postcode | category | nger_entity | latitude | longitude | geocode
ASSET-0029,MOP:bars-and-pubs-with-patron-capacity,"Bar, tavern, pub patron capacity",https://data.melbourne.vic.gov.au/explore/dataset/bars-and-pubs-with-patron-capacity/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"Data collected as part of the City of Melbourne's Census of Land Use and Employment (CLUE). The data covers the period 2002-2024. It show business establishments with their trading name, business address, bar/tavern/pub patron capacity, location and CLUE block and small area designation. For more information about CLUE see http://www.melbourne.vic.gov.au/clue",Business,,Geospatial,5304,12,census_year | block_id | property_id | base_property_id | building_address | clue_small_area | trading_name | business_address | number_of_patrons | longitude | latitude | location
ASSET-0030,MOP:bat-records-in-fitzroy-gardens-and-royal-botanic-gardens-2010,Bat Records in Fitzroy Gardens and Royal Botanic Gardens 2010,https://data.melbourne.vic.gov.au/explore/dataset/bat-records-in-fitzroy-gardens-and-royal-botanic-gardens-2010/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Bat Records in Fitzroy Gardens and Royal Botanic Gardens 2010. Collected by Fiona Caryl (field surveys from PhD research) in April 2010 by acoustic recording devices - then species were identified from their calls. All species are microbats. Some records are only classified down to genus level. All records have coordinates.,Environment,,Geospatial,10,11,taxa | kingdom | phylum | class | order | family | genus | species | common_name | park_name | location
ASSET-0031,MOP:bicycle-network,Bicycle Network,https://data.melbourne.vic.gov.au/explore/dataset/bicycle-network/,City of Melbourne Open Data,data.melbourne.vic.gov.au,This dataset contains a simplified network representation of bike paths across City of Melbourne. The dataset can be used to create a digital bicycle network with route modelling capabilities that integrated existing bicycle infrastructure. The network has been created to be used with ArcGIS network analyst. The resulting network was connected to the City of Melbourne property layer through centroids created for this project: The network can assist in multiple modelling tasks including catchment analysis and route analysis. The download is a zip file containing compressed .json files Please see the metadata attached for further information.,Transport,,Geospatial,130048,10,geo_point_2d | geo_shape | objectid | roadclass | width | oneway | management | direction | shape_length | description
ASSET-0032,MOP:bicycle-routes-including-informal-on-road-and-off-road-routes,"Bicycle routes, including informal, on-road and off-road routes.",https://data.melbourne.vic.gov.au/explore/dataset/bicycle-routes-including-informal-on-road-and-off-road-routes/,City of Melbourne Open Data,data.melbourne.vic.gov.au,This dataset represents the bicycle routes within the municipal boundary of the City of Melbourne.,Transport,,Geospatial,5517,23,assetid | class | type | area | assetmanager | company | contract | description | ownership | primaryservicemanager | objectid | active | lanetype | roadclass | surfacetreatment | protection | tenure | length | width | clueregion | segmentdescription | json_geometry | geo_point_2d
ASSET-0033,MOP:bike-share-dock-locations,Bike Share Dock Locations,https://data.melbourne.vic.gov.au/explore/dataset/bike-share-dock-locations/,City of Melbourne Open Data,data.melbourne.vic.gov.au,This dataset show the historical Melbourne Bike Share docks. This program came to an end in November 2019. Contains the bike share dock locations that were deployed across Melbourne as part of the Melbourne Bike Share Program. Melbourne Bike Share is a joint RACV/Victorian Government bicycle hire scheme. It allows commuters to hire a bike from a dock location and return it to another dock location in the city. This dataset contains the bike share dock locations and capacity across the city. This dataset can be joined to the bike share data feed using the column station_id .,Transport,,Geospatial,50,7,station_id | name | rental_method | capacity | lat | lon | location
ASSET-0034,MOP:bioblitz-2016,BioBlitz 2016,https://data.melbourne.vic.gov.au/explore/dataset/bioblitz-2016/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"Melbourne BioBlitz is one of the City of Melbourne’s major citizen science programs, where experts and members of the community work together to discover, document, and learn about the species that call our city home. The most recent Melbourne BioBlitz took place over 24 hours on 4 and 5 March 2016. During the BioBlitz 744 members of the public joined 27 activities which included spotting birds at Royal Park, identifying insects at Westgate Park, and searching for plants in the Fitzroy Gardens. The City of Melbourne has analysed the data collected in past BioBlitzes and is now building a baseline dataset against which future changes in biodiversity can be measured and evaluated.",Environment,,Geospatial,1356,16,taxa | kingdom | phylum | class | order | family | genus | species | common_name | identification_notes | data_resource_name | sighting_date | latitude | longitude | location | geopoint
ASSET-0035,MOP:bird-survey-results-for-areas-in-the-city-of-melbourne-february-and-march-2018,"Bird Survey Results for Areas in the City of Melbourne, February and March 2018",https://data.melbourne.vic.gov.au/explore/dataset/bird-survey-results-for-areas-in-the-city-of-melbourne-february-and-march-2018/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"This dataset contains survey data for bird species across various river and wetland locations in the City of Melbourne. Bird transect surveys were conducted by Ecology Australia at the following locations: Dynon Road, West Melbourne, Wildlife Sanctuary (1), Dynon Road, West Melbourne, Tidal Drain (2), Moonee Ponds Creek lower catchment near Racecourse Road, Kensington and Dynon Road, West Melbourne (3), Maribyrnong River near Newells Paddock and Dynon Road, West Melbourne (4), Royal Park Oak Street Wetland (5), and Stony Creek Backwash, Footscray (6). Surveys were undertaken during daylight hours and were repeated on various dates throughout February and March 2018. Bird surveys were conducted by completing transects along the waterbodies and identifying bird species and numbers. These surveys were undertaken to primarily track bird species richness at Site (1) with Site (3) existing as a reference site with comparable habitat characteristics. This bird survey dataset includes the bird’s common name, scientific name, the corresponding Victorian Biodiversity Atlas Code, the date the survey was conducted, and the location of the survey (including the latitude and longitude). The Vict",Environment,,Geospatial,498,14,sighting_date | common_name | scientific_name | sighting_count | victorian_biodiversity_atlas_code | lat | lon | loc1_desc | lat2 | lon2 | loc2_desc | site_name | location_2 | location_1
ASSET-0036,MOP:block-level-energy-consumption-modelled-on-building-attributes-2011-baseline,Block level energy consumption (modelled on building attributes) - 2011 baseline,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2011-baseline/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"This dataset should be read alongside other energy consumption datasets on the City of Melbourne open data platform as well as the following report: http://imap.vic.gov.au/uploads/Meeting%20Agendas/2014%20August/Att%207a_IMAP_Energy_Map_-_CSIRO_-_Energy_Use_2011-2026_Report_-_2014June30_-Final_pdf_11.2MB.pdf The dataset outlines modelled energy consumption across the City of Melbourne municipality. It is not energy consumption data captured by a meter, but modelled data based on building attributes such as building age, floor area etc. This data was provided by the CSIRO as a result of a study commissioned by IMAP Councils. The study was governed by a Grant Agreement between Councils and the CSIRO, which stated an intent for the data to be published. This specific dataset is presented at a block level scale. It includes both commercial and residential buildings and is a 2011 baseline. It does not include the industrial sector.",Environment,,Geospatial,686,6,geo_point_2d | geo_shape | comm | num_b_prop | resi | total
ASSET-0037,MOP:block-level-energy-consumption-modelled-on-building-attributes-2016-projection-b,Block level energy consumption (modelled on building attributes) - 2016 projection - business-as-usual scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2016-projection-b/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"This dataset should be read alongside other energy consumption datasets on the City of Melbourne open data platform as well as the following report: http://imap.vic.gov.au/uploads/Meeting%20Agendas/2014%20August/Att%207a_IMAP_Energy_Map_-_CSIRO_-_Energy_Use_2011-2026_Report_-_2014June30_-Final_pdf_11.2MB.pdf The dataset outlines modelled energy consumption across the City of Melbourne municipality. It is not energy consumption data captured by a meter, but modelled data based on building attributes such as building age, floor area etc. This data was provided by the CSIRO as a result of a study commissioned by IMAP Councils. The study was governed by a Grant Agreement between Councils and the CSIRO, which stated an intent for the data to be published. This specific dataset is presented at a block level scale. It includes both commercial and residential buildings and is a 2016 business-as-usual projection, relative to a 2011 baseline. It does not include the industrial sector.",Environment,,Geospatial,662,6,geo_point_2d | geo_shape | comm | num_b_prop | resi | total
ASSET-0038,MOP:block-level-energy-consumption-modelled-on-building-attributes-2016-projection-r,Block level energy consumption (modelled on building attributes) - 2016 projection - retrofit scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2016-projection-r/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"This dataset should be read alongside other energy consumption datasets on the City of Melbourne open data platform as well as the following report: http://imap.vic.gov.au/uploads/Meeting%20Agendas/2014%20August/Att%207a_IMAP_Energy_Map_-_CSIRO_-_Energy_Use_2011-2026_Report_-_2014June30_-Final_pdf_11.2MB.pdf The dataset outlines modelled energy consumption across the City of Melbourne municipality. It is not energy consumption data captured by a meter, but modelled data based on building attributes such as building age, floor area etc. This data was provided by the CSIRO as a result of a study commissioned by IMAP Councils. The study was governed by a Grant Agreement between Councils and the CSIRO, which stated an intent for the data to be published. This specific dataset is presented at a block level scale. It includes both commercial and residential buildings and is a 2016 projection, relative to a 2011 baseline, based on a scenario of buildings being retrofitted. It does not include the industrial sector.",Environment,,Geospatial,662,3,geo_point_2d | geo_shape | total
ASSET-0039,MOP:block-level-energy-consumption-modelled-on-building-attributes-2021-projection-b,Block level energy consumption (modelled on building attributes) - 2021 projection - business-as-usual scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2021-projection-b/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"This dataset should be read alongside other energy consumption datasets on the City of Melbourne open data platform as well as the following report: http://imap.vic.gov.au/uploads/Meeting%20Agendas/2014%20August/Att%207a_IMAP_Energy_Map_-_CSIRO_-_Energy_Use_2011-2026_Report_-_2014June30_-Final_pdf_11.2MB.pdf The dataset outlines modelled energy consumption across the City of Melbourne municipality. It is not energy consumption data captured by a meter, but modelled data based on building attributes such as building age, floor area etc. This data was provided by the CSIRO as a result of a study commissioned by IMAP Councils. The study was governed by a Grant Agreement between Councils and the CSIRO, which stated an intent for the data to be published. This specific dataset is presented at a block level scale. It includes both commercial and residential buildings and is a 2021 business-as-usual projection, relative to a 2011 baseline. It does not include the industrial sector.",Environment,,Geospatial,640,6,geo_point_2d | geo_shape | comm | num_b_prop | resi | total
ASSET-0040,MOP:block-level-energy-consumption-modelled-on-building-attributes-2021-projection-r,Block level energy consumption (modelled on building attributes) - 2021 projection - retrofit scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2021-projection-r/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"This dataset should be read alongside other energy consumption datasets on the City of Melbourne open data platform as well as the following report: http://imap.vic.gov.au/uploads/Meeting%20Agendas/2014%20August/Att%207a_IMAP_Energy_Map_-_CSIRO_-_Energy_Use_2011-2026_Report_-_2014June30_-Final_pdf_11.2MB.pdf The dataset outlines modelled energy consumption across the City of Melbourne municipality. It is not energy consumption data captured by a meter, but modelled data based on building attributes such as building age, floor area etc. This data was provided by the CSIRO as a result of a study commissioned by IMAP Councils. The study was governed by a Grant Agreement between Councils and the CSIRO, which stated an intent for the data to be published. This specific dataset is presented at a block level scale. It includes both commercial and residential buildings and is a 2021 projection, relative to a 2011 baseline, based on a scenario of buildings being retrofitted. It does not include the industrial sector.",Environment,,Geospatial,640,3,geo_point_2d | geo_shape | total
ASSET-0001,MOP:block-level-energy-consumption-modelled-on-building-attributes-2026-projection-b,Block level energy consumption (modelled on building attributes) - 2026 projection - business-as-usual scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2026-projection-b/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"This dataset should be read alongside other energy consumption datasets on the City of Melbourne open data platform as well as the following report: http://imap.vic.gov.au/uploads/Meeting%20Agendas/2014%20August/Att%207a_IMAP_Energy_Map_-_CSIRO_-_Energy_Use_2011-2026_Report_-_2014June30_-Final_pdf_11.2MB.pdf The dataset outlines modelled energy consumption across the City of Melbourne municipality. It is not energy consumption data captured by a meter, but modelled data based on building attributes such as building age, floor area etc. This data was provided by the CSIRO as a result of a study commissioned by IMAP Councils. The study was governed by a Grant Agreement between Councils and the CSIRO, which stated an intent for the data to be published. This specific dataset is presented at a block level scale. It includes both commercial and residential buildings and is a 2026 business-as-usual projection, relative to a 2011 baseline. It does not include the industrial sector.",Environment,,Geospatial,628,6,geo_point_2d | geo_shape | comm | num_b_prop | resi | total
ASSET-0041,MOP:block-level-energy-consumption-modelled-on-building-attributes-2026-projection-r,Block level energy consumption (modelled on building attributes) - 2026 projection - retrofit scenario,https://data.melbourne.vic.gov.au/explore/dataset/block-level-energy-consumption-modelled-on-building-attributes-2026-projection-r/,City of Melbourne Open Data,data.melbourne.vic.gov.au,"This dataset should be read alongside other energy consumption datasets on the City of Melbourne open data platform as well as the following report: http://imap.vic.gov.au/uploads/Meeting%20Agendas/2014%20August/Att%207a_IMAP_Energy_Map_-_CSIRO_-_Energy_Use_2011-2026_Report_-_2014June30_-Final_pdf_11.2MB.pdf The dataset outlines modelled energy consumption across the City of Melbourne municipality. It is not energy consumption data captured by a meter, but modelled data based on building attributes such as building age, floor area etc. This data was provided by the CSIRO as a result of a study commissioned by IMAP Councils. The study was governed by a Grant Agreement between Councils and the CSIRO, which stated an intent for the data to be published. This specific dataset is presented at a block level scale. It includes both commercial and residential buildings and is a 2026 projection, relative to a 2011 baseline, based on a scenario of buildings being retrofitted. It does not include the industrial sector.",Environment,,Geospatial,628,3,geo_point_2d | geo_shape | total
