id,location_id,sensing_date,hourday,direction_1,direction_2,pedestriancount,sensor_name,location,total_foot_traffic,time_period,Latitude,Longitude,Nearest_Light_Index,Distance_to_Light,Nearest_Light_Lux,Suggested_Lux,Lux_Difference,efficiency_category,Zone
75520241225,75,2024-12-25,5,2,2,4,SprFli_T,"-37.81515276, 144.97467661",4,Night,-37.81515276,144.97467661,2621,0.0005016526787822895,7.918,20,12.082,Uncategorised,0
751320250706,75,2025-07-06,13,109,96,205,SprFli_T,"-37.81515276, 144.97467661",205,Daytime,-37.81515276,144.97467661,2621,0.0005016526787822895,7.918,40,32.082,Underlit,0
712320240914,71,2024-09-14,23,2,1,3,WestWP_T,"-37.81235775, 144.97136962",3,Night,-37.81235775,144.97136962,2090,0.0018275916582263826,18.866,20,1.1340000000000003,Uncategorised,0
711420260125,71,2026-01-25,14,4,3,7,WestWP_T,"-37.81235775, 144.97136962",7,Daytime,-37.81235775,144.97136962,2090,0.0018275916582263826,18.866,20,1.1340000000000003,Uncategorised,0
711420260211,71,2026-02-11,14,4,10,14,WestWP_T,"-37.81235775, 144.97136962",14,Daytime,-37.81235775,144.97136962,2090,0.0018275916582263826,18.866,20,1.1340000000000003,Uncategorised,0
291220240620,29,2024-06-20,12,156,281,437,AG_T,"-37.8199817, 144.96872865",437,Daytime,-37.8199817,144.96872865,2341,0.0016249168062272886,44.086,70,25.914,Efficient,0
291520260216,29,2026-02-16,15,128,247,375,AG_T,"-37.8199817, 144.96872865",375,Daytime,-37.8199817,144.96872865,2341,0.0016249168062272886,44.086,70,25.914,Efficient,0
291220240413,29,2024-04-13,12,342,414,756,AG_T,"-37.8199817, 144.96872865",756,Daytime,-37.8199817,144.96872865,2341,0.0016249168062272886,44.086,70,25.914,Efficient,0
291720250312,29,2025-03-12,17,274,306,580,AG_T,"-37.8199817, 144.96872865",580,Evening,-37.8199817,144.96872865,2341,0.0016249168062272886,44.086,70,25.914,Efficient,0
37720260327,37,2026-03-27,7,4,12,16,Lyg260_T,"-37.80107122, 144.96704554",16,Morning,-37.80107122,144.96704554,2793,0.0016085259814712055,6.843,20,13.157,Uncategorised,3
107020240602,107,2024-06-02,0,21,19,40,280Will_T,"-37.81246271, 144.95690188",40,Night,-37.81246271,144.95690188,1729,0.006806741564932091,5.181,20,14.818999999999999,Uncategorised,2
871120251129,87,2025-11-29,11,94,133,227,Errol23_T,"-37.80454949, 144.94921863",227,Daytime,-37.80454949,144.94921863,1185,0.010116978138250913,12.512,40,27.488,Underlit,1
871220251015,87,2025-10-15,12,122,125,247,Errol23_T,"-37.80454949, 144.94921863",247,Daytime,-37.80454949,144.94921863,1185,0.010116978138250913,12.512,40,27.488,Underlit,1
871520251112,87,2025-11-12,15,97,117,214,Errol23_T,"-37.80454949, 144.94921863",214,Daytime,-37.80454949,144.94921863,1185,0.010116978138250913,12.512,40,27.488,Underlit,1
165920250310,165,2025-03-10,9,17,30,47,Spen475_T,"-37.80953359, 144.94939004",47,Morning,-37.80953359,144.94939004,1563,0.0064623401041825805,0.88,20,19.12,Uncategorised,1
143120240428,143,2024-04-28,1,133,75,208,Spencer_T,"-37.821728, 144.95557015",208,Night,-37.821728,144.95557015,2418,0.00021488414623637122,2.737,40,37.263,Underlit,2
