year,month,mdate,school_hol,pub_hol
2022,January,17,1,0
2022,January,18,1,0
2022,January,19,1,0
2022,January,20,1,0
2022,January,21,1,0
2022,January,22,1,0
2022,January,23,1,0
2022,January,24,1,0
2022,January,25,1,0
2022,January,26,1,1
2022,January,27,1,0
2022,January,28,1,0
2022,January,29,1,0
2022,January,30,1,0
2022,March,14,0,1
2022,April,9,1,0
2022,April,10,1,0
2022,April,11,1,0
2022,April,12,1,0
2022,April,13,1,0
2022,April,14,1,0
2022,April,15,1,1
2022,April,16,1,1
2022,April,17,1,1
2022,April,18,1,1
2022,April,19,1,0
2022,April,20,1,0
2022,April,21,1,0
2022,April,22,1,0
2022,April,23,1,0
2022,April,24,1,0
2022,April,25,1,1
