the_geom,marker_id,meter_id,bay_id,last_edit,rd_seg_id,rd_seg_dsc
"MULTIPOLYGON (((144.972148305841 -37.795009940917, 144.972047876978 -37.794999004238, 144.972051597164 -37.794977583275, 144.972152019188 -37.794988519833, 144.972148305841 -37.795009940917)))",,,13176,20210629124059,20573,Kay Street between Canning Street and Rathdowne Street
"MULTIPOLYGON (((144.957903693323 -37.798720413453, 144.957897226627 -37.798774226857, 144.957870110599 -37.798772076849, 144.957876578474 -37.798718262566, 144.957903693323 -37.798720413453)))",14002E,,23786,20210305154209,22514,Royal Parade between Grattan Street and Story Street
"MULTIPOLYGON (((144.959167153238 -37.788127225962, 144.959189748253 -37.788129003505, 144.959183150106 -37.788182804895, 144.959160555025 -37.788181029152, 144.959167153238 -37.788127225962)))",,,23878,20210623144303,22434,Royal Parade between MacArthur Road and Leonard Street
"MULTIPOLYGON (((144.959865043348 -37.782494666474, 144.959871567846 -37.782440857405, 144.959894162689 -37.782442620372, 144.959887638133 -37.782496432145, 144.959865043348 -37.782494666474)))",,,23898,20210623144303,22387,Royal Parade between Ievers Street and Walker Street
"MULTIPOLYGON (((144.963884126262 -37.782793861982, 144.963875581914 -37.782847108294, 144.963848977956 -37.782844418858, 144.963857414331 -37.782791176989, 144.963884126262 -37.782793861982)))",,,16528,20210629124059,22511,Garton Street between MacPherson Street and Bowen Crescent
"MULTIPOLYGON (((144.977787523999 -37.813813766105, 144.977778934459 -37.813865576903, 144.977752704066 -37.813862882486, 144.977761377423 -37.81381108124, 144.977787523999 -37.813813766105)))",11812E,,13821,20201208141114,21859,Lansdowne Street between Wellington Parade and St Andrews Place
"MULTIPOLYGON (((144.959088411155 -37.788772904185, 144.959094963031 -37.788719097499, 144.959117558299 -37.788720872358, 144.959111006414 -37.788774679947, 144.959088411155 -37.788772904185)))",,,23840,20210623144303,22434,Royal Parade between MacArthur Road and Leonard Street
"MULTIPOLYGON (((144.966292357133 -37.793183167034, 144.966218631806 -37.793185755439, 144.966218493794 -37.793164947534, 144.966244060468 -37.7931644374, 144.966244112781 -37.793164434698, 144.966290047311 -37.793162252234, 144.966292357133 -37.793183167034)))",,,21915,20210617111221,20773,Cemetery Road East between College Crescent and Lygon Street
"MULTIPOLYGON (((144.960220455783 -37.779800595384, 144.960197863163 -37.779798821712, 144.960204901193 -37.779742336875, 144.960227492488 -37.779744116831, 144.960220455783 -37.779800595384)))",,,9033,,22393,Royal Parade between Ievers Street and Park Street
"MULTIPOLYGON (((144.977426026458 -37.814569297603, 144.977417382203 -37.814621102018, 144.977391460794 -37.81461843986, 144.977398761675 -37.814574610325, 144.97740009038 -37.814566632492, 144.977426026458 -37.814569297603)))",,,13848,20201208141115,21859,Lansdowne Street between Wellington Parade and St Andrews Place
"MULTIPOLYGON (((144.978131206517 -37.825189978551, 144.978193237271 -37.825200473682, 144.978214999146 -37.825227131993, 144.978172292843 -37.825221664752, 144.978138129431 -37.825215849454, 144.978115488056 -37.825188115341, 144.978131206517 -37.825189978551)))",,,21019,,22492,Alexandra Avenue between Swan Street Bridge and Anderson Street
"MULTIPOLYGON (((144.95909135185 -37.788936101825, 144.959084801055 -37.788989909429, 144.959062205732 -37.788988133661, 144.959068756519 -37.788934326959, 144.95909135185 -37.788936101825)))",,,23873,20210623144303,22434,Royal Parade between MacArthur Road and Leonard Street
"MULTIPOLYGON (((144.959078249138 -37.789043716112, 144.959055653775 -37.789041941242, 144.959062205732 -37.788988133661, 144.959084801055 -37.788989909429, 144.959078249138 -37.789043716112)))",,,23938,20210311112023,22434,Royal Parade between MacArthur Road and Leonard Street
"MULTIPOLYGON (((144.971996297752 -37.819813901869, 144.9720083076 -37.819833337126, 144.971978570538 -37.819846584993, 144.971950334856 -37.819861758393, 144.971937152424 -37.819841708157, 144.971996297752 -37.819813901869)))",,,23512,20201229111124,22883,PT5354 from Boathouse Drive
"MULTIPOLYGON (((144.961967854318 -37.789548141215, 144.961958284817 -37.78959988623, 144.961927181588 -37.7895963732, 144.961938591455 -37.789544725821, 144.961967854318 -37.789548141215)))",,,16445,20210617111221,22512,Princes Park Drive between Cemetery Road West and MacPherson Street
"MULTIPOLYGON (((144.968791720412 -37.814012331799, 144.968769224778 -37.814018816111, 144.968746408274 -37.813968998378, 144.968768887876 -37.8139625183, 144.968791720412 -37.814012331799)))",698E,,11351,20201208140811,20148,Russell Street between Collins Street and Little Collins Street
"MULTIPOLYGON (((144.958455628053 -37.790693459787, 144.958448543872 -37.790750860999, 144.958423690057 -37.790748894553, 144.958430774257 -37.790691493343, 144.958455628053 -37.790693459787)))",,,9054,,22438,Royal Parade between Gatehouse Street and MacArthur Road
"MULTIPOLYGON (((144.977356867389 -37.814983736407, 144.977348221888 -37.815035540791, 144.977322414972 -37.815032923841, 144.97732991977 -37.814987869511, 144.977331050021 -37.814981086837, 144.977356867389 -37.814983736407)))",,,13840,20201208141115,21859,Lansdowne Street between Wellington Parade and St Andrews Place
"MULTIPOLYGON (((144.963763776858 -37.78354359178, 144.963755156074 -37.78359729906, 144.963728817995 -37.783594634917, 144.963737617673 -37.783540946953, 144.963763776858 -37.78354359178)))",,,16543,20210629124059,22511,Garton Street between MacPherson Street and Bowen Crescent
"MULTIPOLYGON (((144.977434671836 -37.814517493206, 144.977426026458 -37.814569297603, 144.97740009038 -37.814566632492, 144.977407057088 -37.814524807743, 144.97740871867 -37.814514830508, 144.977434671836 -37.814517493206)))",,,13849,20201208141115,21859,Lansdowne Street between Wellington Parade and St Andrews Place
"MULTIPOLYGON (((144.958762696978 -37.791645617032, 144.958755546779 -37.791703027926, 144.958730692486 -37.791701066941, 144.958737838308 -37.79164369202, 144.958762696978 -37.791645617032)))",,,23936,20210311112023,22438,Royal Parade between Gatehouse Street and MacArthur Road
"MULTIPOLYGON (((144.966174224159 -37.793342706602, 144.966152190133 -37.793342810917, 144.966152445416 -37.793322321613, 144.966173576472 -37.793322222431, 144.966214520597 -37.793321178518, 144.966226527021 -37.793320784772, 144.966228182559 -37.793341249399, 144.966216070421 -37.793341646726, 144.966174224159 -37.793342706602)))",,,21868,20210617111221,20773,Cemetery Road East between College Crescent and Lygon Street
