OBJECTID,MXUNITID,MXSITEID,COMPKEY,COMPTYPE,UNITID,UNITID2,PARALLEL_LINE_NBR,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,ASSET_ID,SUBAREA,Shape,MATERIAL,UPSTREAM_IL,DOWNSTREAM_IL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,GIS_ID,FIELD_TEAM,WS_CONSTRUCTION_FILE,DATE_OF_CONSTRUCTION,EPMS_SEC_NO,ASCONST_PLAN_NO,SKETCH_PLAN_NO,SOURCE,METHOD_OF_CAPTURE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS,MI_PRINX
1,,,296455,0,M474-00374BR,M474-00377BR,,MAINBG,T,ST GEORGES RD REPLACEMENT MAIN,M474,,,MSCL,90.243,0,2.72,1400,,,,PRESTON,,12/1/2017 12:00:00 AM,,M474/C/157,M474-1,AS CONSTRUCTED,DIGITAL,8/22/2018 3:44:57 PM,9/26/2018 12:31:01 PM,IN,,,,33343
2,,,293331,0,WZ060-ZA,WZ060T101,,MAINAG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,1.88,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 12:00:00 AM,3/1/2018 2:04:45 PM,IN,,,,33095
3,,,1017825,0,WZ060-01040BR,M281V-EB,,BYPASS,S,CARDINIA-DAND'G-NOTTING HILL M,M281,,,MSCL,0,0,1.74,225,SAND,,,SILVAN,,8/26/2011 12:00:00 AM,,WP258/C/101,M281-1,AS CONSTRUCTED,DIGITISED,12/20/2012 12:00:00 AM,2/27/2018 12:00:00 AM,IN,,,,33096
4,,,234582,10273261,WR144V-R,WR144-0-0019,,MAINBG,S,TYABB RESERVOIR,R144,,,MS,0,0,131.3,100,,,R144-062,WESTERNPORT,,2/22/2017 12:00:00 AM,,WR144/C/012,WR144,AS CONSTRUCTED,DIGITAL,10/17/2011 12:00:00 AM,7/23/2018 12:11:24 PM,IN,,,STORAGE CLEANING PIPE,29823
5,,,227935,10257389,M281V-EA,WZ060-01040BR,,BYPASS,S,CARDINIA-DAND'G-NOTTING HILL M,M281,,,MSCL,0,0,5.26,225,SAND,,,SILVAN,,8/26/2011 12:00:00 AM,,WP258/C/101,M281-1,AS CONSTRUCTED,DIGITISED,12/20/2012 12:00:00 AM,2/27/2018 12:00:00 AM,IN,,,,33097
6,,,293323,0,WZ060-01060BR,WZ060-01010BR,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,7.06,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:36:55 PM,3/1/2018 2:04:42 PM,IN,,,,33085
7,,,293324,0,WZ060-01060BR,WZ060-ZB,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,0.4,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:36:58 PM,3/1/2018 2:04:43 PM,IN,,,,33086
8,,,293325,0,WZ060-ZB,WZ060-01080RED,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,7.62,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:00 PM,3/1/2018 2:04:43 PM,IN,,,,33087
9,,,293326,0,WZ060-01060BR,WZ060-ZC,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,0.38,150,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/007,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:05 PM,3/1/2018 2:04:43 PM,IN,,,,33089
10,,,293332,0,WZ060-ZC,WZ060-ZD,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,16.32,150,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/007,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:07 PM,3/1/2018 2:04:45 PM,IN,,,,33090
11,,,293327,0,WZ060-ZD,WZ060-ZE,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,1.26,150,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/007,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:09 PM,3/1/2018 2:04:44 PM,IN,,,,33091
12,,,293328,0,WZ060-ZE,WZ060-02080RED,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,1.04,150,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/007,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:11 PM,3/1/2018 2:04:44 PM,IN,,,,33092
13,,,293329,0,WZ060-02080RED,WZ060-,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,0.98,300,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/007,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:13 PM,3/1/2018 2:04:44 PM,IN,,,,33093
14,,,293330,0,WZ060-01080RED,WZ060-ZA,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,0.28,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 12:00:00 AM,3/1/2018 2:04:45 PM,IN,,,,33094
15,,,233575,10267930,WP251V-BT,WP251-01210AG,,MAINAG,S,GREENVALE PS,P251,,,MSCL,0,0,2,600,UNKN,,P251-011,PRESTON,,7/1/2005 12:00:00 AM,,WP251/004,WP251,,,10/27/2006 12:00:00 AM,5/23/2016 3:25:23 PM,IN,,,,28605
16,,,292739,0,WR174F-RED428,M420S-01740BR,,MAINBG,S,TARAGO - WESTERN PORT MAIN,M420,,,MSCL,0,0,1.17,1150,UNKN,,TMP-082,WESTERNPORT,,5/1/2009 12:00:00 AM,,WQ572/M/047,WR174,AS CONSTRUCTED,DIGITISED,10/17/2011 2:54:40 PM,12/7/2017 9:41:07 AM,IN,,,,19029
17,,,292738,0,M420S-01700BR,WQD72-BD-005,,MAINBG,S,TARAGO - WESTERN PORT MAIN,M420,,,MSCL,0,0,4.14,1150,UNKN,,TMP-073,WESTERNPORT,,5/1/2009 12:00:00 AM,,WQ572/M/047,WR174,AS CONSTRUCTED,DIGITISED,10/17/2011 2:54:39 PM,12/7/2017 9:41:06 AM,IN,,,,19020
18,,,235071,10261837,WT076V-QJ,WT076-00140BR,,MAINBG,S,CARDINIA BYPASS SURGE VESSEL,SL08,,,MS,0,0,0.59,600,UNKN,,,SILVAN,,10/17/2011 12:00:00 AM,,M273/183,M273-3,GRAPHICS,DIGITISED,4/11/2013 12:00:00 AM,3/5/2019 4:31:15 PM,IN,,,,28571
19,,,235072,10261838,WT076-00150BR,WT076V-QJ,,MAINBG,S,CARDINIA BYPASS SURGE VESSEL,SL08,,,MS,0,0,0.73,600,UNKN,,,SILVAN,,10/17/2011 12:00:00 AM,,M273/183,M273-3,GRAPHICS,DIGITISED,4/11/2013 12:00:00 AM,3/5/2019 4:31:15 PM,IN,,,,28572
20,,,232796,10212848,M193-07993BR,M193-08842BR,,MAINBG,T,KENNY ST-BROADMEADOWS MAIN,M193,,,MS,0,96.26,843.07,1150,CLAY,1/1/1965 12:00:00 AM,M280-034,PRESTON,,1/1/1965 12:00:00 AM,,M193/076,M280/193-4,,,11/1/2001 12:00:00 AM,7/4/2019 9:23:04 AM,IN,,,10212848,16421
21,,,238407,10273010,WR086-WS-TAN1,WR086-01610BE,,OUTLET,S,PLENTY RESERVOIR,R086,,,MS,0,0,2.38,150,,,R086-067,PRESTON,,1/1/1980 12:00:00 AM,,R86/101,WR86,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,1/31/2019 3:49:56 PM,IN,,,,29308
22,,,229654,10272057,WR086-01080BR,WR086V-Z,,INLET,S,PLENTY RESERVOIR,R086,,,MS,0,0,13.98,825,,,R086-063,PRESTON,,1/1/1980 12:00:00 AM,,R86/101,WR86,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,1/31/2019 3:49:55 PM,IN,,,,29257
23,,,229097,10272064,WR086V-AA,WR086-01720BE,,CROSS,S,PLENTY RESERVOIR,R086,,,MS,0,0,2.35,900,,,R086-065,PRESTON,,1/1/1980 12:00:00 AM,,R86/101,WR86,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,1/31/2019 3:49:56 PM,IN,,,,29259
24,,,230008,10273009,WR086V-Z,WR086-WS-TAN1,,INLET,S,PLENTY RESERVOIR,R086,,,MS,0,0,3.57,825,,,R086-064,PRESTON,,1/1/1980 12:00:00 AM,,R86/101,WR86,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,1/31/2019 3:49:55 PM,IN,,,,29258
