OBJECTID,MXUNITID,MXSITEID,COMPKEY,COMPTYPE,UNITID,UNITID2,PARALLEL_LINE_NBR,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,ASSET_ID,SUBAREA,Shape,MATERIAL,UPSTREAM_IL,DOWNSTREAM_IL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,GIS_ID,FIELD_TEAM,WS_CONSTRUCTION_FILE,DATE_OF_CONSTRUCTION,EPMS_SEC_NO,ASCONST_PLAN_NO,SKETCH_PLAN_NO,SOURCE,METHOD_OF_CAPTURE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS,MI_PRINX
497,,,238439,10272951,WR045-00540RED,WR045-00160BR,,OUTLET,S,SOMERTON HL RESERVOIR,R045,,,MS,0,0,0.98,825,,,R045-010,PRESTON,,1/1/1980 12:00:00 AM,,R45/63,WR45,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/5/2014 11:18:37 PM,IN,,,,29247
498,,,238570,10039671,A013-01014MATL,A013-01105BAS,,SIPHBG,T,BUNYIP MAIN RACE,A013,,,RC,125.56,127.73,30.15,600,UNKN,,A013-010,TARAGO,506/013/5007,1/1/1953 12:00:00 AM,,A13/401,A13-2,,,4/10/2001 12:00:00 AM,12/5/2014 11:18:38 PM,IN,,,,12199
499,,,232803,10212834,M193-06633BR,M193-07113BR,,MAINBG,T,KENNY ST-BROADMEADOWS MAIN,M193,,,MS,0,0,481.81,1150,CLAY,1/1/1965 12:00:00 AM,M280-027,PRESTON,,1/1/1965 12:00:00 AM,,M193/73,M193-9,,,11/1/2001 12:00:00 AM,12/5/2014 11:18:38 PM,IN,,,10212834,16407
500,,,233013,10212584,M131SB-01003RED,M131SB-01006BR,,MAINBG,S,MT VIEW-DANDENONG MAIN,M131,,,MSEL,0,138.79,3.4,1150,CRK,1/1/1958 12:00:00 AM,M131-001-B,SURREY HILLS,,1/1/1988 12:00:00 AM,,,WR15,,,10/17/2011 2:46:07 PM,12/5/2014 11:18:40 PM,IN,,,,15425
501,,,233066,10212531,M104B-04685BR,M104B-04794BR,,MAINBG,T,MORANG OUTLET,M104,,,MS,0,0,109.05,800,CRK,1/1/1989 12:00:00 AM,M104B-018-8,PRESTON,,5/2/2005 12:00:00 AM,,M104/198,M104B-4,,,9/26/2005 12:00:00 AM,12/5/2014 11:18:42 PM,IN,,,,15250
502,,,231974,10216742,WB075-00360BR,WB075-00400BR,,MAINBG,S,BRITTANIA CREEK PRV,B075,,,MS,0,0,2,225,UNKN,,B075-006-D,SILVAN,513/075/0001,1/1/1985 12:00:00 AM,,B75/31,WB75,GRAPHICS,,10/17/2011 12:00:00 AM,12/5/2014 11:18:49 PM,IN,,,,27807
503,,,232157,10216852,WB088-00220BR,WB088-00230BR,,MAINBG,S,DANDENONG RES PRV,B088,,,MS,0,0,1,600,UNKN,,B088-010,SURREY HILLS,,1/1/1986 12:00:00 AM,,B88/31,WB88,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/5/2014 11:18:50 PM,IN,,,,27851
504,,,232170,10216860,WB088-00370BR,WB088V-EQ,,MAINBG,S,DANDENONG RES PRV,B088,,,MS,0,0,0.97,225,UNKN,,B088-025,SURREY HILLS,,1/1/1986 12:00:00 AM,,B88/31,WB88,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/5/2014 11:18:51 PM,IN,,,,27842
505,,,226562,5049839,A011-04685WE,WM276-MS-001,,AQDUCT,T,UPPER YARRA,A011,,,CONC,0,303.79,356.93,0,,,A011-007,SILVAN,,1/1/1933 12:00:00 AM,,,A11-2,,,10/17/2011 2:38:56 PM,12/5/2014 11:18:52 PM,IN,,,,12178
506,,,226949,10271576,WH040-05240BR,WH040YHV-CH,,BYPASS,S,UPPER YARRA DAM,H040,,,MS,0,0,2.36,300,,,H040-067,SILVAN,,1/1/1980 12:00:00 AM,,M283/234,WH040,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:38:46 AM,IN,,,,30216
507,,,233640,10274098,WR020-07430BR,WR020V-TA,,MAINBG,S,PRESTON NO1 RESERVOIR,R020,,,MS,0,0,1.19,600,,,R020-272,PRESTON,,3/1/1984 12:00:00 AM,,R20/232,WR20,AS CONSTRUCTED,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:38:48 AM,IN,,,,31485
508,,,233781,10271322,WP168-01590BR,WP168V-VAL134,,MAINBG,S,YERING GORGE PS,P168,,,MS,0,0,1.86,1100,,,P168-037,MAROONDAH,,1/1/1980 12:00:00 AM,,,WP168,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:38:49 AM,IN,,,,30512
509,,,233870,10271254,WB062-00180BR,WB062-00190BE,,MAINBG,S,PRESTON RES VALVES US/UT PRV,B062,,,MS,0,0,3.68,1150,,,R020-116,PRESTON,,1/1/1980 12:00:00 AM,,R20/201,WR20/21/22,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:38:50 AM,IN,,,,30166
510,,,227047,10214341,M132SL-01005V,M132SL-01013V,,BYPASS,S,SILVA-MT WAVERLY MAIN,M132,,,MSCL,100.7,100.89,10.7,150,CLAY,1/1/1968 12:00:00 AM,M132-049-C,SURREY HILLS,61/11312,1/1/1957 12:00:00 AM,,M132/144B,M132-13C,,,10/17/2011 2:46:19 PM,12/6/2014 12:39:03 AM,IN,,,,15509
511,,,227225,10216425,M474CSB-01015V,M474C-00023BR,,BYPASS,S,ST GEORGES RD REPLACEMENT MAIN,M474,,,MSCL,0,0,0.93,225,SAND,1/1/1995 12:00:00 AM,M474-019-AC,PRESTON,520/160/0031,7/25/1996 12:00:00 AM,,M474/35,M474-2,,,10/17/2011 2:55:53 PM,12/6/2014 12:39:05 AM,IN,,,,19529
512,,,227299,10213324,WB065V-H,WB065VP2-V,,BYPASS,S,MT VIEW RES BYPASS PRV,B065,,,MS,0,0,3.05,225,UNKN,,B065-005,SURREY HILLS,,1/1/1982 12:00:00 AM,,B65/31,WB65,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:39:06 AM,IN,,,,26098
513,,,233984,10271712,WH070-00310BR,WH070OSV-B,,MAINBG,S,GREENVALE DAM,H070,,,MS,0,0,2.34,1700,,,H070-012-B,PRESTON,,1/1/1980 12:00:00 AM,,GR/690,WH70-4,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:39:08 AM,IN,,,,29669
