Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"""Prep Total""","""Year 1 Total""","""Year 2 Total""","""Year 3 Total""","""Year 4 Total""","""Year 5 Total""","""Year 6 Total""","""Primary Ungraded Total""","""Primary Total""","""Year 7 Total""","""Year 8 Total""","""Year 9 Total""","""Year 10 Total""","""Year 11 Total""","""Year 12 Total""","""Secondary Ungraded Total""","""Secondary Total""","""Grand Total""",Year,CENSUS_TYPE
Catholic,2,384,FCJ College,Secondary,O,0,0,0,0,0,0,0,0,0,87,79,67,65,82,43.4,0,423.4,423.4,2023,F
Catholic,2,386,St Patrick's School,Primary,O,42,49,52.2,54,54,66,60,0,377.2,0,0,0,0,0,0,0,0,377.2,2023,F
Catholic,2,401,Sacred Heart Primary School,Primary,O,45,53,58,49,76,65,68,0,414,0,0,0,0,0,0,0,0,414,2023,F
Catholic,2,404,Xavier College,Pri/Sec,O,24,33,20,30,37,91,88,0,323,160,163,234,238,234,251,0,1280,1603,2023,F
Catholic,2,409,St Joseph's School,Primary,O,6,2,4,5,1,3,4,0,25,0,0,0,0,0,0,0,0,25,2023,F
Catholic,2,411,Marian College,Secondary,O,0,0,0,0,0,0,0,0,0,75,63,73,73,70,63,0,417,417,2023,F
Catholic,2,413,Sacred Heart School,Primary,O,5,5,2,2,7,5,3,0,29,0,0,0,0,0,0,0,0,29,2023,F
Catholic,2,414,St Bernard's School,Primary,O,44,59,40,52,45,45,44,0,329,0,0,0,0,0,0,0,0,329,2023,F
Catholic,2,445,St Patrick's School,Primary,O,19,18.6,11,16,8,14,18,0,104.6,0,0,0,0,0,0,0,0,104.6,2023,F
Catholic,2,467,Academy of Mary Immaculate,Secondary,O,0,0,0,0,0,0,0,0,0,103,104,125,130,106,112,0,680,680,2023,F
Catholic,2,468,Sacred Heart School,Primary,O,15,14,14,13,18,9,17,0,100,0,0,0,0,0,0,0,0,100,2023,F
Catholic,2,474,Mount Lilydale Mercy College,Secondary,O,0,0,0,0,0,0,0,0,0,266,288,243,271.8,223.5,208,0,1500.3,1500.3,2023,F
Catholic,2,477,St Monica's School,Primary,O,17,12,19,12,20,10,16,0,106,0,0,0,0,0,0,0,0,106,2023,F
Catholic,2,478,St Augustine's School,Primary,O,23,13,21,18.4,23.6,18,13,0,130,0,0,0,0,0,0,0,0,130,2023,F
Catholic,2,486,Ss Michael and John's Primary School,Primary,O,41,36,46,38,36,29,30,0,256,0,0,0,0,0,0,0,0,256,2023,F
Catholic,2,495,Trinity College Colac,Secondary,O,0,0,0,0,0,0,0,0,0,121,146,144,111,139.6,99,0,760.6,760.6,2023,F
Catholic,2,496,St Mary's School,Primary,O,30,34,45,36,37,51.2,34,0,267.2,0,0,0,0,0,0,0,0,267.2,2023,F
Catholic,2,500,Kilbreda College,Secondary,O,0,0,0,0,0,0,0,0,0,170,158,171,144,138,130,0,911,911,2023,F
Catholic,2,501,Padua College,Secondary,O,0,0,0,0,0,0,0,0,0,427,480,463,409,398,372,0,2549,2549,2023,F
Catholic,2,515,Notre Dame College,Secondary,O,0,0,0,0,0,0,0,0,0,280,311,306.6,296,272,218,0,1683.6,1683.6,2023,F
Catholic,2,518,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,50,44,43,36,47,20,0,240,240,2023,F
Catholic,2,524,St John's School,Primary,O,7,9,14,11,10,12,13,0,76,0,0,0,0,0,0,0,0,76,2023,F
Catholic,2,525,St Joseph's School,Primary,O,38,32,35,41,22,42,42,0,252,0,0,0,0,0,0,0,0,252,2023,F
Catholic,2,539,St Joseph's School,Primary,O,87,92,88,96,81,77,104,0,625,0,0,0,0,0,0,0,0,625,2023,F
Catholic,2,548,St Ignatius College Geelong,Secondary,O,0,0,0,0,0,0,0,0,0,249,245,247,246,234,190,0,1411,1411,2023,F
Catholic,2,549,St Mary's School,Primary,O,29,24,37,35,38,39,25,0,227,0,0,0,0,0,0,0,0,227,2023,F
Catholic,2,550,St Patrick's School,Primary,O,46,72,52,59,69,53,68,0,419,0,0,0,0,0,0,0,0,419,2023,F
Catholic,2,566,St Monica's Primary School,Primary,O,75,74,73,75,70,79,81,0,527,0,0,0,0,0,0,0,0,527,2023,F
Catholic,2,567,St Patrick's School,Primary,O,33,34,33,34,28,30,36,0,228,0,0,0,0,0,0,0,0,228,2023,F
Catholic,2,576,Catholic Ladies' College Ltd,Secondary,O,0,0,0,0,0,0,0,0,0,180,144,130,140,131,99,0,824,824,2023,F
Catholic,2,579,St Joseph's School,Primary,O,6,7,13,10,8,11,7,0,62,0,0,0,0,0,0,0,0,62,2023,F
Catholic,2,581,St Mary's School,Primary,O,12,7,13,9,8,8,12,0,69,0,0,0,0,0,0,0,0,69,2023,F
Catholic,2,584,St Mary's School,Primary,O,81,86,87,81,80.2,99.6,87.2,0,602,0,0,0,0,0,0,0,0,602,2023,F
