Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"""Prep Total""","""Year 1 Total""","""Year 2 Total""","""Year 3 Total""","""Year 4 Total""","""Year 5 Total""","""Year 6 Total""","""Primary Ungraded Total""","""Primary Total""","""Year 7 Total""","""Year 8 Total""","""Year 9 Total""","""Year 10 Total""","""Year 11 Total""","""Year 12 Total""","""Secondary Ungraded Total""","""Secondary Total""","""Grand Total""",Year,CENSUS_TYPE
Government,1,956,Yarra Glen Primary School,Primary,O,27,29,38,18,18,24,27,0,181,0,0,0,0,0,0,0,0,181,2023,F
Government,1,981,Kangaroo Flat Primary School,Primary,O,51,47,45,38,38,43,40,0,302,0,0,0,0,0,0,0,0,302,2023,F
Government,1,982,Westmeadows Primary School,Primary,O,71,79,58,80,63,69,67,0,487,0,0,0,0,0,0,0,0,487,2023,F
Government,1,1002,Sunbury Primary School,Primary,O,62,49,54,44,69,43,50,0,371,0,0,0,0,0,0,0,0,371,2023,F
Government,1,1003,Diamond Creek Primary School,Primary,O,33,41,36,34,43.4,34,40,0,261.4,0,0,0,0,0,0,0,0,261.4,2023,F
Government,1,1004,Hesket Primary School,Primary,O,8,17,9,5,8,6,2,0,55,0,0,0,0,0,0,0,0,55,2023,F
Government,1,1008,Axedale Primary School,Primary,O,15,12,13,11,9,22,17,0,99,0,0,0,0,0,0,0,0,99,2023,F
Government,1,1022,Vermont Primary School,Primary,O,98,96,96,130,123,110,115,0,768,0,0,0,0,0,0,0,0,768,2023,F
Government,1,1023,Tarnagulla Primary School,Primary,O,4,4,2,4,3,1,3,0,21,0,0,0,0,0,0,0,0,21,2023,F
Government,1,1026,Balwyn Primary School,Primary,O,71,93,88,106,87,86,95,0,626,0,0,0,0,0,0,0,0,626,2023,F
Government,1,1028,Scoresby Primary School,Primary,O,21,23,28,26,34,40,30,0,202,0,0,0,0,0,0,0,0,202,2023,F
Government,1,1030,Carisbrook Primary School,Primary,O,32,41,36,32,37,39,34,0,251,0,0,0,0,0,0,0,0,251,2023,F
Government,1,1033,Wandin Yallock Primary School,Primary,O,19,19,15,22,23,18,10,0,126,0,0,0,0,0,0,0,0,126,2023,F
Government,1,1034,Yering Primary School,Primary,O,1,1,0,1,0,1,2,0,6,0,0,0,0,0,0,0,0,6,2023,F
Government,1,1035,Dartmoor Primary School,Primary,O,3,2,2,4,3,2,1,0,17,0,0,0,0,0,0,0,0,17,2023,F
Government,1,1051,Mickleham Primary School,Primary,O,46,38,45,47,38,36,40,0,290,0,0,0,0,0,0,0,0,290,2023,F
Government,1,1052,Inglewood Primary School,Primary,O,11,4,9,3,7,5,7,0,46,0,0,0,0,0,0,0,0,46,2023,F
Government,1,1054,Chewton Primary School,Primary,O,4,6,4,5,12,15,13,0,59,0,0,0,0,0,0,0,0,59,2023,F
Government,1,1070,Bolinda Primary School,Primary,O,1,10,1,10,9,8,6,0,45,0,0,0,0,0,0,0,0,45,2023,F
Government,1,1072,Napoleons Primary School,Primary,O,12,6,6,11,13,12.4,17,0,77.4,0,0,0,0,0,0,0,0,77.4,2023,F
Government,1,1075,Kew Primary School,Primary,O,60,68,77,76,85,57,72,0,495,0,0,0,0,0,0,0,0,495,2023,F
Government,1,1076,Haddon Primary School,Primary,O,31,44,31,29,38,48,31,0,252,0,0,0,0,0,0,0,0,252,2023,F
Government,1,1079,Panmure Primary School,Primary,O,1,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2023,F
Government,1,1090,Sorrento Primary School,Primary,O,34,33,46,39,38,43,38,0,271,0,0,0,0,0,0,0,0,271,2023,F
Government,1,1091,Alfredton Primary School,Primary,O,67,47,72,58,75,71,81,0,471,0,0,0,0,0,0,0,0,471,2023,F
Government,1,1097,Bridgewater Primary School,Primary,O,2.4,2,4,0,1,1,1,0,11.4,0,0,0,0,0,0,0,0,11.4,2023,F
Government,1,1098,Hastings Primary School,Primary,O,19,25,31,25,29,28,26,0,183,0,0,0,0,0,0,0,0,183,2023,F
Government,1,1103,Yackandandah Primary School,Primary,O,26,25.6,30,18,39,24,22,0,184.6,0,0,0,0,0,0,0,0,184.6,2023,F
Government,1,1104,Nagambie Primary School,Primary,O,19,25,27,19,23,21,28,0,162,0,0,0,0,0,0,0,0,162,2023,F
Government,1,1108,Heyfield Primary School,Primary,O,12,13,20,9,20,22,12,0,108,0,0,0,0,0,0,0,0,108,2023,F
Government,1,1111,Moorabbin Primary School,Primary,O,95,84,60,80,55,62,35,0,471,0,0,0,0,0,0,0,0,471,2023,F
Government,1,1112,Mansfield Primary School,Primary,O,47,86,68,76,78.2,68,84,0,507.2,0,0,0,0,0,0,0,0,507.2,2023,F
Government,1,1115,Middle Indigo Primary School,Primary,O,3,1,1,3,4,4,7,0,23,0,0,0,0,0,0,0,0,23,2023,F
Government,1,1117,Briagolong Primary School,Primary,O,14,10,13,12,15,15,11,0,90,0,0,0,0,0,0,0,0,90,2023,F
Government,1,1120,Lindenow Primary School,Primary,O,23,18,16,20,15,20,24,0,136,0,0,0,0,0,0,0,0,136,2023,F
Government,1,1125,Broadford Primary School,Primary,O,44,48,38,52,49,52,52,0,335,0,0,0,0,0,0,0,0,335,2023,F
Government,1,1126,Murchison Primary School,Primary,O,7,11,9,10,13,9,12,0,71,0,0,0,0,0,0,0,0,71,2023,F
Government,1,1134,Panton Hill Primary School,Primary,O,24,23,21,18,21,17,20,0,144,0,0,0,0,0,0,0,0,144,2023,F
Government,1,1135,Glen Park Primary School,Primary,O,3,0,1,1,1,3,0,0,9,0,0,0,0,0,0,0,0,9,2023,F
Government,1,1136,Concongella Primary School,Primary,O,3,6,6,7,5,11,6,0,44,0,0,0,0,0,0,0,0,44,2023,F
Government,1,1141,Bruthen Primary School,Primary,O,7,4,14,5,13,7,6,0,56,0,0,0,0,0,0,0,0,56,2023,F
Government,1,1142,Swan Hill Primary School,Primary,O,72,84,71,82,60,74,74,0,517,0,0,0,0,0,0,0,0,517,2023,F
Government,1,1144,Porepunkah Primary School,Primary,O,14,18,16,20,11,18,14,0,111,0,0,0,0,0,0,0,0,111,2023,F
Government,1,1146,Leopold Primary School,Primary,O,115,131,120,129,121,125,116,0,857,0,0,0,0,0,0,0,0,857,2023,F
Government,1,1147,Inverleigh Primary School,Primary,O,24,26,28,25,30,24,19,0,176,0,0,0,0,0,0,0,0,176,2023,F
Government,1,1148,Glen Iris Primary School,Primary,O,56,53,43,71,47,62,50,0,382,0,0,0,0,0,0,0,0,382,2023,F
Government,1,1150,Trawalla Primary School,Primary,O,0,0,1,2,1,1,1,0,6,0,0,0,0,0,0,0,0,6,2023,F
Government,1,1165,Quarry Hill Primary School,Primary,O,48,38,42,35,46,58,51.6,0,318.6,0,0,0,0,0,0,0,0,318.6,2023,F
Government,1,1167,Sebastopol Primary School,Primary,O,16,13,13,10,14,6,15,0,87,0,0,0,0,0,0,0,0,87,2023,F
Government,1,1176,Woodside Primary School,Primary,O,5,3,4,7,10,7,6,0,42,0,0,0,0,0,0,0,0,42,2023,F
Government,1,1178,Noorat Primary School,Primary,O,2,1,2,1,3,1,1,0,11,0,0,0,0,0,0,0,0,11,2023,F
Government,1,1181,Albert Park Primary School,Primary,O,59,76,52,72,75,80,72,0,486,0,0,0,0,0,0,0,0,486,2023,F
Government,1,1183,Williamstown Primary School,Primary,O,58,65,69,67.4,79,84,78,0,500.4,0,0,0,0,0,0,0,0,500.4,2023,F
Government,1,1184,Boneo Primary School,Primary,O,68,54,46,46,55,50,50,0,369,0,0,0,0,0,0,0,0,369,2023,F
Government,1,1190,Queenscliff Primary School,Primary,O,19,21,34,25,34,11,18,0,162,0,0,0,0,0,0,0,0,162,2023,F
Government,1,1194,Portland North Primary School,Primary,O,22,22,22,24,22,18,25,0,155,0,0,0,0,0,0,0,0,155,2023,F
Government,1,1207,Timor Primary School,Primary,O,8,4,10,8,5,5,3,0,43,0,0,0,0,0,0,0,0,43,2023,F
Government,1,1208,Apsley Primary School,Primary,O,2,6,3,4,3.5,3,3,0,24.5,0,0,0,0,0,0,0,0,24.5,2023,F
Government,1,1211,Strathfieldsaye Primary School,Primary,O,84,73,69,76,77,89,85,0,553,0,0,0,0,0,0,0,0,553,2023,F
Government,1,1222,Skye Primary School,Primary,O,81,78,53,55,58,60.2,44,0,429.2,0,0,0,0,0,0,0,0,429.2,2023,F
Government,1,1225,Tooborac Primary School,Primary,O,0,1,0,4,0,2,4,0,11,0,0,0,0,0,0,0,0,11,2023,F
Government,1,1231,Lucknow Primary School,Primary,O,80,71,57,65,77,80,62,0,492,0,0,0,0,0,0,0,0,492,2023,F
Government,1,1244,Upper Plenty Primary School,Primary,O,32,23,29,32,25,36,23,0,200,0,0,0,0,0,0,0,0,200,2023,F
Government,1,1252,Carlton North Primary School,Primary,O,42,38,48,36,38,37,42,0,281,0,0,0,0,0,0,0,0,281,2023,F
Government,1,1254,Maldon Primary School,Primary,O,17,8,13,12,14,9,16,0,89,0,0,0,0,0,0,0,0,89,2023,F
Government,1,1259,Woori Yallock Primary School,Primary,O,63,69,60,62,55,52,51,0,412,0,0,0,0,0,0,0,0,412,2023,F
Government,1,1263,Moyston Primary School,Primary,O,2,9,5,3,5,8,7,0,39,0,0,0,0,0,0,0,0,39,2023,F
Government,1,1270,Buninyong Primary School,Primary,O,78,96,88,89,99,102,83,0,635,0,0,0,0,0,0,0,0,635,2023,F
Government,1,1273,Marysville Primary School,Primary,O,5,11,4,10,11,6,5,0,52,0,0,0,0,0,0,0,0,52,2023,F
Government,1,1275,Langley Primary School,Primary,O,0,0,0,1,0,2,1,0,4,0,0,0,0,0,0,0,0,4,2023,F
Government,1,1277,Wandong Primary School,Primary,O,86,79,67,52,69,58,58,0,469,0,0,0,0,0,0,0,0,469,2023,F
Government,1,1282,Cowes Primary School,Primary,O,60,68,95,75,75,67,77,0,517,0,0,0,0,0,0,0,0,517,2023,F
Government,1,1288,Bullarto Primary School,Primary,O,2,2,9,3,3,2,1,0,22,0,0,0,0,0,0,0,0,22,2023,F
Government,1,1293,Lismore Primary School,Primary,O,6,2,4,4,5,1,3,0,25,0,0,0,0,0,0,0,0,25,2023,F
Government,1,1295,Lower Plenty Primary School,Primary,O,10,13.2,16,10.8,8,8,14,0,80,0,0,0,0,0,0,0,0,80,2023,F
Government,1,1316,Specimen Hill Primary School,Primary,O,30,49,38,41,36,51,35,0,280,0,0,0,0,0,0,0,0,280,2023,F
Government,1,1324,Bolwarra Primary School,Primary,O,7,8,7,5,7,7,11,0,52,0,0,0,0,0,0,0,0,52,2023,F
Government,1,1330,Navarre Primary School,Primary,O,1,3,1,1,3,0.1,0,0,9.1,0,0,0,0,0,0,0,0,9.1,2023,F
Government,1,1334,Warracknabeal Primary School,Primary,O,15,17,19,15,22,9,26,0,123,0,0,0,0,0,0,0,0,123,2023,F
Government,1,1335,Moyhu Primary School,Primary,O,2,3,1,2,1,1,3,0,13,0,0,0,0,0,0,0,0,13,2023,F
Government,1,1347,Natte Yallock Primary School,Primary,O,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2023,F
Government,1,1360,Clifton Hill Primary School,Primary,O,87,105,90,91,101,117,89,0,680,0,0,0,0,0,0,0,0,680,2023,F
Government,1,1362,Christmas Hills Primary School,Primary,O,1,5,2.6,6,3,2.6,3,0,23.2,0,0,0,0,0,0,0,0,23.2,2023,F
Government,1,1365,Tallangatta Primary School,Primary,O,6,15,11,16,10,12,11,0,81,0,0,0,0,0,0,0,0,81,2023,F
Government,1,1366,Kialla Central Primary School,Primary,O,15,11,8,13,9,14,6,0,76,0,0,0,0,0,0,0,0,76,2023,F
Government,1,1368,Mount Eliza Primary School,Primary,O,70,61,71,66,55,83,72,0,478,0,0,0,0,0,0,0,0,478,2023,F
Government,1,1369,San Remo Primary School,Primary,O,22,26,32,19,27,20,34,0,180,0,0,0,0,0,0,0,0,180,2023,F
Government,1,1372,Dimboola Primary School,Primary,O,16,15,8,12,9,20,13,0,93,0,0,0,0,0,0,0,0,93,2023,F
Government,1,1373,Whorouly Primary School,Primary,O,5,2,3,10,3,3,2,0,28,0,0,0,0,0,0,0,0,28,2023,F
Government,1,1379,Merrijig Primary School,Primary,O,1,2,7.2,2,5,6,3,0,26.2,0,0,0,0,0,0,0,0,26.2,2023,F
Government,1,1386,Lethbridge Primary School,Primary,O,15,13,12,19,17,19,12,0,107,0,0,0,0,0,0,0,0,107,2023,F
Government,1,1399,Oxley Primary School,Primary,O,10,10,12,14,8,15,18,0,87,0,0,0,0,0,0,0,0,87,2023,F
Government,1,1401,Northcote Primary School,Primary,O,50,49,36,58,47,44,42,0,326,0,0,0,0,0,0,0,0,326,2023,F
Government,1,1402,North Melbourne Primary School,Primary,O,105,82,100,110,141,120,122,0,780,0,0,0,0,0,0,0,0,780,2023,F
Government,1,1403,Dandenong Primary School,Primary,O,65,58,73,59,51,43,50,0,399,0,0,0,0,0,0,0,0,399,2023,F
Government,1,1408,Malmsbury Primary School,Primary,O,6,11,12,13,11,14,6,0,73,0,0,0,0,0,0,0,0,73,2023,F
Government,1,1409,Williamstown North Primary School,Primary,O,78,79,98,100,88,120,108,0,671,0,0,0,0,0,0,0,0,671,2023,F
Government,1,1410,Kerang Primary School,Primary,O,4,19,13,13,2,15,12,0,78,0,0,0,0,0,0,0,0,78,2023,F
Government,1,1417,Drouin West Primary School,Primary,O,39,40,41,30,35.6,27.6,36,0,249.2,0,0,0,0,0,0,0,0,249.2,2023,F
Government,1,1420,Meredith Primary School,Primary,O,11,7,10,6,8,6,11,0,59,0,0,0,0,0,0,0,0,59,2023,F
Government,1,1422,Edi Upper Primary School,Primary,O,0,2,0,1,1,1,0,0,5,0,0,0,0,0,0,0,0,5,2023,F
Government,1,1428,Eaglehawk North Primary School,Primary,O,27,36,36,45,50,46,47,0,287,0,0,0,0,0,0,0,0,287,2023,F
Government,1,1432,Mooroopna Primary School,Primary,O,36,37,32,33,28,28,32,0,226,0,0,0,0,0,0,0,0,226,2023,F
Government,1,1434,Cairnlea Park Primary School,Primary,O,105,93,125,125,117,132,94,0,791,0,0,0,0,0,0,0,0,791,2023,F
Government,1,1435,Ballan Primary School,Primary,O,32,30,38,37,35,35,27,0,234,0,0,0,0,0,0,0,0,234,2023,F
Government,1,1436,Mount Pleasant Primary School,Primary,O,27,15,18,17,18,7,10,0,112,0,0,0,0,0,0,0,0,112,2023,F
Government,1,1441,Tatura Primary School,Primary,O,32,35,32,33,35,24,29,0,220,0,0,0,0,0,0,0,0,220,2023,F
Government,1,1455,Toolamba Primary School,Primary,O,23,23,15,22,24,21,16,0,144,0,0,0,0,0,0,0,0,144,2023,F
Government,1,1458,Harston Primary School,Primary,O,1,1,0.4,1.4,1,1,2,0,7.8,0,0,0,0,0,0,0,0,7.8,2023,F
Government,1,1463,Osbornes Flat Primary School,Primary,O,4,2,2,3,3,7,3,0,24,0,0,0,0,0,0,0,0,24,2023,F
Government,1,1464,Frankston Primary School,Primary,O,31,45,31,27,41,33,32,0,240,0,0,0,0,0,0,0,0,240,2023,F
Government,1,1465,Donald Primary School,Primary,O,11,17,10,10,8,11,13,0,80,0,0,0,0,0,0,0,0,80,2023,F
Government,1,1476,Beveridge Primary School,Primary,O,72,90,72,72,55,75,61,0,497,0,0,0,0,0,0,0,0,497,2023,F
Government,1,1479,St Kilda Primary School,Primary,O,57,66,72,62,53,70,60,0,440,0,0,0,0,0,0,0,0,440,2023,F
Government,1,1484,Cape Clear Primary School,Primary,O,4,1,4,4,1,2,5,0,21,0,0,0,0,0,0,0,0,21,2023,F
Government,1,1485,Warburton Primary School,Primary,O,6,6,3,6,8,12,6,0,47,0,0,0,0,0,0,0,0,47,2023,F
Government,1,1488,Tallarook Primary School,Primary,O,7,5,1,3,1,3,2,0,22,0,0,0,0,0,0,0,0,22,2023,F
Government,1,1489,Barnawartha Primary School,Primary,O,11,7,8,14,5,12,9,0,66,0,0,0,0,0,0,0,0,66,2023,F
Government,1,1490,Fitzroy North Primary School,Primary,O,49,48,65,60,58,53,61,0,394,0,0,0,0,0,0,0,0,394,2023,F
Government,1,1492,Ashby Primary School,Primary,O,41,41,31,31,26,31,30,0,231,0,0,0,0,0,0,0,0,231,2023,F
Government,1,1494,Preston Primary School,Primary,O,99,92,97,91,97,103,89,0,668,0,0,0,0,0,0,0,0,668,2023,F
Government,1,1503,Tooradin Primary School,Primary,O,38,50,55,43,40.6,40,42,0,308.6,0,0,0,0,0,0,0,0,308.6,2023,F
Government,1,1508,Glenferrie Primary School,Primary,O,36,34,32,34,30,34,40,0,240,0,0,0,0,0,0,0,0,240,2023,F
Government,1,1515,Elmore Primary School,Primary,O,6,3,1,5,7,3,5,0,30,0,0,0,0,0,0,0,0,30,2023,F
Government,1,1527,Dookie Primary School,Primary,O,2,1,0,4,2,3,1,0,13,0,0,0,0,0,0,0,0,13,2023,F
Government,1,1542,Brighton Primary School,Primary,O,87.8,81,91,82,80,61,59,0,541.8,0,0,0,0,0,0,0,0,541.8,2023,F
Government,1,1548,Natimuk Primary School,Primary,O,5,6,3,4,4,4,5,0,31,0,0,0,0,0,0,0,0,31,2023,F
Government,1,1549,Murtoa College,Pri/Sec,O,15,10,9,13,14,8,8,0,77,39,30,33,21.8,27.8,19.8,0,171.4,248.4,2023,F
Government,1,1551,Big Hill Primary School,Primary,O,37,31,36,35,30,39,39,0,247,0,0,0,0,0,0,0,0,247,2023,F
Government,1,1552,Clunes Primary School,Primary,O,19,16,11.9,15,11,16,18,0,106.9,0,0,0,0,0,0,0,0,106.9,2023,F
Government,1,1554,Marnoo Primary School,Primary,O,0,5,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,7,2023,F
Government,1,1560,Beechworth Primary School,Primary,O,19,39,22,22,19,30,27,0,178,0,0,0,0,0,0,0,0,178,2023,F
Government,1,1563,Ardmona Primary School,Primary,O,1,3,0,3,1,1,2,0,11,0,0,0,0,0,0,0,0,11,2023,F
Government,1,1568,Kilmore Primary School,Primary,O,65,69,70,68,86,70,79,0,507,0,0,0,0,0,0,0,0,507,2023,F
Government,1,1571,Macarthur Primary School,Primary,O,8,4,7,8,6,0,4,0,37,0,0,0,0,0,0,0,0,37,2023,F
Government,1,1574,Barwon Heads Primary School,Primary,O,41,72,55,72,85,72,75,0,472,0,0,0,0,0,0,0,0,472,2023,F
Government,1,1578,Keilor Primary School,Primary,O,52,66,65,48,55,52,55.4,0,393.4,0,0,0,0,0,0,0,0,393.4,2023,F
Government,1,1582,Dunolly Primary School,Primary,O,14,8,12,4,15,9,17,0,79,0,0,0,0,0,0,0,0,79,2023,F
Government,1,1583,Springhurst Primary School,Primary,O,2,3,3,3,1,0,2,0,14,0,0,0,0,0,0,0,0,14,2023,F
Government,1,1588,Trentham District Primary School,Primary,O,16,18,13,13,16,15,20,0,111,0,0,0,0,0,0,0,0,111,2023,F
Government,1,1591,Warrenheip Primary School,Primary,O,3,3,7,4,3,4,3,0,27,0,0,0,0,0,0,0,0,27,2023,F
Government,1,1592,Maiden Gully Primary School,Primary,O,86,81,83,91.7,74,92,68,0,575.7,0,0,0,0,0,0,0,0,575.7,2023,F
Government,1,1595,Rupanyup Primary School,Primary,O,1,6,1,3,2,1,4,0,18,0,0,0,0,0,0,0,0,18,2023,F
Government,1,1598,Goornong Primary School,Primary,O,8,5,5,3,5,3,4,0,33,0,0,0,0,0,0,0,0,33,2023,F
Government,1,1601,Oakleigh Primary School,Primary,O,60,63,66,68,69.6,65.6,57,0,449.2,0,0,0,0,0,0,0,0,449.2,2023,F
Government,1,1602,Ceres Primary School,Primary,O,21,26,31,8,14,12,9,0,121,0,0,0,0,0,0,0,0,121,2023,F
Government,1,1604,Malvern Central School,Primary,O,97,86,85,71,66,51,46,0,502,0,0,0,0,0,0,0,0,502,2023,F
Government,1,1609,Daylesford Primary School,Primary,O,36,27,21,37,36,33,46,0,236,0,0,0,0,0,0,0,0,236,2023,F
Government,1,1612,Mooroopna North Primary School,Primary,O,6,4,4,4,4,6,2,0,30,0,0,0,0,0,0,0,0,30,2023,F
Government,1,1631,Swan Reach Primary School,Primary,O,14.4,15,16,16,16,9,16,0,102.4,0,0,0,0,0,0,0,0,102.4,2023,F
Government,1,1637,Amphitheatre Primary School,Primary,O,4,0,3,2,0,3,1,0,13,0,0,0,0,0,0,0,0,13,2023,F
Government,1,1642,Deans Marsh Primary School,Primary,O,7,2,8,2,6,5,7,0,37,0,0,0,0,0,0,0,0,37,2023,F
Government,1,1645,Drysdale Primary School,Primary,O,40,49,51,51,56,50,67,0,364,0,0,0,0,0,0,0,0,364,2023,F
Government,1,1646,St Arnaud Primary School,Primary,O,9,15,14,10,15,16,26,0,105,0,0,0,0,0,0,0,0,105,2023,F
Government,1,1652,Nullawarre and District Primary School,Primary,O,7,10,13,9,12,10,10,0,71,0,0,0,0,0,0,0,0,71,2023,F
Government,1,1660,Macedon Primary School,Primary,O,34,43.2,29,42.8,39,30,35,0,253,0,0,0,0,0,0,0,0,253,2023,F
Government,1,1666,Arthurs Creek Primary School,Primary,O,9,14,8,9,11.4,9,5,0,65.4,0,0,0,0,0,0,0,0,65.4,2023,F
Government,1,1667,Rye Primary School,Primary,O,74,51,54,52,55,52,50,0,388,0,0,0,0,0,0,0,0,388,2023,F
Government,1,1669,Buxton Primary School,Primary,O,3,3,2,0.2,1.2,1,5,0,15.4,0,0,0,0,0,0,0,0,15.4,2023,F
Government,1,1683,Moonambel Primary School,Primary,O,2,1.8,0,0.7,4,2,3.5,0,14,0,0,0,0,0,0,0,0,14,2023,F
Government,1,1694,Longford Primary School,Primary,O,23,27,17,25,26,15,17,0,150,0,0,0,0,0,0,0,0,150,2023,F
Government,1,1697,Harkaway Primary School,Primary,O,12,16,15,14,18,22,19,0,116,0,0,0,0,0,0,0,0,116,2023,F
Government,1,1698,Balnarring Primary School,Primary,O,59,63,60,55,50,55,51,0,393,0,0,0,0,0,0,0,0,393,2023,F
Government,1,1704,Carraragarmungee Primary School,Primary,O,2,8,5,3,4,3,2,0,27,0,0,0,0,0,0,0,0,27,2023,F
Government,1,1706,Euroa Primary School,Primary,O,14,10,18,16,19,16,23,0,116,0,0,0,0,0,0,0,0,116,2023,F
Government,1,1712,Pyramid Hill College,Pri/Sec,O,3,8,4,10,4,7,6,0,42,13,12,9,16,0,0,0,50,92,2023,F
Government,1,1713,Shepparton East Primary School,Primary,O,36,28,33,38,35,44,36,0,250,0,0,0,0,0,0,0,0,250,2023,F
Government,1,1716,Nicholson Primary School,Primary,O,11,17,4,18,6,8,10,0,74,0,0,0,0,0,0,0,0,74,2023,F
Government,1,1727,Kialla West Primary School,Primary,O,29,22,27,34,24,33,28,0,197,0,0,0,0,0,0,0,0,197,2023,F
Government,1,1739,Miners Rest Primary School,Primary,O,54,46,53,43,55,41,50,0,342,0,0,0,0,0,0,0,0,342,2023,F
Government,1,1742,Glenrowan Primary School,Primary,O,19,15,14,12,15,14,8,0,97,0,0,0,0,0,0,0,0,97,2023,F
Government,1,1743,Warrnambool Primary School,Primary,O,35,51,47,64,66,59.4,66,0,388.4,0,0,0,0,0,0,0,0,388.4,2023,F
Government,1,1764,Devenish Primary School,Primary,U,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2023,F
Government,1,1771,Undera Primary School,Primary,O,3,4,2,2,3,3,1,0,18,0,0,0,0,0,0,0,0,18,2023,F
Government,1,1772,Dederang Primary School,Primary,O,5,2,4,3,3,1,0,0,18,0,0,0,0,0,0,0,0,18,2023,F
Government,1,1788,Eppalock Primary School,Primary,O,7,9,8,11,9,12,6,0,62,0,0,0,0,0,0,0,0,62,2023,F
Government,1,1801,Silvan Primary School,Primary,O,2,0,5,3,3,4,6,0,23,0,0,0,0,0,0,0,0,23,2023,F
Government,1,1813,Wendouree Primary School,Primary,O,14,18,18,12,26,16,21,0,125,0,0,0,0,0,0,0,0,125,2023,F
Government,1,1814,Lancaster Primary School,Primary,O,3,5,8,4,4,5,6,0,35,0,0,0,0,0,0,0,0,35,2023,F
Government,1,1844,Raywood Primary School,Primary,O,2,1,3,2,0,2,2,0,12,0,0,0,0,0,0,0,0,12,2023,F
Government,1,1855,Puckapunyal Primary School,Primary,O,23,23,39,32,25,38,28,0,208,0,0,0,0,0,0,0,0,208,2023,F
Government,1,1862,Landsborough Primary School,Primary,O,1,1,4,4,1,2,0,0,13,0,0,0,0,0,0,0,0,13,2023,F
Government,1,1866,Lysterfield Primary School,Primary,O,66,79,80,65,83,78,82,0,533,0,0,0,0,0,0,0,0,533,2023,F
Government,1,1870,Winton Primary School,Primary,O,1,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,4,2023,F
Government,1,1874,Merrigum Primary School,Primary,O,3,2,3,3,4,1,1,0,17,0,0,0,0,0,0,0,0,17,2023,F
Government,1,1883,Bethanga Primary School,Primary,O,3,6,6,6,3,10,1,0,35,0,0,0,0,0,0,0,0,35,2023,F
Government,1,1886,Abbotsford Primary School,Primary,O,39,28,20,24,18,24,18,0,171,0,0,0,0,0,0,0,0,171,2023,F
Government,1,1887,Newtown Primary School,Primary,O,34,21,29,34,36,26,30,0,210,0,0,0,0,0,0,0,0,210,2023,F
Government,1,1896,Windsor Primary School,Primary,O,22,18,23,19,25,19,15.2,0,141.2,0,0,0,0,0,0,0,0,141.2,2023,F
Government,1,1901,Narre Warren North Primary School,Primary,O,53,49,54,61,57,48,57,0,379,0,0,0,0,0,0,0,0,379,2023,F
Government,1,1905,Buchan Primary School,Primary,O,4,3,3,6,1,5,2,0,24,0,0,0,0,0,0,0,0,24,2023,F
Government,1,1910,Anakie Primary School,Primary,O,10,2,9,11,9,12,6,0,59,0,0,0,0,0,0,0,0,59,2023,F
Government,1,1911,Moolap Primary School,Primary,O,24,28,38,27,41,21,35,0,214,0,0,0,0,0,0,0,0,214,2023,F
Government,1,1912,Footscray City Primary School,Primary,O,57.6,54,68,62,93.6,70,65,0,470.2,0,0,0,0,0,0,0,0,470.2,2023,F
Government,1,1913,Newham Primary School,Primary,O,6,9,9,14,15,11,13,0,77,0,0,0,0,0,0,0,0,77,2023,F
Government,1,1915,Plenty Parklands Primary School,Primary,O,76,115,103,100,107,97,116,0,714,0,0,0,0,0,0,0,0,714,2023,F
Government,1,1916,White Hills Primary School,Primary,O,78,84,77,83,70,87,97,0,576,0,0,0,0,0,0,0,0,576,2023,F
Government,1,1918,Mount Egerton Primary School,Primary,O,0,3,1,4,0,3,4,0,15,0,0,0,0,0,0,0,0,15,2023,F
Government,1,1924,Drouin Primary School,Primary,O,93,73,98,95,106,83,93,0,641,0,0,0,0,0,0,0,0,641,2023,F
Government,1,1938,Wunghnu Primary School,Primary,O,3,3,3,4,1,3,4,0,21,0,0,0,0,0,0,0,0,21,2023,F
Government,1,1943,Maroona Primary School,Primary,O,5,2,3,5,7,5,3,0,30,0,0,0,0,0,0,0,0,30,2023,F
Government,1,1951,Jindivick Primary School,Primary,O,7,9,9,6,12,10,10,0,63,0,0,0,0,0,0,0,0,63,2023,F
Government,1,1954,Talgarno Primary School,Primary,O,7,6,5,5,5,2,4,0,34,0,0,0,0,0,0,0,0,34,2023,F
Government,1,1960,Bungaree Primary School,Primary,O,7,0,4,1,4,0,3,0,19,0,0,0,0,0,0,0,0,19,2023,F
Government,1,1961,Little River Primary School,Primary,O,18,13,23,16,15,23,17,0,125,0,0,0,0,0,0,0,0,125,2023,F
Government,1,1967,Cowwarr Primary School,Primary,O,0,1,3,5,2,6,2,0,19,0,0,0,0,0,0,0,0,19,2023,F
Government,1,1975,Morang South Primary School,Primary,O,75,57.2,68,50,54,60,32,0,396.2,0,0,0,0,0,0,0,0,396.2,2023,F
Government,1,1976,Camp Hill Primary School,Primary,O,31,34,42,34,53,41,43,0,278,0,0,0,0,0,0,0,0,278,2023,F
