Site_ID,Site_Name,Property_Name,Latitude,Longitude,Location
65011,Fitzroy Gardens West '18,Fitzroy Gardens,-37.813319094673304,144.97973997482822,"-37.813319094673304, 144.97973997482822"
65014,Flagstaff Gardens 2,Flagstaff Gardens,-37.81051999998559,144.9551499999644,"-37.81051999998559, 144.9551499999644"
66190,Toms Block,Kings Domain,-37.82491999998579,144.97193999998652,"-37.82491999998579, 144.97193999998652"
66191,Bourke South 5,,-37.81375926925809,144.96504108931873,"-37.81375926925809, 144.96504108931873"
66195,Alexandra Gardens Engineers Lawn,Alexandra Gardens,-37.82072999998553,144.97253999999268,"-37.82072999998553, 144.97253999999268"
66198,Kings Domain West,Kings Domain,-37.82461663710181,144.97306960647356,"-37.82461663710181, 144.97306960647356"
69158,Cnr Pelham & Barry st,,-37.80219933207128,144.95930094626365,"-37.80219933207128, 144.95930094626365"
70826,Garden Bed,University Square,-37.80059955173164,144.96088161310809,"-37.80059955173164, 144.96088161310809"
70827,University Square Tree SMP,University Square,-37.80153653870164,144.9607714178364,"-37.80153653870164, 144.9607714178364"
72758,Royal Parade South,,-37.79632980937252,144.9583068956953,"-37.79632980937252, 144.9583068956953"
75500,Natures Play,Royal Park,-37.795338542639,144.95093324591195,"-37.795338542639, 144.95093324591195"
75501,Royal Park Unirrigated trees SM,Royal Park,-37.78916462326539,144.9518077356101,"-37.78916462326539, 144.9518077356101"
75503,Speakers Corner,Birrarung Marr,-37.81997477965445,144.97563823911935,"-37.81997477965445, 144.97563823911935"
75507,Bandstand,Fitzroy Gardens,-37.811944247241186,144.98112587268574,"-37.811944247241186, 144.98112587268574"
75508,Conservatory,Fitzroy Gardens,-37.81473616338119,144.97905500662128,"-37.81473616338119, 144.97905500662128"
88403,Royal Parade CSIRO,,-37.78611985502805,144.95901214903452,"-37.78611985502805, 144.95901214903452"
101032,Princess bridge NW p01,,-37.81886786690239,144.96797525335757,"-37.81886786690239, 144.96797525335757"
101035,Princess bridge West p06,,-37.81934619998584,144.96822599998345,"-37.81934619998584, 144.96822599998345"
101037,Princess bridge NE p11,,-37.81881082805113,144.968165187284,"-37.81881082805113, 144.968165187284"
101038,Princess bridge East p06,,-37.81933689998582,144.96842029998393,"-37.81933689998582, 144.96842029998393"
193881,Block 1,,-37.8238673088212,144.92548478778536,"-37.8238673088212, 144.92548478778536"
