Geo Point,Geo Shape,segid_1,mapbase_mc,insol_scor,verticalsu,segid,driveways,parklane,objectid,climate_ty,narrowing,closepart,farmlane,walls,farm_rank,vert_rank,fores_rank,forest,park_rank,binsperct,mapbase__1,wsud
"-37.81531786344816, 144.96412508085777","{""coordinates"": [[[[144.9640250799023, -37.81516443319137], [144.964079857651, -37.81515072722744], [144.96422474569974, -37.81547008667004], [144.96417049632146, -37.8154856402325], [144.9640250799023, -37.81516443319137]]]], ""type"": ""MultiPolygon""}",20313,20313.0,2.019352,0.0,20313,0,56.192527,81,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Highest potential,100.0,Balcombe Place,Consider
"-37.81524339834998, 144.96455112659987","{""coordinates"": [[[[144.96444136186966, -37.81504426453863], [144.9644784958508, -37.81503353184603], [144.96466049252342, -37.815441286080016], [144.9646226721352, -37.815452105190275], [144.9645208236768, -37.815222084848365], [144.96444136186966, -37.81504426453863]]]], ""type"": ""MultiPolygon""}",20315,20315.0,1.484406,63.797951,20315,2,0.0,83,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Highest potential,Highest potential,51.792373,Lowest potential,20.0,Dame Edna Place,Consider
"-37.81496076902029, 144.9655933228601","{""coordinates"": [[[[144.96534400561222, -37.81508646829209], [144.96532189848858, -37.81504899207408], [144.9654712538091, -37.81500871742222], [144.96564525312704, -37.81495832189936], [144.96567314206388, -37.81494408663503], [144.9656903425885, -37.81492927829473], [144.96563378206318, -37.81480017727995], [144.96568209566377, -37.814785892069594], [144.96570927346866, -37.81484597441605], [144.96572566202508, -37.81484112896254], [144.9657548532633, -37.814905663649164], [144.96575366940246, -37.8149084846046], [144.9657516996672, -37.814909063374444], [144.9657332641428, -37.81496054357452], [144.9657428098213, -37.814980026101324], [144.96573316505786, -37.81497851221513], [144.96573166863328, -37.81497827728919], [144.9656461252988, -37.81500215124789], [144.96534400561222, -37.81508646829209]]]], ""type"": ""MultiPolygon""}",20318,20318.0,1.700886,0.0,20318,0,58.459226,86,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Highest potential,80.0,Presgrave Place,Consider
"-37.81283231518697, 144.96485753421675","{""coordinates"": [[[[144.96477203481473, -37.81271330485941], [144.96482777434596, -37.812697223421694], [144.96494264511955, -37.81295343150805], [144.96488939589693, -37.81296903876358], [144.96477203481473, -37.81271330485941]]]], ""type"": ""MultiPolygon""}",20324,20324.0,1.811053,0.0,20324,2,0.0,91,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Highest potential,56.220062,Lowest potential,0.0,Louden Place,Consider
"-37.8122331277934, 144.96450529272983","{""coordinates"": [[[[144.96473460370825, -37.81261569401766], [144.96473996914614, -37.812627051460794], [144.96468644923476, -37.812641851000606], [144.96468107045237, -37.81263006977163], [144.9646427733673, -37.812641424078905], [144.9642726195114, -37.811841553039045], [144.96431535256843, -37.811829142757965], [144.964360801962, -37.81181336846813], [144.96473460370825, -37.81261569401766]]]], ""type"": ""MultiPolygon""}",20326,20326.0,5.749005,49.691271,20326,4,0.0,93,Sunny-Exposed,Consider,Probably Unsuitable,47.721427,Consider,Highest Potential,Good potential,Good potential,40.326613,Lowest potential,40.0,Caledonian Lane,Consider
"-37.81120874607432, 144.96385829677484","{""coordinates"": [[[[144.96402140452648, -37.811118535043754], [144.96406113913, -37.811191281032684], [144.96369204096086, -37.81129901372957], [144.96365631941748, -37.81122657132692], [144.96402140452648, -37.811118535043754]]]], ""type"": ""MultiPolygon""}",20332,20332.0,1.252588,0.0,20332,1,0.0,97,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Highest potential,65.12181,Lowest potential,0.0,Drewery Place,Consider
"-37.810511430101, 144.96354768190554","{""coordinates"": [[[[144.96351998616328, -37.810507266497254], [144.9635041617523, -37.810472429099036], [144.96343303252988, -37.810316122676134], [144.9634789314643, -37.810302976209805], [144.9636622731298, -37.81070704519702], [144.96361679756626, -37.810720401818024], [144.96351998616328, -37.810507266497254]]]], ""type"": ""MultiPolygon""}",20334,20334.0,1.656083,53.68132,20334,0,0.0,99,Shaded-Sheltered,Probably Unsuitable,Probably Unsuitable,0.0,Consider,Lowest potential,Good potential,Lowest potential,0.0,Lowest potential,20.0,Knox Lane,Probably Unsuitable
"-37.811082793916796, 144.96080159509805","{""coordinates"": [[[[144.9610148343979, -37.81148570337285], [144.9609632805368, -37.81150076236258], [144.96086708605532, -37.81129273990233], [144.96085241615913, -37.811259908348646], [144.96078090658608, -37.81110191762195], [144.96075970151426, -37.81106055589685], [144.96068707316445, -37.810901130891516], [144.96067385915006, -37.81086823441201], [144.9605890068033, -37.81068783454516], [144.96064351273273, -37.810671151553336], [144.96074831789846, -37.81089879503046], [144.9607611923894, -37.81092462941434], [144.96092054081674, -37.811277119995665], [144.9610148343979, -37.81148570337285]]]], ""type"": ""MultiPolygon""}",20337,20337.0,2.935355,68.253271,20337,0,64.628565,100,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Consider,Lowest potential,Highest potential,Lowest potential,0.0,Highest potential,0.0,Sutherland Street,Consider
"-37.81364143485823, 144.95967769583882","{""coordinates"": [[[[144.9594937247101, -37.81322886971476], [144.9596751278884, -37.81362060182667], [144.95969551488474, -37.813614565753845], [144.9598968936008, -37.814035912929356], [144.9598615293323, -37.81404544743682], [144.9597329675105, -37.813776070922906], [144.95969933253159, -37.81370980143637], [144.95969179209453, -37.81370811264575], [144.95968624528842, -37.8137097224572], [144.95968474105268, -37.81370651344058], [144.95967447640385, -37.813704214209665], [144.959459672072, -37.8132387188169], [144.9594937247101, -37.81322886971476]]]], ""type"": ""MultiPolygon""}",20344,20344.0,1.725799,56.100006,20344,2,50.053766,106,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Consider,Lowest potential,Highest potential,Lowest potential,0.0,Good potential,60.0,Barry Lane,Consider
"-37.81479726899315, 144.96010852358677","{""coordinates"": [[[[144.96016989022522, -37.81497291389148], [144.96012301625964, -37.8148695742282], [144.960116497993, -37.814871436680356], [144.9600066614753, -37.81462928675792], [144.96004720076883, -37.81461746456666], [144.9601384144542, -37.81481888673377], [144.96016497928207, -37.81485757750329], [144.96021178685095, -37.81496093762861], [144.96016989022522, -37.81497291389148]]]], ""type"": ""MultiPolygon""}",20345,20345.0,2.500188,0.0,20345,2,0.0,107,Shaded-Sheltered,Probably Unsuitable,Probably Unsuitable,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Lowest potential,40.0,Benjamin Lane,Consider
"-37.814683887787545, 144.9588906580676","{""coordinates"": [[[[144.95881015533578, -37.81445960475534], [144.95894468882062, -37.81475360401282], [144.9589939447479, -37.81476140587656], [144.95903568903628, -37.8148491667576], [144.9589410054926, -37.81487619911636], [144.95875624084866, -37.81447535988216], [144.9587508995529, -37.814463773698215], [144.95880498773352, -37.81444831086201], [144.95881015533578, -37.81445960475534]]]], ""type"": ""MultiPolygon""}",20349,20349.0,1.969904,54.858946,20349,1,0.0,111,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Good potential,Highest potential,50.009683,Lowest potential,20.0,Thomson Street,Probably Unsuitable
"-37.81497705914173, 144.95845989409705","{""coordinates"": [[[[144.95869634751872, -37.81539852891349], [144.9586419680084, -37.815415097787344], [144.9585735304708, -37.815267360385285], [144.95854810274943, -37.81524011678213], [144.95845286924433, -37.81503453510946], [144.9584294943664, -37.814984075856394], [144.95832546634736, -37.8147595079373], [144.9582145493385, -37.814791795949475], [144.9582022007595, -37.81476564329721], [144.95831343964457, -37.81473354561825], [144.95825424444203, -37.81460575809304], [144.95832197628926, -37.81458639476815], [144.9583274590111, -37.81459828802012], [144.95869634751872, -37.81539852891349]]]], ""type"": ""MultiPolygon""}",20350,20350.0,2.991574,66.664817,20350,2,62.993601,112,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Consider,Lowest potential,Highest potential,Lowest potential,0.0,Highest potential,20.0,Little William Street,Consider
