material,pipe_count,avg_risk_score,total_expected_loss,avg_failure_prob
asbestos_cement,287,63.44,30752523.0,0.63
cast_iron,933,59.95,64941410.0,0.6
clay,256,58.38,13441340.0,0.58
galvanized_steel,274,58.2,17183762.0,0.58
steel,518,54.41,30025599.0,0.54
concrete,414,54.09,18899669.0,0.54
hdpe,322,52.36,9417030.0,0.52
ductile_iron,780,51.85,40000796.0,0.52
pvc,974,51.62,31002227.0,0.52
copper,242,50.45,14089606.0,0.5
