Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup, Incidents Recorded ," Rate per 100,000 population "
2021,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 43,631 ", 666.3 
2021,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 14,289 ", 218.2 
2021,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 7,000 ", 106.9 
2021,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 5,195 ", 79.3 
2021,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 8 , 0.1 
2021,December,B Property and deception offences,B40 Theft,B49 Other theft," 30,265 ", 462.2 
2021,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 1,780 ", 27.2 
2021,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 6 , 0.1 
2021,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 15,561 ", 237.7 
2021,December,B Property and deception offences,B50 Deception,B54 State false information, 566 , 8.6 
2021,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 5 , 0.1 
2021,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 71 , 1.1 
2021,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 178 , 2.7 
2021,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 3 , 0.0 
2021,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 27 , 0.4 
2021,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 2,547 ", 38.9 
2021,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 954 , 14.6 
2021,December,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs, 1 , 0.0 
2021,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 525 , 8.0 
2021,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 147 , 2.2 
2021,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 9,500 ", 145.1 
2021,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 10 , 0.2 
2021,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 2,450 ", 37.4 
2021,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 5,812 ", 88.8 
2021,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 195 , 3.0 
2021,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 544 , 8.3 
2021,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 3,068 ", 46.9 
2021,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 1,489 ", 22.7 
2021,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 318 , 4.9 
2021,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 290 , 4.4 
2021,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 155 , 2.4 
2021,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 71 , 1.1 
2021,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 93 , 1.4 
2021,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 15 , 0.2 
2021,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,673 ", 25.6 
2021,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 44 , 0.7 
2021,December,D Public order and security offences,D40 Public security offences,D41 Immigration offences, 1 , 0.0 
2021,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 12 , 0.2 
2021,December,D Public order and security offences,D40 Public security offences,D44 Terrorism offences, 6 , 0.1 
2021,December,D Public order and security offences,D40 Public security offences,D49 Other public security offences, 1 , 0.0 
2021,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 63 , 1.0 
2021,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 5,850 ", 89.3 
2021,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 474 , 7.2 
2021,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 392 , 6.0 
2021,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences, 898 , 13.7 
2021,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 23,898 ", 365.0 
2021,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 2,534 ", 38.7 
2021,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 16,151 ", 246.7 
2021,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders, 953 , 14.6 
2021,December,F Other offences,F10 Regulatory driving offences,F11 Drink driving, 1 , 0.0 
2021,December,F Other offences,F10 Regulatory driving offences,F12 Drug driving, 1 , 0.0 
2021,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 15 , 0.2 
2021,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 42 , 0.6 
2021,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 5 , 0.1 
2021,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 84 , 1.3 
2021,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 1 , 0.0 
2021,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 27 , 0.4 
2021,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 16 , 0.2 
2021,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 17 , 0.3 
2021,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 45 , 0.7 
2021,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 2 , 0.0 
2021,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 11 , 0.2 
2021,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 44 , 0.7 
2021,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 25 , 0.4 
2021,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences," 10,160 ", 155.2 
2021,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 120 , 1.8 
2021,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 7 , 0.1 
2021,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 33 , 0.5 
2020,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 58 , 0.9 
2020,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 17 , 0.3 
2020,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 25 , 0.4 
2020,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 80 , 1.2 
2020,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,882 ", 119.2 
2020,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 7,870 ", 119.0 
2020,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 2,226 ", 33.7 
2020,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 14,022 ", 212.0 
2020,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 9,378 ", 141.8 
2020,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 3,191 ", 48.2 
2020,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 3,458 ", 52.3 
2020,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 268 , 4.1 
2020,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 887 , 13.4 
2020,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 557 , 8.4 
2020,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 114 , 1.7 
2020,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 318 , 4.8 
2020,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 1,899 ", 28.7 
2020,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 275 , 4.2 
2020,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 99 , 1.5 
2020,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 68 , 1.0 
2020,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking," 1,178 ", 17.8 
2020,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 875 , 13.2 
2020,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 669 , 10.1 
2020,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 622 , 9.4 
2020,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 2,414 ", 36.5 
2020,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,983 ", 30.0 
2020,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving," 1,051 ", 15.9 
2020,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 28 , 0.4 
2020,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 859 , 13.0 
2020,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 2,234 ", 33.8 
2020,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 1,690 ", 25.5 
2020,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 77 , 1.2 
2020,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 293 , 4.4 
2020,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 29,251 ", 442.2 
2020,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 2,807 ", 42.4 
2020,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 307 , 4.6 
2020,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 3,171 ", 47.9 
2020,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 94 , 1.4 
2020,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 6 , 0.1 
2020,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 17,638 ", 266.6 
2020,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 9,591 ", 145.0 
2020,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 63 , 1.0 
2020,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 12,270 ", 185.5 
2020,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 46,754 ", 706.8 
2020,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 14,596 ", 220.6 
2020,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 6,953 ", 105.1 
2020,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 6,911 ", 104.5 
2020,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 10 , 0.2 
2020,December,B Property and deception offences,B40 Theft,B49 Other theft," 33,145 ", 501.1 
2020,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 2,321 ", 35.1 
2020,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 5 , 0.1 
2020,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 18,458 ", 279.0 
2020,December,B Property and deception offences,B50 Deception,B54 State false information, 841 , 12.7 
2020,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 9 , 0.1 
2020,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 56 , 0.8 
2020,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 147 , 2.2 
2020,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 3 , 0.0 
2020,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 54 , 0.8 
2020,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 3,484 ", 52.7 
2020,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 918 , 13.9 
2020,December,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs, 1 , 0.0 
2020,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 620 , 9.4 
2020,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 263 , 4.0 
2020,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 13,446 ", 203.3 
2020,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 3 , 0.0 
2020,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 2,338 ", 35.3 
2020,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 7,238 ", 109.4 
2020,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 192 , 2.9 
2020,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 431 , 6.5 
2020,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 4,076 ", 61.6 
2020,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 1,658 ", 25.1 
2020,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 479 , 7.2 
2020,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 413 , 6.2 
2020,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 176 , 2.7 
2020,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 63 , 1.0 
2020,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 88 , 1.3 
2020,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 106 , 1.6 
2020,December,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel, 3 , 0.0 
2020,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,797 ", 27.2 
2020,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 73 , 1.1 
2020,December,D Public order and security offences,D40 Public security offences,D42 Sabotage, 1 , 0.0 
2020,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 30 , 0.5 
2020,December,D Public order and security offences,D40 Public security offences,D44 Terrorism offences, 4 , 0.1 
2020,December,D Public order and security offences,D40 Public security offences,D49 Other public security offences, 3 , 0.0 
2020,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 87 , 1.3 
2020,December,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear, 2 , 0.0 
2020,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 6,693 ", 101.2 
2020,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 513 , 7.8 
2020,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 491 , 7.4 
2020,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences," 1,069 ", 16.2 
2020,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 24,402 ", 368.9 
2020,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 2,676 ", 40.5 
2020,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 17,558 ", 265.4 
2020,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders," 1,452 ", 21.9 
2020,December,F Other offences,F10 Regulatory driving offences,F12 Drug driving, 1 , 0.0 
2020,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 7 , 0.1 
2020,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 60 , 0.9 
2020,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 4 , 0.1 
2020,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 65 , 1.0 
2020,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 4 , 0.1 
2020,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 32 , 0.5 
2020,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 13 , 0.2 
2020,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 27 , 0.4 
2020,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 69 , 1.0 
2020,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 7 , 0.1 
2020,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 15 , 0.2 
2020,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 54 , 0.8 
2020,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 19 , 0.3 
2020,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences," 36,712 ", 555.0 
2020,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 137 , 2.1 
2020,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 9 , 0.1 
2020,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 26 , 0.4 
2019,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 57 , 0.9 
2019,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 28 , 0.4 
2019,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 21 , 0.3 
2019,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 93 , 1.4 
2019,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,985 ", 122.1 
2019,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 8,680 ", 132.8 
2019,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,915 ", 29.3 
2019,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 13,320 ", 203.8 
2019,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 9,909 ", 151.6 
2019,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 3,182 ", 48.7 
2019,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 3,681 ", 56.3 
2019,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 224 , 3.4 
2019,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 731 , 11.2 
2019,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 454 , 6.9 
2019,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 128 , 2.0 
2019,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 308 , 4.7 
2019,December,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences, 2 , 0.0 
2019,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 2,758 ", 42.2 
2019,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 397 , 6.1 
2019,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 108 , 1.7 
2019,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 50 , 0.8 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking," 1,084 ", 16.6 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 795 , 12.2 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 661 , 10.1 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 563 , 8.6 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 2,326 ", 35.6 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,998 ", 30.6 
2019,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 834 , 12.8 
2019,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 34 , 0.5 
2019,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 829 , 12.7 
2019,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 2,157 ", 33.0 
2019,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 2,161 ", 33.1 
2019,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 63 , 1.0 
2019,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 555 , 8.5 
2019,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 31,930 ", 488.4 
2019,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 2,776 ", 42.5 
2019,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 300 , 4.6 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 3,455 ", 52.9 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 96 , 1.5 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 1 , 0.0 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 23,059 ", 352.7 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 12,342 ", 188.8 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 77 , 1.2 
2019,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 14,794 ", 226.3 
2019,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 55,003 ", 841.4 
2019,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 20,536 ", 314.1 
2019,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 7,361 ", 112.6 
2019,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 7,506 ", 114.8 
2019,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 23 , 0.4 
2019,December,B Property and deception offences,B40 Theft,B49 Other theft," 41,352 ", 632.6 
2019,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 2,494 ", 38.2 
2019,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 3 , 0.0 
2019,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 19,098 ", 292.1 
2019,December,B Property and deception offences,B50 Deception,B54 State false information, 793 , 12.1 
2019,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 5 , 0.1 
2019,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 63 , 1.0 
2019,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 122 , 1.9 
2019,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 4 , 0.1 
2019,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 43 , 0.7 
2019,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 3,059 ", 46.8 
2019,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 902 , 13.8 
2019,December,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs, 2 , 0.0 
2019,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 267 , 4.1 
2019,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 310 , 4.7 
2019,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 12,153 ", 185.9 
2019,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 4 , 0.1 
2019,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 2,203 ", 33.7 
2019,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 7,218 ", 110.4 
2019,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 175 , 2.7 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 489 , 7.5 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 6,437 ", 98.5 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 2,282 ", 34.9 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 540 , 8.3 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 471 , 7.2 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 241 , 3.7 
2019,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 53 , 0.8 
2019,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 127 , 1.9 
2019,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 184 , 2.8 
2019,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,641 ", 25.1 
2019,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 87 , 1.3 
2019,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 37 , 0.6 
2019,December,D Public order and security offences,D40 Public security offences,D44 Terrorism offences, 1 , 0.0 
2019,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 75 , 1.1 
2019,December,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear, 2 , 0.0 
2019,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 5,734 ", 87.7 
2019,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 513 , 7.8 
2019,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 535 , 8.2 
2019,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences," 1,058 ", 16.2 
2019,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 21,527 ", 329.3 
2019,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 2,411 ", 36.9 
2019,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 17,833 ", 272.8 
2019,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders," 1,573 ", 24.1 
2019,December,F Other offences,F10 Regulatory driving offences,F11 Drink driving, 5 , 0.1 
2019,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 11 , 0.2 
2019,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 84 , 1.3 
2019,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 3 , 0.0 
2019,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 84 , 1.3 
2019,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 7 , 0.1 
2019,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 45 , 0.7 
2019,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 33 , 0.5 
2019,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 28 , 0.4 
2019,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 61 , 0.9 
2019,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 5 , 0.1 
2019,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 14 , 0.2 
2019,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 38 , 0.6 
2019,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 30 , 0.5 
