datetime,Total_Traffic_Volume,hour,day_of_week,month,year,road_name_encoded,location_encoded,suburb_encoded,average_speed,maximum_speed,Speeding_Incident,Speeding_Incident_Avg_Speed,scaled_traffic_volume
2014-01-06 00:00:00,18.292178857593125,0,Monday,1,2014,80,8,8,24.9,46.91879065285473,False,False,0.0058835119495548645
2014-01-06 00:00:00,18.292178857593125,0,Monday,1,2014,80,8,8,30.6,46.91879065285473,False,False,0.0058835119495548645
2014-01-06 01:00:00,24.29217885759312,1,Monday,1,2014,80,8,8,34.4,46.91879065285473,False,False,0.008724047458339507
2014-01-06 01:00:00,20.292178857593125,1,Monday,1,2014,80,8,8,29.6,46.91879065285473,False,False,0.006830357119149746
2014-01-06 02:00:00,15.292178857593123,2,Monday,1,2014,80,8,8,26.7,46.91879065285473,False,False,0.004463244195162542
2014-01-06 02:00:00,12.292178857593129,2,Monday,1,2014,80,8,8,25.8,46.91879065285473,False,False,0.0030429764407702226
2014-01-06 03:00:00,14.292178857593123,3,Monday,1,2014,80,8,8,35.5,46.91879065285473,False,False,0.0039898216103651015
2014-01-06 03:00:00,13.292178857593123,3,Monday,1,2014,80,8,8,36.1,46.91879065285473,False,False,0.0035163990255676607
2014-01-06 04:00:00,14.292178857593123,4,Monday,1,2014,80,8,8,31.5,46.91879065285473,False,False,0.0039898216103651015
2014-01-06 04:00:00,11.292178857593129,4,Monday,1,2014,80,8,8,32.7,46.91879065285473,False,False,0.002569553855972782
2014-01-06 05:00:00,11.292178857593129,5,Monday,1,2014,80,8,8,27.9,46.91879065285473,False,False,0.002569553855972782
2014-01-06 05:00:00,11.292178857593129,5,Monday,1,2014,80,8,8,31.2,46.91879065285473,False,False,0.002569553855972782
2014-01-06 06:00:00,13.292178857593123,6,Monday,1,2014,80,8,8,35.5,46.91879065285473,False,False,0.0035163990255676607
2014-01-06 06:00:00,12.292178857593129,6,Monday,1,2014,80,8,8,37.0,46.91879065285473,False,False,0.0030429764407702226
2014-01-06 07:00:00,19.292178857593125,7,Monday,1,2014,80,8,8,35.2,46.91879065285473,False,False,0.006356934534352305
2014-01-06 07:00:00,11.292178857593129,7,Monday,1,2014,80,8,8,29.4,46.91879065285473,False,False,0.002569553855972782
2014-01-06 08:00:00,31.9056729297924,8,Monday,1,2014,80,8,8,29.2,46.91879065285473,False,False,0.012328447501340082
2014-01-06 08:00:00,23.29217885759312,8,Monday,1,2014,80,8,8,29.1,46.91879065285473,False,False,0.008250624873542067
2014-01-06 09:00:00,29.81167732568957,9,Monday,1,2014,80,8,8,32.1,46.91879065285473,False,False,0.011337102689891241
2014-01-06 09:00:00,23.198183253490285,9,Monday,1,2014,80,8,8,32.8,46.91879065285473,False,False,0.008206125231688104
2014-01-06 10:00:00,46.292178857593136,10,Monday,1,2014,80,8,8,26.0,46.91879065285473,False,False,0.019139344323883208
2014-01-06 10:00:00,46.15688846196239,10,Monday,1,2014,80,8,8,28.5,46.91879065285473,False,False,0.019075294795085435
2014-01-06 11:00:00,49.292178857593136,11,Monday,1,2014,80,8,8,29.8,46.91879065285473,False,False,0.02055961207827553
2014-01-06 11:00:00,40.292178857593136,11,Monday,1,2014,80,8,8,30.1,46.91879065285473,False,False,0.016298808815098563
2014-01-06 12:00:00,33.9056729297924,12,Monday,1,2014,80,8,8,30.0,46.91879065285473,False,False,0.013275292670934963
2014-01-06 12:00:00,42.292178857593136,12,Monday,1,2014,80,8,8,29.9,46.91879065285473,False,False,0.017245653984693445
2014-01-06 13:00:00,33.29217885759312,13,Monday,1,2014,80,8,8,32.6,46.91879065285473,False,False,0.012984850721516472
2014-01-06 13:00:00,29.29217885759312,13,Monday,1,2014,80,8,8,29.7,46.91879065285473,False,False,0.01109116038232671
2014-01-06 14:00:00,25.29217885759312,14,Monday,1,2014,80,8,8,33.9,46.91879065285473,False,False,0.009197470043136948
2014-01-06 14:00:00,35.90567292979241,14,Monday,1,2014,80,8,8,29.1,46.91879065285473,False,False,0.014222137840529848
2014-01-06 15:00:00,36.29217885759313,15,Monday,1,2014,80,8,8,28.9,46.91879065285473,False,False,0.014405118475908798
