Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total floor space in block
2006,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,567,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,911,Parkville,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2022,912,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,914,Parkville,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2022,918,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,920,Parkville,0,0,0,0,,0,0,0,0,1277.77,213605.31,0,0,,0,0,0,452.42,,0,302867.44
2022,922,Parkville,1100.79,0,0,,0,0,0,,0,0,0,0,0,1277.1,0,0,0,0,0,0,16028.9
2022,923,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,925,Parkville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,926,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,931,Parkville,,0,0,1819620.85,0,0,,265.37,,2626.68,109620.78,,0,47245.73,,0,0,1252.27,,0,1990309.98
2022,1004,West Melbourne (Industrial),0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,113912,0,118527.85
2022,1005,West Melbourne (Industrial),0,0,0,,0,,0,,0,,0,0,,,0,,0,0,56631.84,0,106429.24
2022,1014,West Melbourne (Industrial),0,,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,6656.12,10228.19
2022,1015,West Melbourne (Industrial),0,,0,,,787.96,0,,0,0,0,0,0,2510.7,0,0,0,,,,7419.56
2022,1101,Docklands,,,,1497.88,,0,0,44748.45,,4717.95,185.87,18819.02,,43301.31,135421.76,372.6,213.34,21782.46,48588.48,,349393.28
2022,1107,Docklands,0,0,0,5489.6,0,0,,,0,,0,0,0,0,,0,0,0,0,0,26087.52
2022,1109,Docklands,33676.54,690.86,,38944.1,4889.6,538.4,913.87,0,836.34,5887.47,233.07,614.93,445.95,11880.19,,1777.18,,1485.21,1729.83,291.74,105157.18
2022,1110,Docklands,,0,0,12500.69,6788.65,,11763.77,,,6308.56,2609.68,,,96080.24,0,827.02,0,29285.27,0,0,204042.72
