road_name,location,suburb,speed_limit,average_speed,85th_percentile_speed,maximum_speed,road_segment,datetime,hour,day_of_week,week,year,road_name_encoded,location_encoded,suburb_encoded,Total_Traffic_Volume,month,month_name,day_type,Speeding_Incident,time_of_day
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,21.5,23.0,46.91879065285473,20780,2015-04-21 20:00:00,20,1,17,2015,84,26,0,15.292178857593125,4,April,Weekday,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,32.298564176939806,37.90016679055095,46.91879065285473,20780,2015-04-22 05:00:00,5,2,17,2015,84,26,0,96.46956329878134,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,20.7,26.0,46.91879065285473,20780,2015-04-22 11:00:00,11,2,17,2015,84,26,0,22.29217885759312,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,23.9,30.0,46.91879065285473,20780,2015-04-22 13:00:00,13,2,17,2015,84,26,0,20.292178857593125,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,16.1,20.4,46.91879065285473,20780,2015-04-22 14:00:00,14,2,17,2015,84,26,0,14.15688846196238,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,32.0,37.6,46.91879065285473,20780,2015-04-16 05:00:00,5,3,16,2015,84,26,0,17.292178857593125,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,27.5,33.8,46.91879065285473,20780,2015-04-16 07:00:00,7,3,16,2015,84,26,0,35.29217885759312,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.2,39.0,46.91879065285473,20780,2015-04-16 10:00:00,10,3,16,2015,84,26,0,60.1981832534903,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,30.9,36.6,46.91879065285473,20780,2015-04-16 11:00:00,11,3,16,2015,84,26,0,44.1981832534903,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.2,40.2,46.91879065285473,20780,2015-04-16 12:00:00,12,3,16,2015,84,26,0,42.292178857593136,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,34.3,43.3,46.91879065285473,20780,2015-04-16 13:00:00,13,3,16,2015,84,26,0,38.683796680958,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.7,41.7,46.91879065285473,20780,2015-04-16 17:00:00,17,3,16,2015,84,26,0,51.292178857593136,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,30.1,36.0,46.91879065285473,20780,2015-04-16 20:00:00,20,3,16,2015,84,26,0,30.29217885759312,4,April,Weekday,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,28.2,31.3,46.91879065285473,20780,2015-04-17 00:00:00,0,4,16,2015,84,26,0,13.292178857593125,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.5,31.0,46.91879065285473,20780,2015-04-17 01:00:00,1,4,16,2015,84,26,0,11.292178857593127,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,34.3,46.0,46.91879065285473,20780,2015-04-17 06:00:00,6,4,16,2015,84,26,0,29.156888461962378,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.2,39.0,46.91879065285473,20780,2015-04-17 12:00:00,12,4,16,2015,84,26,0,49.292178857593136,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,29.9,40.6,46.91879065285473,20780,2015-04-17 14:00:00,14,4,16,2015,84,26,0,40.1981832534903,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,37.5,47.1,46.91879065285473,20780,2015-04-17 16:00:00,16,4,16,2015,84,26,0,32.198183253490285,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.8,39.4,46.91879065285473,20780,2015-04-17 17:00:00,17,4,16,2015,84,26,0,37.1981832534903,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,26.6,29.4,46.91879065285473,20780,2015-04-18 02:00:00,2,5,16,2015,84,26,0,13.292178857593125,4,April,Weekend,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.2,36.5,46.91879065285473,20780,2015-04-18 05:00:00,5,5,16,2015,84,26,0,15.292178857593125,4,April,Weekend,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.5,41.0,46.91879065285473,20780,2015-04-18 11:00:00,11,5,16,2015,84,26,0,52.1981832534903,4,April,Weekend,False,Morning
