"DateTime","Melbourne","Regional VIC"
"March 2014",7295431,12114605
"June 2014",7539486,12337100
"September 2014",7568401,12675469
"December 2014",7802562,12671264
"March 2015",8021183,12692265
"June 2015",7941698,12829745
"September 2015",8007895,13164055
"December 2015",8080028,13323549
"March 2016",8045356,13777044
"June 2016",8200180,13634963
"September 2016",8476064,13584528
"December 2016",8630323,13955495
"March 2017",8752662,14577436
"June 2017",8746140,15323066
"September 2017",8962325,15981940
"December 2017",9460854,16537414
"March 2018",9459822,16172498
"June 2018",9825167,16459701
"September 2018",10064220,16772562
"December 2018",10046068,16873164
"March 2019",10750015,17778275
"June 2019",11045225,18724777
"September 2019",11258208,18928178
"December 2019",11435398,19051220
"March 2020",10825706,18204817
"June 2020",8412612,14828732
"September 2020",5747741,11851519
"December 2020",3543139,10704427
"March 2021",2593347,10994475
"June 2021",3768841,13194463
"September 2021",4040786,13676156
"December 2021",4361704,13965932
"March 2022",4647179,13896875
"June 2022",5400025,14894002
"September 2022",7219067,17550463
"December 2022",8556485,18287297
"March 2023",9419538,18851903
"June 2023",9829835,18719466
"September 2023",10084297,18596982
"December 2023",10257111,18890840
"March 2024",10365636,18942119
