lastupdated,status_timestamp,zone_number,status_description,parkingbay_id,datetime
2023-08-13T03:16:36+00:00,2023-08-12T20:24:18+00:00,7562.0,Present,5592,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T20:44:35+00:00,7567.0,Present,5640,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T16:30:24+00:00,7567.0,Unoccupied,5632,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:26:06+00:00,7567.0,Present,5630,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:40:42+00:00,7567.0,Present,5628,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:53:28+00:00,7566.0,Present,5582,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:51:54+00:00,7566.0,Present,5577,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:43:07+00:00,7566.0,Present,5607,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:43:54+00:00,7566.0,Present,5605,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:32:40+00:00,7566.0,Present,5591,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:15:09+00:00,7566.0,Present,5658,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:00:28+00:00,7566.0,Present,5657,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T21:34:19+00:00,7566.0,Present,5653,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T09:41:05+00:00,7566.0,Present,5652,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T15:52:43+00:00,7566.0,Present,5659,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T21:29:35+00:00,7566.0,Present,5650,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T21:16:51+00:00,7566.0,Present,5649,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T21:28:40+00:00,7566.0,Present,5648,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:17:03+00:00,,Present,5482,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T14:00:18+00:00,7224.0,Present,5840,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T11:55:44+00:00,7224.0,Present,5795,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T19:57:45+00:00,7224.0,Present,5799,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T05:42:21+00:00,,Unoccupied,7506,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:37:15+00:00,7448.0,Unoccupied,7508,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:49:57+00:00,7448.0,Present,7510,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:17:45+00:00,,Present,7512,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:52:59+00:00,7449.0,Present,7521,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-10T20:55:30+00:00,7448.0,Unoccupied,7524,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:02:04+00:00,7448.0,Present,7527,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:20:54+00:00,7449.0,Unoccupied,7529,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T06:35:45+00:00,7449.0,Unoccupied,7532,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T07:21:39+00:00,7449.0,Unoccupied,7535,2023-08-13 13:17:40
