,block_id,retail,business,leisure,education,healthcare,manufacture,public_service,farming,residence,non_residential
0,2,0,0,3,0,0,0,1,0,0,4
1,15,35,42,75,9,7,22,76,1,0,267
2,17,11,35,34,1,0,4,11,0,0,96
3,21,1,15,18,0,2,4,19,0,0,59
4,25,74,39,34,20,13,16,53,0,0,249
5,26,15,24,11,0,5,2,8,2,0,67
6,33,7,121,41,12,9,5,27,2,0,224
7,36,16,10,14,0,2,3,20,0,0,65
8,44,17,51,22,2,5,6,25,0,0,128
9,46,25,13,33,2,6,0,29,0,0,108
10,52,11,46,24,0,3,3,21,0,0,108
11,62,0,14,21,2,2,0,9,0,0,48
12,63,3,27,9,4,1,0,10,0,0,54
13,65,116,7,53,1,3,0,21,0,0,201
14,72,5,42,26,1,3,3,6,0,0,86
15,74,11,59,38,5,2,3,23,0,0,141
16,78,4,8,20,0,3,1,22,0,0,58
17,81,1,2,6,6,0,0,0,0,0,15
18,83,1,0,5,1,0,1,3,0,0,11
19,94,5,21,8,8,1,3,12,0,0,58
20,111,3,7,2,0,0,0,3,0,0,15
21,114,6,2,12,1,0,2,3,0,0,26
22,115,7,7,13,2,0,3,7,0,0,39
23,125,1,0,1,0,1,0,1,0,0,4
24,131,1,3,8,3,1,0,5,1,0,22
25,202,0,0,1,0,0,0,0,0,0,1
26,203,0,0,6,0,2,0,0,0,0,8
27,205,1,1,6,2,5,0,0,0,0,15
28,207,5,0,15,1,2,0,2,0,0,25
29,210,0,0,0,1,0,0,0,0,0,1
30,213,0,0,1,2,1,0,2,0,0,6
31,214,6,6,3,0,1,2,2,0,0,20
32,215,3,1,8,0,1,0,3,0,0,16
33,217,18,2,17,0,4,2,8,0,0,51
34,219,0,1,4,1,2,0,0,0,0,8
35,220,1,3,0,0,0,0,0,0,0,4
36,222,1,0,1,0,0,0,0,0,0,2
37,228,0,1,1,0,1,0,0,0,0,3
38,229,0,0,1,0,0,0,1,0,0,2
39,230,2,0,3,0,1,0,1,0,0,7
40,231,0,0,0,0,1,0,0,0,0,1
41,243,1,5,6,8,2,0,1,0,0,23
42,253,0,0,1,0,0,0,0,0,0,1
43,255,3,3,8,2,2,0,5,0,0,23
44,256,1,0,7,0,2,1,1,0,0,12
45,259,0,1,3,2,0,0,2,0,0,8
46,260,5,1,8,0,1,2,2,0,0,19
47,265,2,4,16,5,0,1,7,0,0,35
48,267,2,8,4,0,2,1,16,0,0,33
49,268,0,6,3,0,4,0,2,0,0,15
50,270,5,2,33,49,0,0,3,0,0,92
51,271,0,0,7,1,0,0,0,0,0,8
52,273,0,0,1,0,0,0,3,0,0,4
53,302,0,0,0,1,0,0,1,0,0,2
54,304,0,0,0,0,1,0,1,0,0,2
55,305,0,0,0,0,0,0,0,0,0,0
56,307,0,0,0,0,0,0,0,0,0,0
57,308,0,0,0,0,0,0,0,0,0,0
58,310,2,2,1,0,0,4,0,0,0,9
59,313,0,2,0,1,0,1,1,0,0,5
60,314,2,1,0,0,0,0,2,0,0,5
61,318,0,0,0,0,1,0,1,0,0,2
62,321,0,0,1,0,0,0,0,0,0,1
63,322,1,0,0,0,0,0,2,0,0,3
64,324,0,0,1,0,0,0,0,0,0,1
65,328,0,0,0,0,0,0,0,0,0,0
66,333,4,2,2,2,0,0,1,0,0,11
67,337,5,4,0,1,0,3,2,0,0,15
68,338,0,0,0,0,1,5,0,0,0,6
69,343,3,2,0,2,0,2,1,0,0,10
70,347,0,0,2,0,0,1,0,0,0,3
71,348,0,0,0,0,0,0,0,0,0,0
72,349,0,1,0,0,0,0,0,0,0,1
73,357,1,3,6,1,4,0,9,0,0,24
74,361,1,7,7,0,0,0,7,0,0,22
75,368,0,0,2,0,0,1,4,0,0,7
76,371,0,1,0,0,0,0,0,0,0,1
77,404,1,2,0,0,0,1,0,0,0,4
78,406,0,1,0,0,0,0,0,0,0,1
79,410,0,0,1,0,0,0,0,0,0,1
80,413,2,2,1,0,0,2,1,0,0,8
81,416,0,0,1,0,0,0,0,0,0,1
82,420,1,1,1,0,0,0,0,0,0,3
83,421,0,0,1,0,0,0,0,0,0,1
84,423,2,0,7,0,1,0,2,0,0,12
85,424,1,1,4,0,5,1,3,0,0,15
86,428,3,0,0,0,0,0,2,0,0,5
87,429,0,4,2,1,0,0,3,0,0,10
88,431,5,6,2,0,1,0,3,0,0,17
89,434,4,8,1,1,1,1,3,0,0,19
90,437,0,4,1,0,0,0,1,0,0,6
91,440,0,7,4,1,1,2,2,0,0,17
92,443,2,0,0,0,1,0,0,0,0,3
93,502,18,1,1,0,0,0,7,0,0,27
94,512,0,0,0,0,0,1,0,0,0,1
95,520,0,0,1,0,2,0,0,0,0,3
96,521,0,0,0,0,0,0,0,0,0,0
97,522,0,0,0,0,0,0,0,0,0,0
98,523,1,0,2,1,4,0,0,0,0,8
99,525,0,0,1,0,0,0,2,0,0,3
100,529,0,0,1,0,0,0,0,0,0,1
101,530,0,0,2,0,0,0,1,0,0,3
102,538,0,0,1,0,0,0,0,0,0,1
103,539,0,0,3,0,0,2,0,0,0,5
104,540,0,0,1,0,0,0,0,0,0,1
105,542,0,0,1,0,0,0,0,0,0,1
106,547,0,1,1,0,0,0,0,0,0,2
107,553,0,0,1,0,0,0,0,0,0,1
108,555,0,0,0,0,0,0,0,0,0,0
109,556,0,0,0,0,0,0,0,0,0,0
110,560,0,0,2,0,1,0,0,0,0,3
111,563,0,0,2,0,0,0,0,0,0,2
112,569,0,0,1,0,0,0,0,0,0,1
113,601,0,0,1,0,1,0,3,0,0,5
114,607,2,12,10,0,12,2,7,0,0,45
115,609,0,0,0,0,0,0,0,0,0,0
116,611,0,1,2,0,1,0,1,0,0,5
117,612,0,3,2,0,2,1,0,0,0,8
118,619,0,0,5,0,0,0,3,0,0,8
119,645,0,0,2,0,3,0,0,0,0,5
120,650,0,0,0,0,0,0,3,0,0,3
121,652,0,0,3,0,0,0,13,0,0,16
122,653,0,0,1,0,0,0,0,0,0,1
123,662,0,0,1,0,0,0,1,0,0,2
124,663,0,0,2,0,0,0,0,0,0,2
125,710,4,1,8,1,2,0,3,0,0,19
126,728,0,0,2,0,0,0,0,0,0,2
127,729,1,1,0,0,1,0,0,0,0,3
128,731,0,0,1,0,0,0,0,0,0,1
129,733,0,0,4,0,0,0,1,0,0,5
130,735,1,2,0,1,0,0,3,0,0,7
131,738,0,1,5,1,0,0,2,0,0,9
132,739,0,0,5,3,0,0,2,0,0,10
133,746,8,25,1,1,1,7,3,1,0,47
134,750,1,1,0,0,0,0,0,0,0,2
135,753,10,22,33,0,3,5,21,0,0,94
136,772,3,7,0,1,1,1,3,0,0,16
137,773,4,6,14,0,2,1,5,0,0,32
138,778,9,9,0,2,1,8,1,0,0,30
139,779,1,6,2,0,0,3,3,0,0,15
140,782,1,3,0,0,0,1,2,0,0,7
141,784,11,18,1,0,0,10,9,0,0,49
142,785,2,0,2,1,0,3,5,0,0,13
143,788,1,0,0,0,0,0,0,0,0,1
144,789,0,1,2,0,0,0,1,0,0,4
145,794,0,0,1,0,0,0,1,0,0,2
146,804,145,7,39,0,2,1,12,0,0,206
147,806,10,0,7,1,0,0,1,0,0,19
148,808,6,9,8,2,1,5,3,0,0,34
149,809,0,1,2,0,3,0,0,0,0,6
150,810,0,1,1,0,0,0,1,0,0,3
151,812,3,15,13,1,4,2,2,0,0,40
152,815,1,2,3,0,0,1,0,0,0,7
153,852,2,0,17,0,0,1,3,0,0,23
154,854,0,0,1,0,0,0,0,0,0,1
155,858,0,1,1,0,0,0,1,0,0,3
156,859,0,0,0,0,0,0,0,0,0,0
157,861,3,0,8,3,0,1,2,0,0,17
158,862,1,0,2,2,0,0,0,0,0,5
159,863,0,0,0,1,0,0,0,0,0,1
160,865,0,0,0,1,0,0,0,0,0,1
161,866,0,0,3,2,1,0,5,0,0,11
162,869,0,0,0,0,0,0,0,0,0,0
163,871,0,0,1,3,0,0,1,0,0,5
164,909,0,0,2,1,0,0,1,0,0,4
165,910,0,0,0,0,0,0,1,0,0,1
166,912,0,0,0,0,0,0,0,0,0,0
167,913,0,0,1,0,0,0,0,0,0,1
168,917,0,0,0,0,0,0,0,0,0,0
169,922,0,0,5,0,1,0,6,0,0,12
170,924,0,0,0,0,0,0,0,0,0,0
171,927,0,0,2,0,1,0,0,0,0,3
172,1006,0,1,2,0,0,0,10,0,0,13
173,1012,1,2,0,1,0,4,8,0,0,16
174,1015,2,2,1,0,0,4,6,0,0,15
175,1016,0,0,0,0,0,0,1,0,0,1
176,1106,0,0,0,0,0,0,0,0,0,0
177,1107,0,0,4,1,0,0,2,0,0,7
178,1108,7,73,65,0,12,5,31,0,0,193
179,1110,37,11,41,4,4,3,10,0,0,110
180,1112,1,1,5,0,0,0,1,0,0,8
181,2381,1,8,0,1,2,1,5,0,0,18
182,2385,5,0,2,1,2,0,3,0,0,13
183,2506,0,0,0,0,0,0,0,0,0,0
184,2512,0,0,1,0,0,0,0,0,0,1
185,2513,0,0,0,0,0,0,0,0,0,0
186,2514,0,0,0,0,0,0,0,0,0,0
187,2518,0,0,0,0,0,0,1,0,0,1
188,2523,0,0,4,0,1,0,0,0,0,5
189,2526,1,0,0,0,0,0,0,0,0,1
190,2531,2,0,0,0,0,0,1,0,0,3
191,2535,0,0,0,0,0,0,0,0,0,0
192,2542,0,0,0,0,0,0,0,0,0,0
193,2547,2,3,1,0,0,2,2,0,0,10
194,4,7,0,18,2,1,0,8,0,0,36
195,5,2,1,1,0,0,0,0,0,0,4
196,6,3,5,20,0,0,0,6,0,0,34
197,11,3,21,28,0,3,3,13,0,0,71
198,24,14,97,32,9,7,9,34,2,0,204
199,28,22,52,25,0,24,6,28,1,0,158
200,31,9,19,22,5,5,3,13,0,0,76
201,32,4,115,18,4,8,3,38,2,0,192
202,34,31,198,29,16,14,19,127,6,0,440
203,35,110,42,37,9,34,74,75,0,0,381
204,41,1,15,7,1,5,0,11,0,0,40
205,42,9,109,28,9,11,6,59,1,0,232
206,43,7,94,10,6,3,6,32,1,0,159
207,45,57,9,18,2,2,2,11,0,0,101
208,48,9,26,29,2,4,4,16,0,0,90
209,55,14,8,16,0,1,0,4,0,0,43
210,57,12,34,45,4,11,1,36,0,0,143
211,58,12,4,40,1,0,3,12,0,0,72
212,61,8,3,21,1,1,1,6,0,0,41
213,66,23,9,54,6,2,1,20,0,0,115
214,67,4,8,41,6,5,0,9,0,0,73
