Census year,Block ID,CLUE small area,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Total establishments in block
2012,375,North Melbourne,4,0,0,0,3,2,0,1,3,1,1,0,8,7,1,1,0,1,2,35
2012,378,North Melbourne,3,1,0,2,0,0,0,0,2,0,0,0,5,3,1,0,0,0,0,17
2012,405,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
2012,406,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2012,410,West Melbourne (Residential),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,411,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,416,West Melbourne (Residential),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2012,418,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4
2012,422,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2012,423,West Melbourne (Residential),5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,12
2012,425,West Melbourne (Residential),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2012,426,West Melbourne (Residential),0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,2,2,1,1,14
2012,427,West Melbourne (Residential),3,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,2,0,4,16
2012,428,West Melbourne (Residential),1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,7
2012,432,West Melbourne (Residential),3,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,3,0,12
2012,433,West Melbourne (Residential),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012,434,West Melbourne (Residential),4,1,0,0,3,1,0,3,0,1,0,0,4,9,0,1,5,1,0,33
2012,438,West Melbourne (Residential),1,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,1,1,10
2012,442,West Melbourne (Residential),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
2012,443,West Melbourne (Residential),3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6
2012,501,West Melbourne (Industrial),0,0,0,2,0,0,1,0,0,0,3,0,1,1,1,0,0,1,7,17
2012,502,West Melbourne (Industrial),1,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,1,5,19,32
2012,504,Kensington,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,2,9
2012,511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2012,516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,524,Kensington,3,1,0,1,0,0,0,1,2,1,0,0,2,0,0,1,0,1,1,14
2012,525,Kensington,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
2012,535,Kensington,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,538,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,542,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,545,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,549,Kensington,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012,550,Kensington,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2012,552,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,609,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
