Geo Point,Geo Shape,comm,num_b_prop,resi,total
"-37.808359992851855, 144.91169947929473","{""coordinates"": [[[[144.91226935779684, -37.807522156139484], [144.915796355367, -37.807881640418664], [144.9156438532772, -37.80882104476962], [144.91564239536348, -37.80883023522632], [144.91564053778097, -37.80883937985799], [144.91563828421397, -37.808848468816954], [144.91563563612692, -37.80885749041387], [144.91563259950019, -37.8088664339406], [144.91562917574748, -37.808875289509224], [144.9156253685785, -37.808884046371375], [144.91562118397366, -37.8088926938188], [144.91561662675252, -37.80890122202392], [144.91561170062488, -37.80890962023831], [144.9156064138163, -37.80891787869471], [144.9156007700112, -37.808925987545344], [144.9155947785451, -37.80893393794379], [144.91558844539853, -37.80894171918177], [144.91558177761095, -37.80894932327335], [144.91557478343339, -37.80895673955045], [144.91556747101558, -37.80896396094803], [144.91555984971833, -37.80897097771872], [144.91555192769152, -37.80897778279747], [144.91554371543123, -37.8089843664571], [144.91553522108723, -37.80899072163254], [144.9155264573504, -37.80899684133897], [144.91551743128588, -37.8090027166897], [144.91550815666915, -37.80900834252153], [144.91549864278525, -37.8090137117894], [144.91548890118986, -37.80901881748848], [144.91547894341326, -37.809023653514636], [144.9154687820958, -37.80902821468459], [144.91545842760706, -37.8090324957748], [144.91544789374814, -37.8090364907214], [144.91543719313395, -37.809040195241764], [144.91542633837946, -37.809043605053354], [144.91541534096442, -37.80904671585351], [144.91540421574913, -37.80904952430062], [144.9153929741879, -37.80905202699267], [144.91538163114106, -37.80905422058813], [144.91537019917305, -37.80905610260583], [144.9153586930933, -37.80905767150564], [144.91534712546638, -37.809058924806436], [144.91533550996655, -37.80905986094799], [144.9153238602681, -37.809060478369986], [144.9153121911048, -37.809060778234475], [144.91530051617616, -37.80906075808044], [144.915288849106, -37.80906041814919], [144.9125116915113, -37.80898572062409], [144.91091025810553, -37.80945172248122], [144.9100540715527, -37.80942861869851], [144.909449461767, -37.80935129046289], [144.90913807552022, -37.80940185492003], [144.9083408127228, -37.80921270016799], [144.90812484416708, -37.809037254054985], [144.90854777991566, -37.808137365563105], [144.90902927206662, -37.807898801685525], [144.90946600116277, -37.80696952131941], [144.9094945609033, -37.80696942186698], [144.9097732153291, -37.807012924209815], [144.91028844624523, -37.807138321578485], [144.91055723521302, -37.8072783956319], [144.9106919294775, -37.80732052358076], [144.91135931539472, -37.80738817448989], [144.91166505396396, -37.80746055223647], [144.91211167621407, -37.807506082532115], [144.91210231263636, -37.80756389774914], [144.91225999317834, -37.807579972253066], [144.91226935779684, -37.807522156139484]]]], ""type"": ""MultiPolygon""}",0,2,0,0
"-37.78910135641691, 144.96568614367223","{""coordinates"": [[[[144.96624917458917, -37.785451998775834], [144.9663828380779, -37.78547444913955], [144.96932957080767, -37.78579184969444], [144.96828146399363, -37.791890030024994], [144.9682368834954, -37.79198850879751], [144.96823273313584, -37.791997143918394], [144.96818287471405, -37.79208860676116], [144.9681755420501, -37.792101205847864], [144.96811992236093, -37.79218773664698], [144.9681103043203, -37.79220167684348], [144.96804838877617, -37.79228456679923], [144.9680375847169, -37.79229796604831], [144.96796863492278, -37.79237820587038], [144.9679582075147, -37.79238937836268], [144.96788104613375, -37.79246797022666], [144.96787346822435, -37.79247502676426], [144.96778601451862, -37.79255331615922], [144.9676924746959, -37.79262706112525], [144.96768404414445, -37.79263345312442], [144.96758954366385, -37.7926990565182], [144.96757608657362, -37.792707948469456], [144.96747903239958, -37.79276714744622], [144.96746282483775, -37.792776447951134], [144.9673620393218, -37.79283022145481], [144.9673450406004, -37.79283863696717], [144.9672393586259, -37.79288760852644], [144.96722387138496, -37.79289415611602], [144.96711167251217, -37.79293883864559], [144.96710102427622, -37.79294262459827], [144.96697967343525, -37.79298353460407], [144.96685531699163, -37.79301825719988], [144.96684421155624, -37.793021166123054], [144.96672337470108, -37.79304821388478], [144.96670641322552, -37.793051658449095], [144.96658673352658, -37.793072052700204], [144.96656704511102, -37.793074932207446], [144.96644695156508, -37.793089152973714], [144.96642703044998, -37.793090962790814], [144.96630508058556, -37.79309918185409], [144.96628758139278, -37.793099816935985], [144.96616207667324, -37.79310194138886], [144.9661503616908, -37.793101731648385], [144.96601866308788, -37.793097331835924], [144.96588316978236, -37.79309078517734], [144.96584432507285, -37.793088065495326], [144.96574026827903, -37.79307922440378], [144.9657053827487, -37.793075846621136], [144.96557200284857, -37.79305957819805], [144.96554818436042, -37.793055978018934], [144.9654375133994, -37.793038325709965], [144.96539469132583, -37.79303066873731], [144.96532089783605, -37.793016287267754], [144.9652764622853, -37.793007094026564], [144.96519773420584, -37.792989135089826], [144.96516016186285, -37.79298028877171], [144.96504551957074, -37.792950241643524], [144.96490788682115, -37.792908682022876], [144.96487374989712, -37.792897589525055], [144.9647389074264, -37.792850609205736], [144.9646396880463, -37.792812043045366], [144.9646071993755, -37.79279832883762], [144.96457463683922, -37.79278458343562], [144.9644463959111, -37.79272713408194], [144.96432193477403, -37.7926646561131], [144.96429128153395, -37.792648401289355], [144.96417091999984, -37.792581054220285], [144.96367442894146, -37.792271263034095], [144.9635481036757, -37.79220122632266], [144.96351806072875, -37.79218542338228], [144.96338884071585, -37.792121441464616], [144.96337441584768, -37.79211491625815], [144.96325182243643, -37.79206102563761], [144.96322123456144, -37.79204825043069], [144.96308522932458, -37.79199559611316], [144.96306153860695, -37.791987263508965], [144.96293771124053, -37.79194549581478], [144.9629085623429, -37.79193616094617], [144.96276673411842, -37.791895084786], [144.96273683427782, -37.791887318828714], [144.96260823554113, -37.791855978122626], [144.96258334887276, -37.791850241785625], [144.962436582859, -37.7918209996463], [144.96240280812805, -37.79181513497625], [144.96226525062568, -37.79179368647396], [144.96224897690178, -37.79179131262861], [144.96209816911622, -37.79177419881418], [144.96206239283836, -37.79177093324924], [144.96190890475378, -37.79175993334202], [144.96155762880548, -37.79173808256558], [144.96152015215768, -37.791735750937875], [144.96147964684812, -37.79172742946579], [144.96143953206283, -37.79171799727817], [144.96139985295832, -37.79170746416884], [144.96136065910736, -37.79169584451408], [144.96132199783742, -37.79168315175013], [144.9612839153158, -37.791669400194365], [144.96124645647578, -37.79165460774766], [144.96120966965572, -37.79163879236978], [144.96117359524814, -37.79162197188298], [144.96113828038182, -37.79160416692985], [144.96110376532545, -37.79158539983639], [144.96111403109998, -37.791590399766996], [144.96111549267437, -37.79159105859863], [144.96112450555665, -37.79159512033933], [144.96113517524802, -37.791599555012354], [144.96114448823198, -37.79160311007748], [144.96114603010693, -37.79160369820463], [144.9611570554519, -37.791607546958446], [144.9611682400808, -37.7916110956727], [144.96117956933688, -37.791614340488934], [144.96119103199302, -37.79161727670685], [144.96120261445327, -37.79161990318983], [144.96121430211033, -37.79162221427794], [144.961226081368, -37.79162420883454], [144.96123793981482, -37.79162588394129], [144.96124986385476, -37.7916272384616], [144.9612618387812, -37.79162827033845], [144.961273851023, -37.79162897753461], [144.9612858857994, -37.79162936069528], [144.96129793064935, -37.79162941870367], [144.96130997195195, -37.79162915132394], [144.96132199381623, -37.791628558281026], [144.96133398254696, -37.79162764204139], [144.96134592679346, -37.79162640240849], [144.96135780948015, -37.79162484088925], [144.96136961920675, -37.79162295908861], [144.96138134111828, -37.79162076035417], [144.96139296156917, -37.79161824535096], [144.961404467925, -37.791615419267366], [144.96141584651554, -37.79161228366913], [144.96142708475583, -37.791608841943194], [144.96143816771664, -37.79160510013942], [144.96144908399782, -37.79160105986289], [144.96145982205067, -37.791596728123125], [144.96147036699543, -37.791592109168604], [144.9614807073576, -37.79158720730657], [144.96149083272363, -37.79158202956628], [144.96150072973114, -37.791576582256404], [144.96151732250564, -37.79156650961865], [144.96171581439214, -37.791438477503576], [144.96178635011606, -37.79139486039242], [144.96179112589454, -37.7913916477562], [144.9618551328415, -37.79134395596726], [144.96185892558316, -37.79134080817709], [144.96191730931292, -37.79128850451664], [144.96191888092974, -37.791287003234956], [144.96197128514495, -37.791230319956945], [144.96197497551245, -37.791225932516866], [144.96202032828126, -37.79116602723349], [144.96202229483418, -37.79116305797499], [144.96206033087662, -37.79110041834664], [144.96206203741121, -37.79109733756743], [144.96209281880436, -37.791031861689156], [144.96209484179374, -37.791026841077], [144.96211805345817, -37.79095899781623], [144.96211855653627, -37.79095707648021], [144.96213372838173, -37.79088824123241], [144.9621344635838, -37.790883948543815], [144.9621415860786, -37.79081449102285], [144.96214177638007, -37.790809535707034], [144.9621408141789, -37.7907385691708], [144.9621155331863, -37.79001110363099], [144.96211216974044, -37.789924634259734], [144.9621120246082, -37.78990522359895], [144.9621145900927, -37.789820282677766], [144.96211556384452, -37.78980819301569], [144.96212322715027, -37.789731163729314], [144.96212537737955, -37.78971393560624], [144.9621395614622, -37.78963018984049], [144.96214322313014, -37.789613107985666], [144.96216145704207, -37.789537226381846], [144.96216454291422, -37.7895253518788], [144.96219033235795, -37.78944288308907], [144.96219692590014, -37.78942420568398], [144.96222894400688, -37.7893415021006], [144.96225706853227, -37.78927222286875], [144.96225913834508, -37.78926772730794], [144.96229412326778, -37.789202061690546], [144.96229674027276, -37.78919775920356], [144.96233977387783, -37.7891334772474], [144.96238979072305, -37.789072453818406], [144.96239325878938, -37.78906856048536], [144.96244870122536, -37.78901245432305], [144.96245264710504, -37.78900884586935], [144.96251539522365, -37.788955753598195], [144.96256774395368, -37.78892415750198], [144.96257005670583, -37.78892293395266], [144.96262561265783, -37.78889694567528], [144.96262729161194, -37.78889624491721], [144.96268724246673, -37.788875281287964], [144.96268902973284, -37.788874770160625], [144.96275068594827, -37.788859771526575], [144.96275338129632, -37.78885924324242], [144.96281809220892, -37.788849906218985], [144.96344486291912, -37.78515791536544], [144.966247847467, -37.78545990713953], [144.96624917458917, -37.785451998775834]]]], ""type"": ""MultiPolygon""}",1956.74841593,3,0,1956.74841593
