,block_id,geo_point_coords,CLUE,block_area,total_jobs,business_establishments,commercial_area,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
0,869,"-37.843406112352376, 144.98490735020218",South Yarra,17177.000556931802,0,2,4101.0,1.6038307038481692,23448.0,residence,public_service,"residence: 23448, public_service: 4101"
1,868,"-37.84218330812017, 144.98515315955768",South Yarra,19658.176469308528,45,3,1287.0,1.1697019025333197,21707.0,residence,public_service,"residence: 21707, public_service: 1287"
2,864,"-37.83593758973465, 144.97696708749334",South Yarra,19412.92005422523,20,4,3869.0,1.2200185452297547,19814.0,residence,public_service,"residence: 19814, public_service: 3869"
3,861,"-37.83578656889672, 144.9812595716383",South Yarra,83145.65579394069,216,21,8532.0,0.9000781766792952,66305.0,residence,public_service,"residence: 66305, public_service: 6097, leisure: 1317"
4,863,"-37.83406350461134, 144.97631822658767",Melbourne (Remainder),98538.48024198323,0,2,0.0,,0.0,,,
5,746,"-37.830704618332284, 144.96629606157555",Southbank,20830.04620578051,1567,48,33216.0,1.886221795487278,6074.0,business,residence,"business: 27957, residence: 6074, public_service: 4658, leisure: 601"
6,744,"-37.829273313152484, 144.966278821237",Southbank,24196.848380055897,88,15,10286.0,0.7938915523226979,8923.0,residence,public_service,"residence: 8923, public_service: 8209, business: 2077"
7,734,"-37.827919536972495, 144.96031443183432",Southbank,27439.084628686993,241,19,6377.0,0.3410838587412078,2982.0,public_service,residence,"public_service: 3646, residence: 2982, business: 2731"
8,740,"-37.82817657604828, 144.9637377029284",Southbank,27376.868755324896,149,3,0.0,,0.0,,,
9,728,"-37.827599861257376, 144.95443394746553",Southbank,10845.035006974518,0,3,0.0,,0.0,,,
10,778,"-37.82491678587185, 144.93348521684402",Port Melbourne,105841.32680254434,796,29,39891.0,0.637182188376905,27549.0,business,residence,"business: 37464, residence: 27549, public_service: 2427"
11,780,"-37.825721024223554, 144.92336247943234",Port Melbourne,114328.77747967796,0,2,0.0,,0.0,,,
12,852,"-37.8307311439858, 144.97366437123915",Melbourne (Remainder),1592981.9349532875,339,22,859142.0,0.6205265473976149,129345.0,public_service,residence,"public_service: 848246, residence: 129345, business: 10784"
13,806,"-37.82666631816131, 144.95838717714992",Southbank,54160.30746629443,420,7,20495.0,0.37841580502215655,0.0,public_service,leisure,"public_service: 14938, leisure: 5557"
14,729,"-37.82700528530559, 144.9563172079273",Southbank,38291.08953766466,145,9,20015.0,2.949596510929461,92928.0,residence,public_service,"residence: 92928, public_service: 17598"
15,809,"-37.82586912315373, 144.96123183810005",Southbank,12143.281579858769,0,0,0.0,,0.0,,,
16,742,"-37.826733641999645, 144.9687446768786",Southbank,59028.4949378448,3,3,15075.0,1.2951988886630075,61378.0,residence,public_service,"residence: 61378, public_service: 15075"
17,736,"-37.82606485488025, 144.9631525329207",Southbank,50229.94553726296,70,4,0.0,0.0985088295606124,4948.0,residence,business,residence: 4948
18,739,"-37.82483317872804, 144.96763483297423",Southbank,33141.85299450117,308,4,5908.0,0.17826860987900184,0.0,public_service,business,public_service: 5908
19,773,"-37.823154607386094, 144.94005552158262",Docklands,22921.47924758702,147,28,39945.0,10.112124252868549,191835.0,residence,public_service,"residence: 191835, public_service: 36393, business: 2632, leisure: 920"
20,808,"-37.8242675015963, 144.96119609566335",Southbank,27931.804931025163,790,36,42257.0,4.65862303533708,87863.0,residence,public_service,"residence: 87863, public_service: 25416, business: 13630, leisure: 1172"
21,807,"-37.82416699427056, 144.95981872477418",Southbank,24349.980603126787,235,5,0.0,0.17199885005544374,4188.0,residence,business,residence: 4188
22,660,"-37.82521911662433, 144.98418835045626",Melbourne (Remainder),289185.45925237995,1778,15,58266.0,0.46254473779760363,75495.0,residence,leisure,"residence: 75495, leisure: 46946, business: 11320"
23,811,"-37.82347693917185, 144.96359597499426",Southbank,21791.220112588606,193,3,12050.0,0.8417236473773576,6292.0,public_service,residence,"public_service: 12050, residence: 6292"
24,786,"-37.825824663639175, 144.91627848176725",Port Melbourne,1267210.925119647,3353,61,124621.0,0.32746111536367295,290341.0,residence,business,"residence: 290341, business: 77915, public_service: 43770, leisure: 964"
25,781,"-37.82228544071431, 144.9239028029379",Port Melbourne,230945.79784526688,1811,98,99839.0,0.6987291346424473,61529.0,residence,manufacture,"residence: 61529, manufacture: 48239, business: 41709, public_service: 9891"
