Census year,Block ID,CLUE small area,Commercial Accommodation,Common Area,Community Use,Educational/Research,Entertainment/Recreation - Indoor,Equipment Installation,Hospital/Clinic,House/Townhouse,Institutional Accommodation,Manufacturing,Office,Park/Reserve,Parking - Commercial Covered,Parking - Commercial Uncovered,Parking - Private Covered,Parking - Private Uncovered,"Performances, Conferences, Ceremonies",Private Outdoor Space,Public Display Area,Residential Apartment,Retail - Cars,Retail - Shop,Retail - Showroom,Retail - Stall,Sports and Recreation - Outdoor,Square/Promenade,Storage,Student Accommodation,Transport,Transport/Storage - Uncovered,Unoccupied - Under Construction,Unoccupied - Under Demolition/Condemned,Unoccupied - Under Renovation,Unoccupied - Undeveloped Site,Unoccupied - Unused,Wholesale,Workshop/Studio,Total floor space in block
2012,66,Melbourne (CBD),,7443,0,1113,10685,1444,0,0,0,0,2437,,,0,,0,848,,0,1273,0,7268,0,0,0,0,1859,0,0,0,0,0,1634,0,1520,0,,46797
2012,68,Melbourne (CBD),19298,25158,0,,2386,,0,1638,0,0,36765,0,,0,10031,,,1918,0,9374,0,1268,0,0,0,0,,,0,0,0,0,1327,0,7883,0,0,134143
2012,74,Melbourne (CBD),0,18557,,8875,4282,326,169,0,0,0,29502,0,,0,5658,0,,732,0,4298,0,5241,0,0,0,0,840,,0,0,0,0,1571,0,2605,0,791,103565
2012,76,Melbourne (CBD),0,55584,,0,7567,0,2036,0,0,0,66149,0,,0,20859,0,,,0,,0,31231,,607,0,0,,0,0,0,0,0,0,0,3255,0,0,278659
2012,81,Melbourne (CBD),,24491,0,20984,1621,0,0,1656,0,,1333,0,0,0,12309,0,0,5196,,30119,0,473,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,117063
2012,82,Melbourne (CBD),0,27203,0,1355,3757,3013,0,0,0,0,65850,0,,0,6522,,,2125,0,4115,0,550,0,,0,0,365,0,,0,0,0,3596,0,9983,0,0,165341
2012,84,Melbourne (CBD),,9765,0,,4682,,0,2365,0,,9605,0,0,0,2804,0,,1155,,9683,0,4361,,0,0,0,1767,,0,0,,0,,0,4181,0,,62107
2012,88,Melbourne (CBD),0,19209,0,0,,,,0,0,0,,0,0,0,15052,0,0,7866,0,41428,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,105854
2012,95,Melbourne (CBD),0,15753,0,11770,3945,,1086,,0,0,3084,0,,0,7382,0,,485,0,21062,0,4602,0,0,0,0,,0,0,0,0,0,0,,3833,0,,94378
2012,96,Melbourne (CBD),0,46227,0,83026,1439,3247,0,0,0,0,9668,,0,0,1423,0,0,,,0,0,1944,0,0,0,,0,0,0,0,0,0,,0,,0,0,177237
2012,97,Melbourne (CBD),,27069,0,,1785,,0,0,0,0,11842,,,,9891,0,0,2388,0,33623,0,,0,0,0,0,,0,0,0,0,0,0,0,4208,0,0,120826
2012,103,Melbourne (CBD),8820,5796,0,,1833,,0,0,0,0,4277,0,0,,,0,0,1753,0,0,0,,0,0,0,0,0,0,0,0,,0,,,7704,0,0,68665
2012,104,Melbourne (CBD),,12871,0,3617,2303,278,0,,0,0,1147,0,,,2718,,0,1453,0,16839,0,1806,0,0,0,0,338,,0,0,0,0,0,0,1821,0,0,73547
2012,105,Melbourne (CBD),,12021,0,13302,1567,,0,0,0,0,6324,0,0,0,10382,0,0,554,0,,0,3926,0,,0,0,,0,,0,,0,0,0,9774,0,0,80698
2012,114,Melbourne (CBD),,6972,0,,2842,0,0,,0,0,3138,0,0,0,3992,,0,792,,7936,0,6585,0,0,0,0,2551,0,0,0,0,0,0,0,1336,0,0,46604
2012,116,Melbourne (CBD),0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6257
2012,203,Carlton,0,434,0,,,0,0,6768,0,0,,0,0,0,0,0,0,2924,0,932,0,0,0,0,0,0,0,1338,0,0,0,0,0,,,0,0,14086
2012,205,Carlton,0,15898,,,435,,8232,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,33733,0,0,115866
2012,212,Carlton,0,35133,0,,,0,0,0,0,0,1820,0,0,0,7807,,0,33228,0,64809,0,,0,0,0,0,0,29735,0,0,0,0,,6754,674,0,0,191657
2012,214,Carlton,,829,0,0,,0,,5783,0,0,1028,0,0,0,,,0,2483,0,1492,0,1551,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,14810
2012,215,Carlton,0,2026,0,0,663,0,,3807,0,0,848,0,0,0,,0,0,1227,0,4873,0,1269,0,0,0,0,0,,0,0,0,0,0,0,,0,0,17208
2012,219,Carlton,0,2777,0,,,0,,10976,0,0,432,0,0,0,2407,0,0,3361,0,9378,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,32536
2012,220,Carlton,0,,0,0,0,0,0,9705,0,0,583,0,0,0,668,0,0,923,0,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,13569
2012,222,Carlton,0,,,0,0,0,0,5728,0,0,,,0,0,,0,0,744,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,12063
2012,223,Carlton,0,332,0,0,,0,0,5067,0,0,425,0,0,0,,0,0,817,0,1560,0,900,0,0,0,0,,0,0,0,0,0,0,0,,0,0,10285
2012,227,Carlton,0,419,0,,,0,0,9196,0,0,,0,0,0,,0,0,2035,0,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15997
2012,229,Carlton,0,,0,0,0,,0,8522,0,0,0,,0,0,,0,0,2572,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13115
2012,231,Carlton,0,,0,,0,0,0,5506,0,0,0,0,0,0,0,0,0,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7856
2012,232,Carlton,0,0,0,,1266,0,0,4690,0,0,0,0,0,0,0,0,0,1965,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,8417
