,block_id,retail,business,leisure,education,healthcare,manufacture,public_service,farming,residence,non_residential
60,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10359.0,0.0
61,239,0.0,3503.0,0.0,22329.0,1609.0,0.0,14208.0,0,3276.0,41649.0
62,251,0.0,12270.0,0.0,0.0,2259.0,0.0,8919.0,0,31817.0,23448.0
63,252,419.0,2441.0,4173.0,0.0,835.0,0.0,3494.0,0,19721.0,11362.0
64,254,1092.0,6413.0,1848.0,0.0,0.0,0.0,4101.0,0,20498.0,13454.0
65,259,0.0,15811.0,1306.0,0.0,0.0,0.0,6269.0,0,1947.0,23386.0
66,260,2657.0,1661.0,968.0,0.0,0.0,0.0,11262.0,0,21681.0,16548.0
67,262,0.0,562.0,0.0,0.0,0.0,0.0,285.0,0,0.0,847.0
68,263,308.0,19548.0,2362.0,0.0,0.0,0.0,16823.0,0,49575.0,39041.0
69,270,1318.0,17190.0,11491.0,219841.0,0.0,0.0,114252.0,0,0.0,364092.0
70,271,0.0,0.0,0.0,97677.0,0.0,0.0,11370.0,0,116325.0,109047.0
71,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
72,274,0.0,861.0,0.0,0.0,0.0,0.0,151028.0,0,0.0,151889.0
73,301,0.0,0.0,0.0,0.0,0.0,0.0,857.0,0,26248.0,857.0
74,307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6216.0,0.0
75,308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6240.0,0.0
76,309,0.0,7558.0,0.0,0.0,0.0,0.0,729.0,0,2354.0,8287.0
77,311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
78,314,0.0,1541.0,0.0,0.0,0.0,0.0,324.0,0,13540.0,1865.0
79,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
80,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
81,323,0.0,1804.0,0.0,0.0,0.0,0.0,0.0,0,1020.0,1804.0
82,328,0.0,0.0,0.0,0.0,0.0,0.0,2061.0,0,14016.0,2061.0
83,333,0.0,995.0,272.0,0.0,0.0,0.0,787.0,0,9616.0,2054.0
84,335,0.0,2118.0,0.0,0.0,0.0,0.0,2318.0,0,12718.0,4436.0
85,337,0.0,4722.0,0.0,0.0,0.0,0.0,487.0,0,5989.0,5209.0
86,342,0.0,2595.0,0.0,0.0,0.0,0.0,583.0,0,6043.0,3178.0
87,343,0.0,1007.0,0.0,0.0,0.0,0.0,507.0,0,10399.0,1514.0
88,345,3851.0,3417.0,2471.0,0.0,455.0,0.0,1430.0,0,13155.0,11624.0
89,346,1029.0,765.0,418.0,0.0,0.0,0.0,56.0,0,8607.0,2268.0
