,Unnamed: 0,block_id,geo_point_coords,CLUE,block_area,total_energy_consumption,total_jobs,business_establishments,commercial_area,energy_consumption_per_sqm,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
52,52,602,"-37.81170642692204, 144.98981773878612",East Melbourne,28397.453566806293,359.2472457,0,1,569.0,0.017074910820451844,0.7403951121597352,20456.0,residence,public_service,"residence: 20456, public_service: 569"
53,53,56,"-37.81263588284146, 144.9666208351769",Melbourne (CBD),30827.712121380377,14083.37581,1831,143,69574.0,0.2010105479510712,2.2727154766925097,487.0,business,public_service,"business: 17476, public_service: 16996, education: 15796, retail: 10065, leisure: 9241, residence: 487"
54,54,610,"-37.812609679378305, 144.987164143831",East Melbourne,32757.79942432903,715.253851,0,1,679.0,0.02658190200014871,0.8211374668009891,26219.0,residence,public_service,"residence: 26219, public_service: 679"
55,55,444,"-37.81184638239105, 144.9497287559767",West Melbourne (Residential),24067.289062040632,6461.615422,475,12,21910.0,0.07857516387561263,3.4165870278805004,60317.0,residence,public_service,"residence: 60317, public_service: 14443, business: 7467"
56,56,615,"-37.81232168033914, 144.98455529881787",East Melbourne,32387.81179802259,10147.20444,970,63,31828.0,0.1324846585716151,2.3648377435390744,44762.0,residence,healthcare,"residence: 44762, healthcare: 17503, public_service: 13998, business: 327"
57,57,48,"-37.81224583580547, 144.97204587295803",Melbourne (CBD),30685.33531024541,10949.32453,1555,90,42381.0,0.2515103484712747,1.418706208245071,1152.0,business,public_service,"business: 15823, public_service: 15350, leisure: 8837, retail: 2371, residence: 1152"
58,58,93,"-37.811032651856166, 144.95675374576166",Melbourne (CBD),29714.237876867308,26033.39337,2375,47,96759.0,0.15404233161142966,5.687521033856095,72240.0,residence,public_service,"residence: 72240, public_service: 40846, business: 33210, leisure: 19365, education: 2721, retail: 617"
59,59,1110,"-37.81081352924853, 144.93707327203882",Docklands,224873.5481264805,20552.751529,2132,110,242718.0,0.05568033117768018,1.6414020358157715,126389.0,public_service,residence,"public_service: 148109, residence: 126389, business: 35113, retail: 29598, leisure: 17858, education: 12040"
60,60,614,"-37.81114390246458, 144.98475427432828",East Melbourne,32683.154983439923,7006.918254,855,11,32600.0,0.1668095238095238,1.285071749839366,9400.0,healthcare,public_service,"healthcare: 20231, public_service: 12369, residence: 9400"
61,61,67,"-37.81100770171042, 144.9686775327245",Melbourne (CBD),31045.132987619443,14477.59933,783,73,58426.0,0.17604212267133615,2.6489289740698987,23810.0,leisure,residence,"leisure: 29508, residence: 23810, public_service: 18946, education: 4420, business: 3478, retail: 2074"
62,62,76,"-37.810672905718754, 144.96571855733472",Melbourne (CBD),30784.462137058545,32835.27038,4756,142,156230.0,0.1854152431828064,5.752631237006237,20859.0,business,public_service,"business: 58316, public_service: 56199, retail: 31040, residence: 20859, leisure: 7897, healthcare: 2778"
63,63,1007,"-37.8139978492347, 144.9152609734858",West Melbourne (Industrial),3106682.2143029,27672.466649,550,13,795458.0,0.028375543218561002,0.313905961408345,179748.0,public_service,residence,"public_service: 750176, residence: 179748, business: 45282"
64,64,441,"-37.81014029489234, 144.94868461409445",West Melbourne (Residential),19653.01575751664,4217.818806,35,5,474.0,4.272543059777102,0.050221340253396425,513.0,residence,public_service,"residence: 513, public_service: 474"
65,65,601,"-37.810522413578944, 144.99001728405517",East Melbourne,28481.42845234558,1384.09927,77,5,5286.0,0.07709017991422046,0.6303500579333591,12667.0,residence,business,"residence: 12667, business: 3344, public_service: 1942"
66,66,103,"-37.80935430360441, 144.9559243748492",Melbourne (CBD),29106.551680564426,7755.849055,437,29,40002.0,0.08758159600659544,3.042190613619185,48544.0,residence,public_service,"residence: 48544, public_service: 30187, leisure: 4686, business: 4618, retail: 511"
67,67,77,"-37.80994099079983, 144.96818888604335",Melbourne (CBD),30762.24479094904,17485.5615,1735,49,90163.0,0.1567683396991052,3.6257070411546715,21371.0,public_service,business,"public_service: 46985, business: 32150, residence: 21371, education: 6228, leisure: 4428, retail: 372"
68,68,427,"-37.8086895536008, 144.947421131238",West Melbourne (Residential),19462.04089180491,1975.013728,131,17,5984.0,0.09716141093127367,1.0444455862706814,14343.0,residence,business,"residence: 14343, business: 3236, public_service: 1949, leisure: 799"
69,69,95,"-37.80940641781987, 144.9623340201352",Melbourne (CBD),32314.257412746178,12591.45273,635,53,89534.0,0.05590186206345401,6.970167729157641,135700.0,residence,public_service,"residence: 135700, public_service: 68248, leisure: 7952, education: 7940, business: 2663, retail: 2052, healthcare: 679"
70,70,440,"-37.80918624618705, 144.95089145789734",West Melbourne (Residential),29109.33831742579,4116.510094,235,17,14622.0,0.06168602472836268,2.292246384279776,52103.0,residence,public_service,"residence: 52103, public_service: 10922, business: 2844, leisure: 856"
71,71,439,"-37.80863592601653, 144.9531424368336",West Melbourne (Residential),10808.83178621857,1390.511128,160,15,4684.0,0.17905448924384904,0.7182642487046632,3079.0,residence,business,"residence: 3079, business: 2390, leisure: 1286, public_service: 1008"
72,72,411,"-37.80784610813453, 144.94321986803092",West Melbourne (Residential),1461.0467139701882,64.20914962,0,0,0.0,,,0.0,,,
73,73,642,"-37.80857230932849, 144.97239253658583",East Melbourne,14692.61234380249,895.729224,212,3,0.0,,,0.0,,,
74,74,1002,"-37.80835999285184, 144.91169947929467",West Melbourne (Industrial),212344.4438113923,0.0,0,4,0.0,,,0.0,,,
