Geo Point,Suburb,Latitude,Longitude,Geo Shape,total_2011,p_com_2011,p_res_2026,p_com_2026,total_2026,p_com_2021,property_id,p_res_2011,total_2016,total_2021,p_res_2021,floor_area,p_res_2016,p_com_2016
"-37.81833764639946, 144.988403329636",East Melbourne,-37.818338,144.988403,"{""coordinates"": [[[[144.98861233816197, -37.81822005963121], [144.98856550880188, -37.81849460582922], [144.98819429064875, -37.81845522199853], [144.98824118365152, -37.81818068245652], [144.98861233816197, -37.81822005963121]]]], ""type"": ""MultiPolygon""}",183.385217637,183.38521,0.0,203.680958,203.680958,196.842367,101065.0,0.0,190.027039,196.842367,0.0,0.0,0.0,190.027039
"-37.801258261345055, 144.95472971714983",North Melbourne,-37.801258,144.95473,"{""coordinates"": [[[[144.95484183682404, -37.801289576764546], [144.9547670234443, -37.80134822641066], [144.95461783784472, -37.801231040820575], [144.9546946255676, -37.8011668589927], [144.95484183682404, -37.801289576764546]]]], ""type"": ""MultiPolygon""}",65.5127466003,65.512729,0.0,72.576543,72.576543,70.344224,101089.0,0.0,68.037108,70.344224,0.0,0.0,0.0,68.037108
"-37.81279907118179, 144.9691653412412",Melbourne CBD,-37.812799,144.969165,"{""coordinates"": [[[[144.96917457519828, -37.81263363125278], [144.96930150162922, -37.81290991142543], [144.96912402581873, -37.81296258203825], [144.96910070979877, -37.81291006123343], [144.96913635097457, -37.81289902373692], [144.96912405225868, -37.81287320017052], [144.96912230052308, -37.81287370255309], [144.969033139998, -37.8126754216023], [144.96917457519828, -37.81263363125278]]]], ""type"": ""MultiPolygon""}",217.259741728,217.259726,0.0,241.985761,241.985761,234.471289,101119.0,0.0,226.547073,234.471289,0.0,0.0,0.0,226.547073
"-37.80054020078484, 144.96275727776737",Carlton,-37.80054,144.962757,"{""coordinates"": [[[[144.96290108833585, -37.800442849782925], [144.96286185769966, -37.800666479666], [144.96261307927085, -37.80063570735386], [144.96265178031052, -37.80041558839867], [144.96290108833585, -37.800442849782925]]]], ""type"": ""MultiPolygon""}",197.233051602,197.233029,0.0,218.499391,218.499391,211.778758,101259.0,0.0,204.832939,211.778758,0.0,0.0,0.0,204.832939
"-37.800865858957856, 144.96271883808186",Carlton,-37.800866,144.962719,"{""coordinates"": [[[[144.96258822830143, -37.80077705246406], [144.96287417742184, -37.800810522528664], [144.96285082795345, -37.8009541547243], [144.96256283624393, -37.80092146932939], [144.96258822830143, -37.80077705246406]]]], ""type"": ""MultiPolygon""}",2.260191e-05,0.0,0.0,0.0,0.0,0.0,101262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"-37.80241985880924, 144.9628808987297",Melbourne CBD,-37.80242,144.962881,"{""coordinates"": [[[[144.962414768499, -37.801769517146376], [144.96354867467664, -37.80189833877345], [144.96335106737143, -37.80306743340354], [144.96221083736137, -37.80294239334557], [144.962414768499, -37.801769517146376]]]], ""type"": ""MultiPolygon""}",2.260191e-05,0.0,0.0,0.0,0.0,0.0,101264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"-37.835368612627285, 144.97791396313104",Albert Park,-37.835369,144.977914,"{""coordinates"": [[[[144.9778022188365, -37.83551280685907], [144.97786796634097, -37.83520525490088], [144.97802606903036, -37.83522395458448], [144.97795923757135, -37.835532901062216], [144.9778022188365, -37.83551280685907]]]], ""type"": ""MultiPolygon""}",3.15137426479,0.0,19.5482724412,0.0,19.5482724412,0.0,101278.0,3.15137426479,14.9645714287,16.9793311128,16.9793311128,289.2,14.9645714287,0.0
"-37.83508773352461, 144.97603390124152",Albert Park,-37.835088,144.976034,"{""coordinates"": [[[[144.9759518357666, -37.83520154481413], [144.9760047045847, -37.83495974665663], [144.97611719670442, -37.834975069353774], [144.97606135723694, -37.83521668852766], [144.9759518357666, -37.83520154481413]]]], ""type"": ""MultiPolygon""}",13.436896166,0.0,58.9088637191,0.0,58.9088637191,0.0,101288.0,13.436896166,44.1992839812,51.3926016838,51.3926016838,255.3,44.1992839812,0.0
"-37.7939032636317, 144.94440830580902",North Melbourne,-37.793903,144.944408,"{""coordinates"": [[[[144.94442468728144, -37.79403451349176], [144.9442942715037, -37.794018357172895], [144.94429748712352, -37.794000553799656], [144.94430051096202, -37.793983810466194], [144.94431913242695, -37.79398612801155], [144.94431721539422, -37.79399674194217], [144.94436275501687, -37.79400241040301], [144.94440839132128, -37.793751187722926], [144.9444733414826, -37.79375868188034], [144.94442906868628, -37.79401066374662], [144.94442468728144, -37.79403451349176]]]], ""type"": ""MultiPolygon""}",3.57730089656,0.0,23.4760484036,0.0,23.4760484036,0.0,101297.0,3.57730089656,18.1388539819,20.6385336204,20.6385336204,153.4,18.1388539819,0.0
"-37.79387090364102, 144.94435372033897",North Melbourne,-37.793871,144.944354,"{""coordinates"": [[[[144.9443424619769, -37.793743580913436], [144.94440839132128, -37.793751187722926], [144.94436275501687, -37.79400241040301], [144.94431721539422, -37.79399674194217], [144.94431913242695, -37.79398612801155], [144.94430051096202, -37.793983810466194], [144.9443424619769, -37.793743580913436]]]], ""type"": ""MultiPolygon""}",4.75892606387,0.0,31.2304902068,0.0,31.2304902068,0.0,101298.0,4.75892606387,24.1303515782,27.4557076657,27.4557076657,204.07,24.1303515782,0.0
"-37.79382468446062, 144.94291499027727",North Melbourne,-37.793825,144.942915,"{""coordinates"": [[[[144.9428211170982, -37.79403286711325], [144.94283698079988, -37.79394881760776], [144.94290624075703, -37.79358186469285], [144.94300324429383, -37.79359257079889], [144.94295418816645, -37.79385567913687], [144.94297031724545, -37.79387476839824], [144.94294204653417, -37.7940464874695], [144.94284255365406, -37.794035434127146], [144.94283132659257, -37.79403408991565], [144.9428211170982, -37.79403286711325]]]], ""type"": ""MultiPolygon""}",3.61927692381,0.0,23.7515170289,0.0,23.7515170289,0.0,101307.0,3.61927692381,18.3516958148,20.8807067659,20.8807067659,155.2,18.3516958148,0.0
"-37.79376947284602, 144.94252323692217",North Melbourne,-37.793769,144.942523,"{""coordinates"": [[[[144.94259995695248, -37.7940083496182], [144.9423696211417, -37.79398288737018], [144.94244565893186, -37.79353102995514], [144.9426775342088, -37.79355662256842], [144.94259995695248, -37.7940083496182]]]], ""type"": ""MultiPolygon""}",26.7691197695,0.0,136.583731445,0.0,136.583731445,0.0,101310.0,26.7691197695,104.65743481,119.821074011,119.821074011,506.34,104.65743481,0.0
