,date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),SouthernCrossCount,VictoriaPointCount,FlindersStSparkLaneCount,CollinsPlaceNorth,BourkeStMallSouth
59,2015-03-01,0,15.2,20.8,23.3,15.8,1530.0,1677.0,2568.0,2151.0,23429.0
60,2015-03-02,0,11.6,23.0,22.0,0.0,4799.0,15621.0,3491.0,11004.0,24186.0
61,2015-03-03,0,15.5,22.7,21.2,0.0,4905.0,15993.0,3686.0,11604.0,23966.0
62,2015-03-04,0,15.4,23.5,23.0,0.0,5023.0,15667.0,3867.0,11359.0,24163.0
63,2015-03-05,0,12.6,18.6,22.5,0.8,5012.0,16154.0,3467.0,11330.0,25475.0
64,2015-03-06,0,14.1,21.1,10.8,0.2,4348.0,14842.0,3298.0,10776.0,29626.0
65,2015-03-07,0,15.4,22.6,10.8,0.2,1767.0,1856.0,3723.0,2614.0,29613.0
66,2015-03-08,0,16.2,24.4,20.4,0.0,1431.0,1987.0,5257.0,2253.0,28065.0
67,2015-03-09,0,14.4,23.8,18.6,0.0,1319.0,2256.0,3603.0,1997.0,23807.0
68,2015-03-10,0,16.2,21.7,22.1,0.0,4682.0,15102.0,3667.0,11190.0,22318.0
69,2015-03-11,0,11.2,23.8,22.3,0.0,4918.0,16250.0,3711.0,11217.0,23642.0
70,2015-03-12,0,13.0,19.9,18.7,0.0,4716.0,16448.0,3876.0,11355.0,25272.0
71,2015-03-13,0,14.4,20.4,21.2,0.0,4931.0,15866.0,4194.0,11064.0,31290.0
72,2015-03-14,0,9.4,30.1,20.0,0.0,2122.0,2678.0,2951.0,2557.0,26623.0
73,2015-03-15,0,13.1,18.3,17.5,2.2,1256.0,2117.0,2616.0,1811.0,21645.0
74,2015-03-16,0,10.5,25.5,14.5,0.0,5061.0,15714.0,3477.0,11017.0,24136.0
75,2015-03-17,0,13.0,26.2,4.8,0.0,5346.0,15642.0,3757.0,11289.0,22052.0
76,2015-03-18,0,17.8,24.4,9.4,1.4,5179.0,15566.0,3941.0,11142.0,23360.0
77,2015-03-19,0,16.5,33.5,15.1,0.0,5729.0,16080.0,4553.0,11620.0,23946.0
78,2015-03-20,0,14.2,19.6,19.9,0.0,5273.0,15465.0,3891.0,11250.0,30482.0
79,2015-03-21,0,11.9,22.7,20.8,0.0,2037.0,2141.0,3047.0,2552.0,29354.0
80,2015-03-22,0,11.3,28.8,19.9,0.0,2051.0,3713.0,3168.0,1989.0,21456.0
81,2015-03-23,0,13.6,27.0,3.9,0.0,4699.0,15031.0,3127.0,10732.0,21353.0
82,2015-03-24,0,12.6,15.3,3.8,1.4,4950.0,16240.0,3506.0,11051.0,22949.0
83,2015-03-25,0,13.0,20.4,13.8,0.4,5080.0,16353.0,3935.0,11342.0,25923.0
84,2015-03-26,0,9.8,18.0,9.9,0.4,5431.0,16190.0,3683.0,11567.0,25372.0
85,2015-03-27,0,11.6,18.1,11.2,0.2,5366.0,15278.0,4201.0,11403.0,31657.0
86,2015-03-28,0,12.7,19.1,14.4,0.0,1614.0,1872.0,4463.0,3218.0,31501.0
87,2015-03-29,0,8.5,22.7,18.6,0.0,1492.0,1595.0,5670.0,2402.0,25371.0
88,2015-03-30,0,10.6,23.1,18.1,0.0,4793.0,15382.0,4377.0,11215.0,28752.0
89,2015-03-31,0,11.2,25.3,18.1,0.0,5234.0,15263.0,3925.0,10356.0,27165.0
90,2015-04-01,0,13.3,29.0,10.7,0.0,5102.0,15377.0,3544.0,11482.0,27174.0
91,2015-04-02,0,12.8,17.2,17.5,0.2,4482.0,14262.0,4311.0,11780.0,32035.0
92,2015-04-03,1,8.0,20.9,17.4,0.0,1351.0,1638.0,2811.0,2136.0,14924.0
93,2015-04-04,1,8.5,23.5,16.2,0.0,1794.0,1775.0,3716.0,2946.0,34443.0
94,2015-04-05,0,10.2,18.5,9.8,0.0,1617.0,1471.0,2675.0,2134.0,24093.0
95,2015-04-06,1,11.2,18.4,13.0,0.0,949.0,1382.0,2917.0,1586.0,23493.0
96,2015-04-07,0,12.4,17.3,3.9,0.0,3982.0,13306.0,2738.0,9628.0,24299.0
97,2015-04-08,0,13.3,17.7,12.6,5.6,4441.0,14059.0,3836.0,10422.0,29354.0
98,2015-04-09,0,8.7,19.1,10.9,0.0,4737.0,14311.0,3585.0,10921.0,31006.0
99,2015-04-10,0,8.6,18.7,15.9,0.0,4745.0,13999.0,4754.0,10931.0,36091.0
100,2015-04-11,0,11.6,23.7,14.9,0.0,2025.0,2318.0,3553.0,2747.0,29466.0
101,2015-04-12,0,12.1,18.3,13.4,0.0,1482.0,1562.0,3156.0,1976.0,21533.0
102,2015-04-13,0,7.3,19.1,14.9,0.0,4706.0,15161.0,3360.0,10747.0,23454.0
103,2015-04-14,0,10.5,24.7,8.4,1.6,5021.0,15832.0,3812.0,11313.0,22995.0
104,2015-04-15,0,13.9,27.6,12.8,2.4,4881.0,16324.0,3756.0,11416.0,23722.0
105,2015-04-16,0,15.6,17.8,10.9,0.0,5054.0,15691.0,3740.0,11346.0,26954.0
106,2015-04-17,0,10.1,17.1,7.5,0.0,5127.0,15591.0,4384.0,11090.0,30327.0
107,2015-04-18,0,13.5,21.9,9.9,3.6,1846.0,2196.0,3998.0,2867.0,28662.0
108,2015-04-19,0,9.7,14.7,11.0,6.4,1071.0,1293.0,2115.0,1858.0,19781.0
109,2015-04-20,0,7.0,16.2,12.7,1.4,4732.0,15326.0,3114.0,10329.0,21926.0
110,2015-04-21,0,6.5,17.7,13.8,0.0,4950.0,15588.0,3200.0,11118.0,21694.0
111,2015-04-22,0,9.1,19.5,7.1,0.0,5092.0,15366.0,3226.0,10883.0,22128.0
112,2015-04-23,0,12.2,19.2,7.5,0.0,4934.0,15654.0,3367.0,11018.0,25058.0
113,2015-04-24,0,14.4,21.1,7.8,0.0,5128.0,15507.0,4631.0,10886.0,30331.0
114,2015-04-25,1,11.6,15.0,3.5,3.0,1141.0,1696.0,5303.0,2709.0,26462.0
115,2015-04-26,0,10.4,15.4,5.9,7.0,1195.0,1350.0,2158.0,1579.0,21692.0
116,2015-04-27,0,10.5,15.1,8.3,4.0,4498.0,14454.0,3088.0,10208.0,20935.0
117,2015-04-28,0,10.1,16.0,8.9,1.6,4793.0,15725.0,3046.0,10842.0,20469.0
118,2015-04-29,0,7.4,17.1,12.6,0.0,5195.0,15583.0,3583.0,10906.0,23250.0
119,2015-04-30,0,6.4,19.6,12.3,0.0,5131.0,15848.0,3551.0,10980.0,24901.0
120,2015-05-01,0,7.9,23.1,12.1,0.0,5346.0,16273.0,5129.0,11593.0,31623.0
121,2015-05-02,0,11.6,22.2,6.1,0.0,2225.0,2453.0,3767.0,2294.0,27949.0
122,2015-05-03,0,9.7,18.2,11.2,0.0,1681.0,1731.0,2509.0,1585.0,20971.0
123,2015-05-04,0,7.5,22.3,11.6,0.0,4756.0,15466.0,2908.0,10688.0,20999.0
124,2015-05-05,0,9.2,18.1,7.1,0.6,5157.0,15613.0,2838.0,10713.0,19086.0
125,2015-05-06,0,9.5,16.2,7.6,1.4,5105.0,15689.0,2849.0,10564.0,21674.0
126,2015-05-07,0,10.3,15.6,6.9,2.2,5309.0,16217.0,3157.0,10703.0,23099.0
127,2015-05-08,0,10.5,15.9,5.9,0.2,6292.0,16612.0,4613.0,10777.0,29759.0
128,2015-05-09,0,12.8,18.7,7.3,0.0,2012.0,2151.0,2732.0,2240.0,26673.0
129,2015-05-10,0,12.8,16.6,5.9,8.6,1290.0,1233.0,2502.0,1220.0,18493.0
130,2015-05-11,0,12.4,15.9,7.9,2.6,4546.0,15665.0,2758.0,10579.0,19658.0
131,2015-05-12,0,12.8,17.4,5.9,0.0,5127.0,16332.0,3537.0,10917.0,19359.0
132,2015-05-13,0,6.3,12.8,8.7,6.8,4742.0,15928.0,3034.0,10626.0,19900.0
133,2015-05-14,0,7.3,14.6,6.7,4.4,5135.0,16296.0,2931.0,10950.0,23397.0
134,2015-05-15,0,11.5,14.5,6.2,1.8,6354.0,16817.0,3583.0,10459.0,28606.0
135,2015-05-16,0,11.3,16.2,10.4,0.0,1779.0,2283.0,3494.0,2520.0,27935.0
136,2015-05-17,0,7.4,20.5,10.3,0.0,1501.0,1622.0,3929.0,1839.0,21997.0
137,2015-05-18,0,7.2,20.4,10.2,0.0,5033.0,15931.0,4040.0,10413.0,21416.0
