Asset_Type,Equipment_ID,Date_Install,Longitude,Latitude,STREET_1,STREET_2,Suburb,RMS_Region
VEH ,2882,08-Apr-93,151.149441598,-34.0504223057,KINGSWAY,KURNELL RD(W-),CRONULLA,Sydney
VEH ,2883,15-May-92,150.963817367,-33.8157500281,CUMBERLAND HWY,M4 E/B RAMP,SOUTH WENTWORTHVILLE,Sydney
VEH ,2884,15-Apr-93,150.941204081,-33.8796803833,SACKVILLE ST,THE AVENUE,CANLEY VALE,Sydney
VEH ,2885,01-Dec-92,151.025114331,-33.8765870059,PARK RD,PRINCES RD,REGENTS PARK,Sydney
VEH ,2886,28-Jan-92,151.09032371,-33.88912174,CORONATION PDE,PLYMOUTH ST,ENFIELD,Sydney
VEH ,2887,21-Oct-93,150.894089418,-34.3878875859,PRINCES HWY,JARDINE ST,FAIRY MEADOW,Southern
VEH ,2888,22-Mar-93,150.692427696,-33.7500602988,JANE ST,PENRITH PLAZA ENTRANCE,PENRITH,Sydney
VEH ,2890,20-Jul-92,148.691185631,-33.8346766724,KENDAL ST,BRISBANE ST,COWRA,Western
VEH ,2891,25-May-66,151.205154605,-33.8677345544,BARRACK ST,CLARENCE ST,SYDNEY,Sydney
VEH ,2892,25-Jul-38,151.205909864,-33.8676978795,BARRACK ST,YORK ST,SYDNEY,Sydney
VEH ,2893,23-Dec-98,151.217340789,-33.8826111076,FLINDERS ST,SHORT ST,SURRY HILLS,Sydney
VEH ,2894,25-Mar-93,151.138768045,-33.7290095085,BOBBIN HEAD RD,PENTECOST AV,TURRAMURRA,Sydney
VEH ,2895,26-Nov-93,151.126765715,-33.7330499466,PACIFIC HWY,RAY ST,TURRAMURRA,Sydney
VEH ,2896,05-Sep-93,151.070041538,-33.857499853,HOMEBUSH BAY DR,M4 W/B ON RAMP,HOMEBUSH WEST,Sydney
VEH ,2897,27-Jan-93,151.117761113,-33.9263990432,WILLIAM ST,WOOLCOTT ST,EARLWOOD,Sydney
VEH ,2898,11-Feb-93,151.237639255,-33.9124512249,ALISON RD,BOTANY ST,RANDWICK,Sydney
VEH ,2899,22-Dec-92,149.604153497,-33.4186940507,GREAT WESTERN HWY,GILMOUR ST,KELSO,Western
VEH ,2900,22-Dec-92,149.605264084,-33.4187608645,GREAT WESTERN HWY,BOYD ST,KELSO,Western
PED ,2901,14-Jul-95,151.779049001,-32.9262728551,SCOTT ST,PERKINS ST (@),NEWCASTLE,Hunter
PED ,2902,10-Oct-91,151.612621928,-32.9235465635,MAIN RD,SUTTOR ST (E-),EDGEWORTH,Hunter
