node_id,longitude,latitude,geometry
11738423573,145.0034834,-37.5948017,POINT (145.0034834 -37.5948017)
11738423574,145.0028733,-37.5957794,POINT (145.0028733 -37.5957794)
11738423583,145.0030807,-37.5951685,POINT (145.0030807 -37.5951685)
11738423624,145.0075522,-37.5959462,POINT (145.0075522 -37.5959462)
11738423626,145.0089127,-37.5964066,POINT (145.0089127 -37.5964066)
11738423634,145.0097957,-37.5963026,POINT (145.0097957 -37.5963026)
11738423641,145.0090625,-37.595456,POINT (145.0090625 -37.595456)
11738423644,145.0089519,-37.5961579,POINT (145.0089519 -37.5961579)
11738440644,144.9850157,-37.5937509,POINT (144.9850157 -37.5937509)
11738440645,144.9869541,-37.5919742,POINT (144.9869541 -37.5919742)
11738440646,144.98729,-37.5924685,POINT (144.98729 -37.5924685)
11738440647,144.9878358,-37.5930168,POINT (144.9878358 -37.5930168)
11738440652,144.983988,-37.5917781,POINT (144.983988 -37.5917781)
11738445787,145.0195542,-37.5909884,POINT (145.0195542 -37.5909884)
11738445790,145.0210089,-37.5914222,POINT (145.0210089 -37.5914222)
11738445796,145.0227522,-37.5920319,POINT (145.0227522 -37.5920319)
11738445798,145.0228906,-37.591047,POINT (145.0228906 -37.591047)
11738445817,145.0217519,-37.5918831,POINT (145.0217519 -37.5918831)
11738445821,145.0240377,-37.5921708,POINT (145.0240377 -37.5921708)
11738445822,145.0236583,-37.5921275,POINT (145.0236583 -37.5921275)
11738483468,145.0201482,-37.586352,POINT (145.0201482 -37.586352)
11738542073,145.0207424,-37.5810324,POINT (145.0207424 -37.5810324)
11738542074,145.0187859,-37.5808389,POINT (145.0187859 -37.5808389)
11738542076,145.0174967,-37.5804805,POINT (145.0174967 -37.5804805)
11738542077,145.0172249,-37.5804129,POINT (145.0172249 -37.5804129)
11738542080,145.0133693,-37.5799863,POINT (145.0133693 -37.5799863)
11738542084,145.0170001,-37.5793396,POINT (145.0170001 -37.5793396)
11738542085,145.0167984,-37.5803599,POINT (145.0167984 -37.5803599)
11738542086,145.0166646,-37.5792857,POINT (145.0166646 -37.5792857)
11738542088,145.0189387,-37.5793824,POINT (145.0189387 -37.5793824)
11738542092,145.01768,-37.5795806,POINT (145.01768 -37.5795806)
11738542093,145.0187172,-37.5796878,POINT (145.0187172 -37.5796878)
11738542094,145.0185287,-37.5799482,POINT (145.0185287 -37.5799482)
11738542098,145.0196512,-37.5794591,POINT (145.0196512 -37.5794591)
11738542100,145.0203126,-37.5782647,POINT (145.0203126 -37.5782647)
11738542124,145.0167064,-37.583407,POINT (145.0167064 -37.583407)
11738542126,145.0209041,-37.5828076,POINT (145.0209041 -37.5828076)
11738542127,145.0177479,-37.582479,POINT (145.0177479 -37.582479)
11738542129,145.0179272,-37.5813246,POINT (145.0179272 -37.5813246)
11738542131,145.0175042,-37.5838244,POINT (145.0175042 -37.5838244)
11738542132,145.0187827,-37.5825842,POINT (145.0187827 -37.5825842)
11738542133,145.0188605,-37.5820241,POINT (145.0188605 -37.5820241)
11738542137,145.0186839,-37.5814402,POINT (145.0186839 -37.5814402)
11738542141,145.0179665,-37.5811388,POINT (145.0179665 -37.5811388)
11738542143,145.0187093,-37.5812468,POINT (145.0187093 -37.5812468)
11738542145,145.0170743,-37.5812335,POINT (145.0170743 -37.5812335)
11738542148,145.0160003,-37.5802709,POINT (145.0160003 -37.5802709)
11738542159,145.014868,-37.5794072,POINT (145.014868 -37.5794072)
11738542172,145.012397,-37.5829576,POINT (145.012397 -37.5829576)
11738542174,145.0123118,-37.5835999,POINT (145.0123118 -37.5835999)
11738542175,145.0129903,-37.5805932,POINT (145.0129903 -37.5805932)
11738542180,145.0169923,-37.5817229,POINT (145.0169923 -37.5817229)
11738542182,145.0135723,-37.5813674,POINT (145.0135723 -37.5813674)
11738542183,145.013677,-37.5807028,POINT (145.013677 -37.5807028)
11738542188,145.0140664,-37.5827596,POINT (145.0140664 -37.5827596)
11738542189,145.0167693,-37.5830404,POINT (145.0167693 -37.5830404)
11738542190,145.0134641,-37.5819838,POINT (145.0134641 -37.5819838)
11738542192,145.0168878,-37.5823459,POINT (145.0168878 -37.5823459)
11738542195,145.0156854,-37.5822203,POINT (145.0156854 -37.5822203)
11738542196,145.0157866,-37.5815966,POINT (145.0157866 -37.5815966)
11738542199,145.0126992,-37.581263,POINT (145.0126992 -37.581263)
11738542208,145.0139505,-37.5835168,POINT (145.0139505 -37.5835168)
11738542211,145.0114688,-37.5837848,POINT (145.0114688 -37.5837848)
11738542212,145.0095394,-37.5840773,POINT (145.0095394 -37.5840773)
11738542216,145.0172693,-37.5851185,POINT (145.0172693 -37.5851185)
11738542220,145.016773,-37.5859683,POINT (145.016773 -37.5859683)
11738542221,145.0168145,-37.5856768,POINT (145.0168145 -37.5856768)
11738542224,145.019429,-37.5859952,POINT (145.019429 -37.5859952)
11738542227,145.0202844,-37.5855466,POINT (145.0202844 -37.5855466)
11738542228,145.0195175,-37.585467,POINT (145.0195175 -37.585467)
11738542229,145.0193855,-37.5862461,POINT (145.0193855 -37.5862461)
11738542230,145.0169455,-37.5853685,POINT (145.0169455 -37.5853685)
11738542231,145.0163709,-37.5852861,POINT (145.0163709 -37.5852861)
11738542232,145.0160581,-37.5852569,POINT (145.0160581 -37.5852569)
11738542233,145.0190161,-37.583991,POINT (145.0190161 -37.583991)
11738542235,145.0189992,-37.5845759,POINT (145.0189992 -37.5845759)
11738542236,145.0190712,-37.5847995,POINT (145.0190712 -37.5847995)
11738542238,145.0189922,-37.5854117,POINT (145.0189922 -37.5854117)
11738542239,145.0173757,-37.5846117,POINT (145.0173757 -37.5846117)
11738542242,145.0203875,-37.5849347,POINT (145.0203875 -37.5849347)
11738542243,145.0176338,-37.58314,POINT (145.0176338 -37.58314)
11738542246,145.0204958,-37.5827619,POINT (145.0204958 -37.5827619)
11738542250,145.0115882,-37.5821362,POINT (145.0115882 -37.5821362)
11738542252,145.0114756,-37.5828596,POINT (145.0114756 -37.5828596)
11738542254,145.0115112,-37.5825022,POINT (145.0115112 -37.5825022)
11738542258,145.009734,-37.5840483,POINT (145.009734 -37.5840483)
11738542270,145.0105971,-37.5839173,POINT (145.0105971 -37.5839173)
11738542272,145.0106072,-37.5824004,POINT (145.0106072 -37.5824004)
11738666469,144.9914647,-37.6154282,POINT (144.9914647 -37.6154282)
11738666472,144.9889304,-37.6086341,POINT (144.9889304 -37.6086341)
11738666480,144.9889578,-37.608527,POINT (144.9889578 -37.608527)
11738666506,144.9923743,-37.612951,POINT (144.9923743 -37.612951)
11738666508,144.9925872,-37.6122387,POINT (144.9925872 -37.6122387)
11738666510,144.9909406,-37.6126416,POINT (144.9909406 -37.6126416)
11738666511,144.9903294,-37.611737,POINT (144.9903294 -37.611737)
11738666512,144.9902834,-37.6123251,POINT (144.9902834 -37.6123251)
11738666517,144.9923304,-37.6155155,POINT (144.9923304 -37.6155155)
11738666522,144.9908874,-37.6136199,POINT (144.9908874 -37.6136199)
11738666569,144.9906649,-37.6034781,POINT (144.9906649 -37.6034781)
11738666570,144.989208,-37.6033266,POINT (144.989208 -37.6033266)
11738666572,144.9896088,-37.6033683,POINT (144.9896088 -37.6033683)
11738666574,144.9895648,-37.6036975,POINT (144.9895648 -37.6036975)
11738666575,144.9900788,-37.6034172,POINT (144.9900788 -37.6034172)
11738666576,144.990126,-37.6031899,POINT (144.990126 -37.6031899)
11738666591,144.9818819,-37.6008172,POINT (144.9818819 -37.6008172)
11738666593,144.9827373,-37.6009117,POINT (144.9827373 -37.6009117)
11738702407,145.0051221,-37.6186823,POINT (145.0051221 -37.6186823)
11738702408,145.0086999,-37.6190155,POINT (145.0086999 -37.6190155)
11738702414,145.0060095,-37.6187649,POINT (145.0060095 -37.6187649)
11738702415,145.0062899,-37.6169714,POINT (145.0062899 -37.6169714)
11738702418,145.0072942,-37.6188846,POINT (145.0072942 -37.6188846)
11738702419,145.0075585,-37.6171848,POINT (145.0075585 -37.6171848)
11738702424,145.0074446,-37.6179225,POINT (145.0074446 -37.6179225)
11738702425,145.0088271,-37.6180555,POINT (145.0088271 -37.6180555)
11738702465,145.0094051,-37.6191574,POINT (145.0094051 -37.6191574)
