name,operator,suburb,longitude,latitude
Fire Station No. 23,Fire Rescue Victoria,Burwood,145.0981599,-37.8534566
Monbulk CFA,,,145.4053316,-37.874021
Selby CFA,,,145.3679879,-37.9114643
Christmas Hills South CFA,Country Fire Authority,,145.2855089,-37.7006241
,,,145.6094188,-37.7823196
Healesville CFA,,,145.5179128,-37.6564739
Gembrook CFA,,,145.5511301,-37.9516934
,,,145.0445008,-38.4273941
Whittlesea Urban Fire Brigade,,,145.1160277,-37.5143789
CFA Whittlesea Satellite Station,,,145.0738373,-37.4961329
Mernda CFA,,,145.1025492,-37.5949533
Berwick Fire Station,Country Fire Authority,,145.3438885,-38.0372547
Country Fire Authority,Country Fire Authority,,145.3117766,-38.220964
Cannons Creek CFA,,,145.3152374,-38.2132476
Baxter Fire Station,,,145.1569939,-38.1949399
Panton Hill CFA,,,145.2434848,-37.6383956
Diamond Creek Fire Brigade,Country Fire Authority,,145.1609547,-37.6740548
Werribee Fire Brigade,,,144.6627278,-37.904827
Edithvale Fire Brigade,,,145.1079847,-38.0363464
Wandin CFA,Country Fire Authority,,145.431427,-37.781893
CFA,,,145.3575665,-37.7757032
Tynong CFA,,Tynong,145.6287422,-38.0856159
Narre Warren East Fire Brigade,,,145.3613739,-37.9623257
Clyde CFA,,,145.3308561,-38.1328984
Blairgowrie Fire Station,Country Fire Authority,,144.7834479,-38.3633256
Devon Meadows CFA,,,145.3017895,-38.1581726
Bunyip CFA,Country Fire Authority,Bunyip,145.7174309,-38.0973726
CFA,,,145.5323789,-37.6797642
CFA,,,145.4176775,-37.6035416
CFA,,,145.5466986,-37.7861411
CFA,,,145.6543651,-37.8245283
CFA,,,145.7491999,-37.86264
Patterson River Fire Brigade,Country Fire Authority,Carrum,145.1279449,-38.0742634
Hoddles Creek Rural Fire Brigade (CFA),,,145.5931299,-37.8399145
Fire Station No. 90,Fire Rescue Victoria,Carrum,145.1276174,-38.0743683
CFA,,,145.5300646,-37.7770433
CFA,,,145.0332994,-37.5917452
Clyde Satellite Fire Station (Clyde North),Country Fire Authority,Clyde North,145.3404668,-38.0916992
Coldstream CFA,,,145.3804739,-37.7243394
Mount Martha CFA,,,145.0242813,-38.2704662
Fire Station No. 46,Fire Rescue Victoria,Altona,144.8170074565688,-37.86421335
Fire Station No. 6,Fire Rescue Victoria,Pascoe Vale,144.93803181436778,-37.73164625
Fire Station No. 2,Fire Rescue Victoria,West Melbourne,144.95090466810905,-37.81050035
Fire Station No. 51,Fire Rescue Victoria,Keilor East,144.86331726683335,-37.74073465
Fire Station No. 3,Fire Rescue Victoria,Carlton,144.96228857639727,-37.80389265
Fire Station No. 91,Fire Rescue Victoria,Frankston,145.1265537792811,-38.146067099999996
Upper Ferntree Gully CFA,,Upper Ferntree Gully,145.31234085,-37.8930937
Fire Station No. 33,Fire Rescue Victoria,Mentone,145.07086913484434,-37.981114399999996
Olinda CFA,,,145.3654057149806,-37.85649945
Lilydale CFA,Country Fire Authority,,145.35330744986447,-37.758356649999996
Fire Rescue Victoria Burnley Complex,Fire Rescue Victoria,Richmond,145.00528227267884,-37.82932325
CFA Epping Fire Station,,,145.0259270359567,-37.63711155
Fire Station No. 81,Fire Rescue Victoria,South Morang,145.09071389451046,-37.6477391
,,,145.10243696273145,-37.59517225
Narre Warren Fire Brigade,,,145.30122229127727,-38.05795465
Narre Warren East Fire Brigade,,,145.36140891643493,-37.962336
Belgrave CFA,Country Fire Authority,,145.35673478989855,-37.9093362
Fire Station No. 27,Fire Rescue Victoria,Nunawading,145.17762545231795,-37.8189621
Country Fire Authority,Country Fire Authority,,145.37345148852683,-37.65673195
Woori Yallock CFA,,,145.5306845001461,-37.78231135
Seville CFA,Country Fire Authority,Seville,145.45769502467036,-37.7776539
Hastings CFA,Country Fire Authority,,145.18264049788888,-38.308056199999996
Boneo CFA,,,144.88764980000002,-38.39882655
