,Suburb,Postcode,Address,Price pw,Date available,Number of bedrooms,Number of bathrooms,Number of carspaces,Type of property,suburb_formatted,address_formatted,latitude,longitude
163,Southbank,3006,"2308/163 City Road, Southbank, Vic 3006",860,27/8/2025,3,2,1,Apartment,southbank,"163 City Road, Southbank, Vic",-37.8242459,144.9626834
164,Southbank,3006,"1003/80 Clarendon Street, Southbank, Vic 3006",849,5/8/2025,2,2,1,Apartment,southbank,"80 Clarendon Street, Southbank, Vic",-37.8270546,144.9575709
165,South Wharf,3006,"323/20 Convention Centre Place, South Wharf, Vic 3006",830,11/8/2025,2,2,2,Apartment,southwharf,"20 Convention Centre Place, South Wharf, Vic",-37.8242605,144.949431
166,South Wharf,3006,"302/20 Convention Centre Place, South Wharf, Vic 3006",850,5/8/2025,2,2,1,Townhouse,southwharf,"20 Convention Centre Place, South Wharf, Vic",-37.8242605,144.949431
167,West Melbourne,3003,"508/5 Wominjeka Walk, West Melbourne, Vic 3003",720,5/8/2025,2,1,1,Apartment,westmelbourne,"5 Wominjeka Walk, West Melbourne, Vic",-37.810273,144.9486943
168,West Melbourne,3003,"1112/65 Dudley Street, West Melbourne, Vic 3003",640,5/8/2025,2,1,1,Apartment,westmelbourne,"65 Dudley Street, West Melbourne, Vic",-37.8100944,144.9505256
169,West Melbourne,3003,"5/50 Dudley St, West Melbourne, Vic 3003",390,5/8/2025,1,3,0,Studio,westmelbourne,"50 Dudley St, West Melbourne, Vic",-37.8086468,144.9535676
170,West Melbourne,3003,"308/53 Batman Street, West Melbourne, Vic 3003",500,5/8/2025,1,1,0,Apartment,westmelbourne,"53 Batman Street, West Melbourne, Vic",-37.8110221,144.9515219
171,West Melbourne,3003,"408/33 Batman Street, West Melbourne, Vic 3003",575,5/8/2025,2,1,1,Apartment,westmelbourne,"33 Batman Street, West Melbourne, Vic",-37.811688,144.9484318
172,West Melbourne,3003,"104/5 Stawell Street, West Melbourne, Vic 3003",475,18/8/2025,1,1,0,Apartment,westmelbourne,"5 Stawell Street, West Melbourne, Vic",-37.8060155,144.9420453
173,West Melbourne,3003,"713/65 Dudley Street, West Melbourne, Vic 3003",640,5/8/2025,2,1,0,Apartment,westmelbourne,"65 Dudley Street, West Melbourne, Vic",-37.8100944,144.9505256
174,West Melbourne,3003,"222 Rosslyn Street, West Melbourne, Vic 3003",1700,5/8/2025,3,2,2,Townhouse,westmelbourne,"222 Rosslyn Street, West Melbourne, Vic",-37.809737,144.9477631
175,Albert Park,3206,"2/80 Kerferd Road, Albert Park, Vic 3206",580,14/8/2025,2,1,0,Apartment,albertpark,"80 Kerferd Road, Albert Park, Vic",-37.8447239,144.955676
176,Albert Park,3206,"169 Danks St, Albert Park, Vic 3206",725,3/9/2025,2,1,0,House,albertpark,"169 Danks St, Albert Park, Vic",-37.8470613,144.9519344
177,Albert Park,3206,"G05/88 Beaconsfield Parade, Albert Park, Vic 3206",690,5/8/2025,1,1,1,Apartment,albertpark,"88 Beaconsfield Parade, Albert Park, Vic",-37.8471318,144.9480926
178,St Kilda,3182,"9/6 Redan Street, St Kilda, Vic 3182",565,29/8/2025,2,1,1,Apartment,stkilda,"6 Redan Street, St Kilda, Vic",-37.8598889,144.9897603
179,St Kilda,3182,"110/163 Fitzroy Street, St Kilda, Vic 3182",480,5/9/2025,1,1,0,Apartment,stkilda,"163 Fitzroy Street, St Kilda, Vic",-37.8579351,144.9806346
180,St Kilda,3182,"8/52 Alma Road, St Kilda, Vic 3182",495,15/8/2025,1,1,1,Apartment,stkilda,"52 Alma Road, St Kilda, Vic",-37.8607076,144.9873624
181,St Kilda,3182,"5/103 Barkly Street, St Kilda, Vic 3182",650,13/8/2025,3,1,0,Apartment,stkilda,"103 Barkly Street, St Kilda, Vic",-37.8637461,144.9816171
182,South Melbourne,3205,"11/287 Bank Street, South Melbourne, Vic 3205",1100,14/8/2025,3,2,1,Apartment,southmelbourne,"287 Bank Street, South Melbourne, Vic",-37.8359156,144.955552
183,South Melbourne,3205,"409/69-71 Stead Street, South Melbourne, Vic 3205",500,22/9/2025,1,1,1,Apartment,southmelbourne,"69-71 Stead Street, South Melbourne, Vic",-37.8359023,144.9691352
184,South Melbourne,3205,"202/274 Coventry Street, South Melbourne, Vic 3205",635,10/9/2025,2,2,1,Apartment,southmelbourne,"274 Coventry Street, South Melbourne, Vic",-37.8318611,144.9590231
185,South Melbourne,3205,"1704/41 Bank Street, South Melbourne, Vic 3205",575,5/8/2025,1,1,0,Apartment,southmelbourne,"41 Bank Street, South Melbourne, Vic",-37.832192,144.9684478
186,South Melbourne,3205,"388 Coventry Street, South Melbourne, Vic 3205",1200,7/8/2025,3,2,0,House,southmelbourne,"388 Coventry Street, South Melbourne, Vic",-37.8333806,144.9539781
187,Fitzroy,3065,"1/34 Alexandra Parade, Fitzroy, Vic 3065",650,8/8/2025,2,1,2,Townhouse,fitzroy,"34 Alexandra Parade, Fitzroy, Vic",-37.7934256,144.9771443
188,Fitzroy,3065,"205/41 Kerr St, Fitzroy, Vic 3065",650,15/9/2025,1,1,1,Apartment,fitzroy,"41 Kerr St, Fitzroy, Vic",-37.7963801,144.976917
189,Fitzroy,3065,"2/5 St David Street, Fitzroy, Vic 3065",540,5/8/2025,1,1,1,Apartment,fitzroy,"5 St David Street, Fitzroy, Vic",-37.8005332,144.9787012
190,Fitzroy,3065,"32/98 Nicholson Street, Fitzroy, Vic 3065",450,5/8/2025,1,1,0,Apartment,fitzroy,"98 Nicholson Street, Fitzroy, Vic",-37.8029883,144.9747417
191,Collingwood,3066,"1408D/21 Robert Street, Collingwood, Vic 3066",750,1/9/2025,2,2,1,Apartment,collingwood,"21 Robert Street, Collingwood, Vic",-37.8056976,144.9872391
192,Collingwood,3066,"604D/21 Robert Street, Collingwood, Vic 3066",750,5/9/2025,2,2,1,Apartment,collingwood,"21 Robert Street, Collingwood, Vic",-37.8056976,144.9872391
193,Collingwood,3066,"9/99 Oxford Street, Collingwood, Vic 3066",480,5/8/2025,1,1,1,Apartment,collingwood,"99 Oxford Street, Collingwood, Vic",-37.8036391,144.984611
194,Collingwood,3066,"214/31 Wellington Street, Collingwood, Vic 3066",875,13/8/2025,2,2,1,Apartment,collingwood,"31 Wellington Street, Collingwood, Vic",-37.8074152,144.9857337
195,Richmond,3121,"3/28 Tanner Street, Richmond, Vic 3121",1050,5/8/2025,2,2,1,Apartment,richmond,"28 Tanner Street, Richmond, Vic",-37.8231946,144.9917505
196,Richmond,3121,"51 Farmer Street, Richmond, Vic 3121",1150,5/8/2025,3,2,1,House,richmond,"51 Farmer Street, Richmond, Vic",-37.8262424,145.009948
197,Richmond,3121,"124/8 Garfield Street, Richmond, Vic 3121",490,12/8/2025,1,1,1,Apartment,richmond,"8 Garfield Street, Richmond, Vic",-37.8118544,144.9927345
198,Richmond,3121,"22 Davison Street, Richmond, Vic 3121",775,5/8/2025,3,1,1,House,richmond,"22 Davison Street, Richmond, Vic",-37.8122106,145.0080359
199,Richmond,3121,"309/253 Bridge Road, Richmond, Vic 3121",525,16/9/2025,1,1,1,Apartment,richmond,"253 Bridge Road, Richmond, Vic",-37.8181854,144.9978333
200,Rosanna,3084,"31/1045 Whitehorse Road, Box Hill, Vic 3128",660,6/8/2025,3,1,0,Apartment,rosanna,"1045 Whitehorse Road, Box Hill, Vic",-37.8182599,145.1281647
201,Rosanna,3084,"3/22 Station Road, Rosanna, Vic 3084",750,16/8/2025,3,2,1,Townhouse,rosanna,"22 Station Road, Rosanna, Vic",-37.7449021,145.0704042
202,Rosanna,3084,"85 Mountain View Parade, Rosanna, Vic 3084",750,18/8/2025,4,2,2,Apartment,rosanna,"85 Mountain View Parade, Rosanna, Vic",-37.7392124,145.0604859
203,Rosanna,3084,"7/46 Station Road, Rosanna, Vic 3084",750,12/8/20252,2,2,1,Townhouse,rosanna,"46 Station Road, Rosanna, Vic",-37.7443986,145.0679042
204,Rosanna,3084,"137 Rosanna Road, Rosanna, Vic 3084",799,6/8/2025,3,2,2,House,rosanna,"137 Rosanna Road, Rosanna, Vic",-37.7467295,145.0712067
205,Hiedelberg,3084,"405/76 Darebin Street, Heidelberg, Vic 3084",500,6/8/2025,2,1,1,Apartment,hiedelberg,"76 Darebin Street, Heidelberg, Vic",-37.753421,145.0611986
206,Hiedelberg,3084,"9/127 Hawdon Street, Heidelberg, Vic 3084",530,15/8/2025,2,1,1,Apartment,hiedelberg,"127 Hawdon Street, Heidelberg, Vic",-37.7528369,145.0649863
207,Hiedelberg,3084,"10/75 Hawdon Street, Heidelberg, Vic 3084",480,6/8/2025,2,1,1,Apartment,hiedelberg,"75 Hawdon Street, Heidelberg, Vic",-37.7569081,145.0642671
208,Hiedelberg,3084,"7/68 Yarra Street, Heidelberg, Vic 3084",650,15/8/2025,2,1,1,Townhouse,hiedelberg,"68 Yarra Street, Heidelberg, Vic",-37.7577115,145.0632713
209,Hiedelberg,3084,"2/16 Edgar Street, Heidelberg, Vic 3084",600,6/8/2025,3,1,2,Townhouse,hiedelberg,"16 Edgar Street, Heidelberg, Vic",-37.7491015,145.0707284
210,Craigeburn,3064,"13 Gateshead Street, Craigieburn, Vic 3064",650,6/8/2025,4,2,2,House,craigeburn,"13 Gateshead Street, Craigieburn, Vic",-37.5704704,144.9048577
211,Craigeburn,3064,"9 Goodrich Court, Craigieburn, Vic 3064",550,6/8/2025,4,2,2,House,craigeburn,"9 Goodrich Court, Craigieburn, Vic",-37.6112455,144.9320777
212,Craigeburn,3064,"20 Birdswood Crescent, Craigieburn, Vic 3064",590,6/8/2025,4,2,2,House,craigeburn,"20 Birdswood Crescent, Craigieburn, Vic",-37.5826295,144.9095209
213,Craigeburn,3064,"3 Bottlebrush Road, Craigieburn, Vic 3064",620,14/6/2025,4,2,2,House,craigeburn,"3 Bottlebrush Road, Craigieburn, Vic",-37.5737649,144.9118638
214,Craigeburn,3064,"88 Yarcombe Crescent, Craigieburn, Vic 3064",510,6/8/2025,4,1,2,House,craigeburn,"88 Yarcombe Crescent, Craigieburn, Vic",-37.6114457,144.9269146
215,Pascoe vale,3044,"3/83 Essex Street, Pascoe Vale, Vic 3044",500,1/9/2025,2,1,1,Unit,pascoevale,"83 Essex Street, Pascoe Vale, Vic",-37.7270132,144.9410607
216,Pascoe vale,3044,"1/6 Kinross Street, Pascoe Vale, Vic 3044",700,11/8/2025,3,2,2,Townhouse,pascoevale,"6 Kinross Street, Pascoe Vale, Vic",-37.7341697,144.9408004
217,Pascoe vale,3044,"1/7 Adelaide Street, Pascoe Vale, Vic 3044",720,6/8/2025,3,2,1,House,pascoevale,"7 Adelaide Street, Pascoe Vale, Vic",-37.7264626,144.9218796
218,Pascoe vale,3044,"13 Kitchener Road, Pascoe Vale, Vic 3044",600,1/9/2025,3,1,2,House,pascoevale,"13 Kitchener Road, Pascoe Vale, Vic",-37.718254,144.9380741
219,Pascoe vale,3044,"2/14 Bolingbroke Street, Pascoe Vale, Vic 3044",580,13/8/2025,2,2,1,House,pascoevale,"14 Bolingbroke Street, Pascoe Vale, Vic",-37.7322435,144.936236
220,Brunswick,3056,"109/300 Victoria Street, Brunswick, Vic 3056",630,6/8/2025,2,1,1,Unit,brunswick,"300 Victoria Street, Brunswick, Vic",-37.7674598,144.9633086
221,Brunswick,3056,"127/397 Albert Street, Brunswick, Vic 3056",1075,28/8/2025,2,1,1,Apartment,brunswick,"397 Albert Street, Brunswick, Vic",-37.7675285,144.9524095
222,Brunswick,3056,"625/397 Albert Street, Brunswick, Vic 3056",690,28/8/2025,1,1,1,Apartment,brunswick,"397 Albert Street, Brunswick, Vic",-37.7675285,144.9524095
223,Brunswick,3056,"903/395 Albert Street, Brunswick, Vic 3056",1310,28/8/2025,3,2,1,Apartment,brunswick,"395 Albert Street, Brunswick, Vic",-37.7675766,144.9527864
224,Brunswick,3056,"5/64 Davies Street, Brunswick, Vic 3056",670,9/9/2025,3,1,2,Townhouse,brunswick,"64 Davies Street, Brunswick, Vic",-37.7572477,144.9693138
