,Suburb,Postcode,Address,Price pw,Date available,Number of bedrooms,Number of bathrooms,Number of carspaces,Type of property,suburb_formatted,address_formatted,latitude,longitude
280,Avondale Heights,3034,"8 Hanley Street, Avondale Heights, Vic 3034",620,7/8/2025,3,2,2,House,avondaleheights,"8 Hanley Street, Avondale Heights, Vic",-37.7613084,144.8562041
281,Avondale Heights,3034,"7B Westminster Dr, Avondale Heights, Vic 3034",710,15/8/2025,3,2,1,Townhouse,avondaleheights,"7B Westminster Dr, Avondale Heights, Vic",-37.7641341,144.8615149
282,Avondale Heights,3034,"5 Mckenna Street, Avondale Heights, Vic 3034",550,7/8/2025,3,1,1,House,avondaleheights,"5 Mckenna Street, Avondale Heights, Vic",-37.7683173,144.8679868
283,Avondale Heights,3034,"5 Selo Walk, Avondale Heights, Vic 3034",580,7/8/2025,3,2,2,Townhouse,avondaleheights,"5 Selo Walk, Avondale Heights, Vic",-37.7646412,144.8626821
284,Avondale Heights,3034,"5 Edmonds Ct, Avondale Heights, Vic 3034",750,18/8/2025,3,2,2,House,avondaleheights,"5 Edmonds Ct, Avondale Heights, Vic",-37.7506953,144.8514337
285,Werribee,3030,"6 Pigeon Street, Werribee, Vic 3030",460,7/8/2025,3,1,1,House,werribee,"6 Pigeon Street, Werribee, Vic",-37.8889304,144.6677636
286,Werribee,3030,"1B Filippin Court, Werribee, Vic 3030",430,15/8/2025,2,1,1,House,werribee,"1B Filippin Court, Werribee, Vic",-37.9081268,144.6659915
287,Werribee,3030,"20 Kimzy Circuit, Werribee, Vic 3030",460,7/8/2025,3,2,2,House,werribee,"20 Kimzy Circuit, Werribee, Vic",-37.9197732,144.6461488
288,Werribee,3030,"5 Chestnut Grove, Werribee, Vic 3030",460,14/8/2025,3,2,2,House,werribee,"5 Chestnut Grove, Werribee, Vic",-37.8920627,144.6710555
289,Werribee,3030,"38 Wedgebill Circuit, Werribee, Vic 3030",550,7/8/2025,4,3,2,House,werribee,"38 Wedgebill Circuit, Werribee, Vic",-37.9106751,144.6069592
290,Wyndham Vale,3024,"40 Margie Street, Wyndham Vale, Vic 3024",480,12/9/2025,4,2,2,House,wyndhamvale,"40 Margie Street, Wyndham Vale, Vic",-37.8698471,144.6289936
291,Wyndham Vale,3024,"8 Earlwood Way, Wyndham Vale, Vic 3024",460,15/8/2025,4,2,1,Townhouse,wyndhamvale,"8 Earlwood Way, Wyndham Vale, Vic",-37.8507531,144.5947249
292,Wyndham Vale,3024,"3 Cloudburst Avenue, Wyndham Vale, Vic 3024",570,21/8/2025,5,3,2,House,wyndhamvale,"3 Cloudburst Avenue, Wyndham Vale, Vic",-37.8680858,144.6155572
293,Wyndham Vale,3024,"2/29 Lady Penrhyn Drive, Wyndham Vale, Vic 3024",480,7/8/2025,3,1,1,Unit,wyndhamvale,"29 Lady Penrhyn Drive, Wyndham Vale, Vic",-37.8806308,144.6283974
294,Wyndham Vale,3024,"5 Dundas Road, Wyndham Vale, Vic 3024",500,1/9/2025,4,2,2,House,wyndhamvale,"5 Dundas Road, Wyndham Vale, Vic",-37.8781557,144.6262292
295,Caroline Springs,3023,"4 Hampstead Green, Caroline Springs, Vic 3023",540,7/8/2025,3,2,4,House,carolinesprings,"4 Hampstead Green, Caroline Springs, Vic",-37.7426782,144.7334079
296,Caroline Springs,3023,"6 Streeton Avenue, Caroline Springs, Vic 3023",510,7/8/2025,3,1,2,House,carolinesprings,"6 Streeton Avenue, Caroline Springs, Vic",-37.7088957,144.7356885
297,Caroline Springs,3023,"413 Hume Drive, Caroline Springs, Vic 3023",450,15/8/2025,2,1,1,House,carolinesprings,"413 Hume Drive, Caroline Springs, Vic",-37.7096298,144.739591
298,Caroline Springs,3023,"7/11 Monckton Place, Caroline Springs, Vic 3023",480,12/8/2025,2,1,1,House,carolinesprings,"11 Monckton Place, Caroline Springs, Vic",-37.7291445,144.7471091
299,Caroline Springs,3023,"9 Dartmouth Court, Caroline Springs, Vic 3023",600,22/8/2025,5,2,2,House,carolinesprings,"9 Dartmouth Court, Caroline Springs, Vic",-37.7507664,144.7389119
