Date	Daily global solar exposure (MJ/m*m)	Covid Restrictions	Rainfall amount (millimetres)	Public_Holiday	Maximum temperature (Degree C)	Minimum temperature (Degree C)	Total_Pedestrian_Count_per_day
01-01-2015	23.6	0	0.0	1	26.9	13.3	471563
01-02-2015	26.8	0	0.0	0	38.8	15.4	389048
01-03-2015	26.5	0	0.0	0	38.2	20.0	291761
01-04-2015	25.2	0	4.6	0	21.4	16.3	382364
01-05-2015	30.7	0	0.0	0	22.0	15.0	487220
01-06-2015	31.6	0	0.0	0	26.0	17.7	485340
01-07-2015	20.7	0	0.0	0	37.4	18.9	427142
01-08-2015	13.5	0	21.6	0	28.2	23.1	474146
01-09-2015	3.1	0	1.8	0	18.0	16.5	493430
01-10-2015	5.6	0	7.4	0	21.7	13.6	425481
01-11-2015	29.9	0	0.0	0	27.5	15.6	388144
01-12-2015	31.6	0	0.0	0	31.3	16.1	484633
01-13-2015	4.2	0	0.0	0	25.6	20.2	428901
01-14-2015	15.2	0	17.8	0	22.7	18.3	469651
01-15-2015	14.6	0	0.0	0	20.0	15.8	484780
01-16-2015	30.3	0	0.0	0	27.3	13.1	578750
01-17-2015	27.5	0	0.0	0	25.0	15.9	441219
01-18-2015	23.4	0	0.0	0	19.5	15.3	434167
01-19-2015	29.0	0	0.0	0	23.6	13.5	528505
01-20-2015	19.6	0	0.0	0	30.4	13.0	565802
01-21-2015	25.8	0	0.0	0	33.1	19.7	586215
01-22-2015	23.1	0	0.0	0	35.8	18.7	562570
01-23-2015	28.6	0	0.0	0	25.0	20.2	647374
01-24-2015	30.3	0	0.0	0	26.3	15.8	551271
01-25-2015	25.4	0	0.0	0	22.0	14.7	483016
01-26-2015	19.9	0	3.0	1	19.8	11.6	583404
01-27-2015	17.7	0	0.6	0	19.1	11.7	506995
01-28-2015	27.0	0	0.0	0	25.4	13.3	554508
01-29-2015	28.9	0	0.0	0	22.2	12.8	549153
01-30-2015	27.6	0	0.0	0	21.0	13.1	611914
