,Public Holiday?,Year,Month,Day of the Year,DayOfWeekNumeric,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),BourkeStMallSouth
2251,0,2021,3,60,2,13.8,21.7,17.50028801,1.672,19109.65102
2252,0,2021,3,61,3,13.3,18.1,17.02347755,0.184,16104.37908
2253,0,2021,3,62,4,14.2,17.7,16.96634483,0.016,18215.3582
2254,0,2021,3,63,5,13.6,21.4,16.83705902,1.024,18425.10221
2255,0,2021,3,64,6,15,18,16.60729599,1.464,19536.96676
2256,0,2021,3,65,7,14.2,19.4,16.39079857,1.192,21261.06457
2257,0,2021,3,66,1,11.3,28.5,16.19961929,1.136,21795.78084
2258,1,2021,3,67,2,13.7,19.6,16.00971603,1.672,22498.26051
2259,0,2021,3,68,3,13.5,19.6,15.81366539,0.184,19347.16766
2260,0,2021,3,69,4,12.2,20.1,15.61057663,0.016,19114.32792
2261,0,2021,3,70,5,11.6,24.7,15.38813972,1.04,20478.0633
2262,0,2021,3,71,6,14.9,30.3,15.13615417,1.464,21952.28606
2263,0,2021,3,72,7,17.7,27.2,14.85938835,1.136,22746.32255
2264,0,2021,3,73,1,11,17.7,14.57345963,0.864,24750.74916
2265,0,2021,3,74,2,8.9,22.2,14.28928852,1.672,20930.28229
2266,0,2021,3,75,3,11.1,20.6,14.02589035,0.184,18138.54119
2267,0,2021,3,76,4,13.9,26.4,13.79098988,0.016,18902.6576
2268,0,2021,3,77,5,13.8,24.9,13.5878067,1.096,20411.27813
2269,0,2021,3,78,6,14.2,26.1,13.41819,1.464,21697.84011
2270,0,2021,3,79,7,14,26,13.27713585,1.136,22331.92814
2271,0,2021,3,80,1,16.7,21.7,13.15519047,1.368,22371.40854
2272,0,2021,3,81,2,17.5,24.2,13.03927994,1.672,20728.38611
2273,0,2021,3,82,3,17.6,22,12.92776585,0.184,16835.45198
2274,0,2021,3,83,4,17,20.3,12.82444191,0.016,18712.50576
2275,0,2021,3,84,5,15.5,21.1,12.73403454,1.096,18577.71641
2276,0,2021,3,85,6,11.2,22,12.65167618,1.464,19559.07374
2277,0,2021,3,86,7,13.2,21.3,12.55430222,1.136,20730.77848
2278,0,2021,3,87,1,12.4,20.2,12.40964699,1.368,21917.24861
2279,0,2021,3,88,2,13.8,18.2,12.19632053,1.672,20565.30326
2280,0,2021,3,89,3,9.8,18.9,11.93506908,0.184,17313.20658
2281,0,2021,3,90,4,11.4,22.8,11.70059299,0.016,17109.09167
2282,0,2021,4,91,5,12.4,29.9,11.56360722,0.232,17667.47023
2283,1,2021,4,92,6,13.5,30.6,11.51297283,0.136,19544.471
2284,1,2021,4,93,7,15.1,31.6,11.50126839,1.312,20906.20695
2285,1,2021,4,94,1,15.2,24.5,11.50060558,1.296,23608.90969
2286,1,2021,4,95,2,16,19,11.49483395,2.848,18748.98337
2287,0,2021,4,96,3,12.8,20.2,11.46395969,1.616,17868.37034
2288,0,2021,4,97,4,14.9,23,11.38868809,1.792,18560.98813
2289,0,2021,4,98,5,11.9,16.4,11.27811527,1.12,19808.17388
2290,0,2021,4,99,6,11.7,18.6,11.14348125,0.96,20076.36175
2291,0,2021,4,100,7,8.9,21.2,10.98974895,0.872,21026.82305
2292,0,2021,4,101,1,12.7,22,10.81997299,1.352,22315.00065
2293,0,2021,4,102,2,13,15.7,10.63897991,3.44,21314.0548
2294,0,2021,4,103,3,11,15.3,10.45710754,1.976,16864.16401
2295,0,2021,4,104,4,12.2,18.3,10.28784561,1.248,18502.67951
2296,0,2021,4,105,5,12.1,23.4,10.14134026,0.744,19691.67908
2297,0,2021,4,106,6,15.6,23.5,10.01673508,0.968,20450.99979
2298,0,2021,4,107,7,15.4,21.5,9.90784359,0.744,20620.88141
2299,0,2021,4,108,1,11.4,18.4,9.80524826,1.176,22494.80995
2300,0,2021,4,109,2,12.9,16.4,9.702578545,2.168,19119.26617
2301,0,2021,4,110,3,11.2,19.4,9.598280907,1.976,16669.20916
2302,0,2021,4,111,4,12,20.8,9.494164467,1.896,18299.81104
2303,0,2021,4,112,5,8.5,19.6,9.393158913,1.128,19313.05133
2304,0,2021,4,113,6,12.8,18.2,9.297883034,0.792,20886.5234
2305,0,2021,4,114,7,9.6,19.7,9.210002899,0.72,20073.70621
2306,1,2021,4,115,1,15.1,22.3,9.130331039,1.552,21826.51422
2307,0,2021,4,116,2,10.5,21.7,9.058904648,2.112,21495.93663
2308,0,2021,4,117,3,15.4,17.7,8.993947983,1.96,17090.34569
2309,0,2021,4,118,4,8.1,18.1,8.931713104,1.896,18684.40233
2310,0,2021,4,119,5,7.1,18.9,8.866534233,1.08,20322.58886
2311,0,2021,4,120,6,11.2,19.8,8.792807579,0.864,21315.78557
2312,0,2021,5,121,7,7.6,22.8,8.714595795,1.192,22759.03735
2313,0,2021,5,122,1,7.6,13,8.634907722,1.224,22988.68605
2314,0,2021,5,123,2,8.3,14.2,8.568789482,2.672,23327.64331
2315,0,2021,5,124,3,9.8,15,8.515591621,2.152,19267.35151
2316,0,2021,5,125,4,9.4,14.8,8.465438843,1.944,22078.43073
2317,0,2021,5,126,5,8,19.5,8.409453392,1.56,21945.41418
2318,0,2021,5,127,6,10.2,20.1,8.355529785,1.216,22738.97731
2319,0,2021,5,128,7,15.1,21.1,8.312355995,0.92,24805.73882
2320,0,2021,5,129,1,12.6,19.6,8.274360657,1.2,26095.08975
2321,0,2021,5,130,2,12.6,14,8.240908623,1.992,23026.80305
2322,0,2021,5,131,3,7.2,14.5,8.211007118,2.04,22341.6438
2323,0,2021,5,132,4,7.8,17.1,8.183589935,1.312,22631.4653
2324,0,2021,5,133,5,10.3,14.8,8.158020973,1.664,23214.87505
2325,0,2021,5,134,6,10.4,14.5,8.13489151,1.04,23673.79046
2326,0,2021,5,135,7,6.6,14.7,8.116175652,0.968,24174.61886
2327,0,2021,5,136,1,4.5,15.3,8.100535393,1.12,24321.47969
2328,0,2021,5,137,2,4.5,18,8.088443756,1.784,23356.88901
2329,0,2021,5,138,3,5.1,18.5,8.079332352,2.104,21954.68756
2330,0,2021,5,139,4,5.5,19.4,8.072798729,1.528,22024.20137
2331,0,2021,5,140,5,8.1,17.7,8.067967415,1.648,23264.09122
2332,0,2021,5,141,6,10.3,15.8,8.064453125,1.408,22974.92219
2333,0,2021,5,142,7,9.4,13.7,8.061865807,0.976,24016.17636
2334,0,2021,5,143,1,9.1,13.6,8.059928894,0.8,25078.12841
2335,0,2021,5,144,2,9.4,13.5,8.058448792,1.088,23931.44938
2336,0,2021,5,145,3,10.9,13.8,8.057308197,1.488,21895.37008
2337,0,2021,5,146,4,5.5,16,8.056412697,2.272,23492.07678
2338,0,2021,5,147,5,5.4,18.5,8.055702209,1.192,24586.2828
2339,0,2021,5,148,6,5.9,17.1,8.055120468,0.848,23823.2977
2340,0,2021,5,149,7,12.1,17.6,8.054641724,1.144,25980.62545
2341,0,2021,5,150,1,7.2,17.1,8.054216385,0.712,26707.77626
2342,0,2021,5,151,2,8.1,17.1,8.053238869,1.192,25429.64696
2343,0,2021,6,152,3,12.4,14.6,8.049744606,0.856,23179.76815
2344,0,2021,6,153,4,9.3,11.2,8.049023628,0.832,24588.04829
2345,0,2021,6,154,5,8.4,15.6,8.191952705,1.248,25009.17934
2346,0,2021,6,155,6,10.5,14.1,8.273285866,1.064,26280.71822
2347,0,2021,6,156,7,9.3,13.8,8.258850098,1.312,26436.31145
2348,0,2021,6,157,1,4.1,14.6,8.174314499,1.624,27480.14988
2349,0,2021,6,158,2,6,13.3,8.2253685,1.272,25967.37881
2350,0,2021,6,159,3,7.9,11.8,8.298253059,0.864,22945.80991
2351,0,2021,6,160,4,4.5,12.6,8.424170494,0.96,24472.29368
2352,0,2021,6,161,5,2,15.3,8.51627636,1.224,26264.41395
2353,0,2021,6,162,6,3.9,16.7,8.574118614,1.488,26243.632
2354,0,2021,6,163,7,4.5,16.9,8.612952232,1.4,25735.18971
2355,0,2021,6,164,1,4.2,15.3,8.660068512,1.48,27909.82509
2356,1,2021,6,165,2,5.7,16.4,8.770003319,1,27333.33292
2357,0,2021,6,166,3,10.4,15.2,8.917321205,1.112,24560.83309
2358,0,2021,6,167,4,11.6,18.4,9.027005196,0.8,25571.62802
2359,0,2021,6,168,5,13,17.9,9.089910507,1.512,25069.54404
2360,0,2021,6,169,6,10.2,14.6,9.143449783,1.96,25365.46068
2361,0,2021,6,170,7,4.6,16.9,9.23133564,2.184,27294.77364
2362,0,2021,6,171,1,6.4,17.8,9.365983963,1.568,28267.68002
2363,0,2021,6,172,2,12.8,16.9,9.54609108,0.912,26817.85609
2364,0,2021,6,173,3,6.9,12,9.724779129,0.672,23404.28487
2365,0,2021,6,174,4,8.1,13,9.838585854,0.928,25067.80597
2366,0,2021,6,175,5,9,14.4,9.968317032,1.2,24621.82832
2367,0,2021,6,176,6,10.1,14.9,10.09558105,1.96,26638.65356
2368,0,2021,6,177,7,10.2,15.9,10.22276497,2.128,28101.9928
2369,0,2021,6,178,1,7.9,13.8,10.36566925,2.408,28518.4762
2370,0,2021,6,179,2,6.2,13.1,10.52476311,0.848,26692.06232
2371,0,2021,6,180,3,1.7,12.5,10.66897488,1.032,24319.48758
2372,0,2021,6,181,4,2.2,15.4,10.78811455,1.376,24161.88395
2373,0,2021,7,182,5,3,15.2,10.89555931,1.632,24592.12938
2374,0,2021,7,183,6,9.8,17.4,11.00112438,2.136,26960.91728
2375,0,2021,7,184,7,10.2,15.1,11.12783241,2.536,27937.26143
2376,0,2021,7,185,1,7.7,10.3,11.25209236,2.88,28187.45266
2377,0,2021,7,186,2,6.5,14.5,11.36646366,0.472,26928.25209
2378,0,2021,7,187,3,8.9,12.5,11.46316719,0.7092883,22565.59761
2379,0,2021,7,188,4,8.1,13.1,11.54307461,1.5812883,25115.74098
2380,0,2021,7,189,5,8.9,11.8,11.6031208,1.632,24568.14177
2381,0,2021,7,190,6,4.9,15.7,11.652174,1.224,23762.10873
2382,0,2021,7,191,7,5.7,17.2,11.69258881,2.384,24954.91342
2383,0,2021,7,192,1,6.4,16.9,11.72402,1.528,26145.7991
2384,0,2021,7,193,2,7.3,11.4,11.75116539,0.584,24710.78078
2385,0,2021,7,194,3,9,14.2,11.77812386,0.8692883,19868.35217
2386,0,2021,7,195,4,8.7,15.1,11.79970455,1.7732883,20804.31307
2387,0,2021,7,196,5,7.7,14.2,11.81694603,1.344,21634.28254
2388,0,2021,7,197,6,6.2,14.7,11.83403587,0.928,21310.26979
2389,0,2021,7,198,7,4.2,11.5,11.85100842,2.24,21647.73388
2390,0,2021,7,199,1,3.1,12.8,11.87024307,1.536,20934.75815
2391,0,2021,7,200,2,4,12.5,11.88867092,0.496,20960.50942
2392,0,2021,7,201,3,8.2,15.3,11.90900421,0.8532883,16484.20209
2393,0,2021,7,202,4,7.6,13.8,11.92953968,2.0052883,17750.45365
2394,0,2021,7,203,5,7.2,12.9,11.94863415,1.208,16547.44531
2395,0,2021,7,204,6,8.1,13.3,11.96679592,1.76,17170.97513
2396,0,2021,7,205,7,8.1,12,11.98438644,1.632,17912.67751
2397,0,2021,7,206,1,6.1,13.5,12.00046539,0.904,18167.86913
2398,0,2021,7,207,2,4.3,12.2,12.01399517,0.408,15336.97386
2399,0,2021,7,208,3,5,12.8,12.02508163,0.8932883,12214.62685
2400,0,2021,7,209,4,7.4,13.5,12.03422737,1.1732883,13860.99932
