road_name,location,suburb,speed_limit,direction,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,motorcycle,bike,average_speed,85th_percentile_speed,maximum_speed,road_segment,datetime,total_vehicle_count
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,31.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,35.0,45.0,22323,2016-12-10 09:00:00,33.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 03:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,41.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,27.0,35.0,44.0,22323,2016-12-10 16:00:00,45.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 04:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,54.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,27.0,35.0,46.0,22323,2016-12-10 18:00:00,56.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 06:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,39.0,41.0,22323,2016-12-10 23:00:00,9.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 09:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,35.0,41.0,22323,2016-10-13 00:00:00,5.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 12:00:00,0.0
